EXACT_RANGE_EXP,EXACT_RANGE_EXP_6,EXPECTATION,EXACT_RANGE_EXP,EXACT_RANGE_EXP_6,
10000,10000,10000,10000,10000,
11200,9400,10000,9400,10000,
11200,10900,8500,9400,10000,
11200,10900,7000,10900,10000,
11200,10900,9700,9400,8800,
11200,10900,9700,9400,8800,
11800,10300,9700,9400,8800,
11800,11800,8200,9400,8800,
11800,11800,9700,7900,8800,
11800,11800,9700,7300,9400,
12400,11800,9700,7300,8800,
13600,11200,9700,7300,8200,
12400,9700,12400,7300,8200,
12400,9700,12400,7300,8200,
12400,9700,12400,7900,7600,
13000,9700,12400,7900,7000,
13600,9100,12400,7900,7000,
13600,10600,10900,7900,7000,
13600,9700,10000,9700,7000,
13600,9700,10000,10300,6400,
13000,9700,10000,10300,7000,
12400,9100,10000,10300,8200,
11200,7600,12700,10300,8200,
11200,7600,11200,11800,8200,
11200,7600,11200,11200,8800,
10600,7600,11200,11200,9400,
10000,8200,11200,11200,9400,
10000,9700,9700,11200,9400,
10000,9700,8200,12700,9400,
10000,9700,6700,15700,7900,
9400,9700,6700,15700,8500,
10600,9100,6700,15700,7900,
10600,7600,8200,15700,7900,
10600,7600,9700,14200,7900,
10600,7600,12700,12700,6400,
11200,7600,12700,12700,5800,
11800,7000,12700,12700,5800,
11800,5500,14200,12700,5800,
11800,7000,13300,12100,5800,
11800,7000,13300,11500,6400,
12400,7000,13300,11500,5800,
11800,7600,13300,11500,5800,
11800,6100,14800,11500,5800,
11800,6100,16300,10000,5800,
11800,6100,16300,9400,6400,
11200,6100,16300,9400,7000,
11800,5500,16300,9400,7000,
11800,4000,17800,9400,7000,
11800,4000,19300,7900,7000,
11800,4000,19300,8500,6400,
11200,4000,19300,8500,7000,
11800,3400,19300,8500,7000,
11800,4900,17800,8500,7000,
11800,7300,16300,7600,7000,
11800,7300,16300,8200,6400,
11200,7300,16300,8200,7000,
11800,6700,16300,8200,7000,
11800,8200,14800,8200,7000,
11800,8200,16300,6700,7000,
11800,8200,16300,7300,6400,
12400,8200,16300,7300,5800,
11800,8800,16300,7300,5800,
11800,10300,14800,7300,5800,
11800,10300,16300,5800,5800,
11800,10300,16300,5200,6400,
11200,10300,16300,6400,5800,
10600,11500,16300,6400,5200,
10600,13000,14800,6400,5200,
10600,13000,16000,5200,5200,
10600,13000,16000,4600,5800,
10000,13000,16000,4600,6400,
10600,12400,16000,4600,6400,
10600,12400,16000,4600,6400,
10600,15400,14500,3100,6400,
10600,15400,14500,3700,5800,
10000,15400,14500,3700,6400,
10000,15400,14500,3700,6400,
12100,14800,13000,3700,6400,
12100,16000,12400,3100,6400,
12100,16000,12400,2500,7000,
12700,16000,12400,2500,6400,
12100,15400,12400,2500,7600,
12100,14200,13600,2500,7600,
12100,17200,12100,1000,7600,
12100,16600,12100,400,8800,
11500,16600,12100,400,9400,
10900,17200,12100,400,9400,
10900,18700,10600,400,9400,
10900,19900,10000,400,8800,
10900,19900,10000,800,8400,
11500,19900,10000,800,7800,
12700,19300,10000,800,7200,
12700,19300,10000,800,7200,
12700,17800,9900,2400,7200,
12700,17800,12600,1200,5700,
12100,17800,12600,1200,6300,
11500,17200,12600,1200,7500,
11500,15700,14100,1200,7500,
11500,15700,12900,2400,7500,
11500,15700,12900,1800,8100,
10900,15700,12900,1800,8700,
10300,16300,12900,1800,8700,
9100,18700,11700,1800,8700,
9100,18700,11700,1800,8700,
9100,18700,10200,300,11700,
8500,18700,10200,300,12300,
7900,19300,10200,300,12300,
7900,20800,8700,300,12300,
7900,23800,7200,300,10800,
7900,23800,7200,600,10500,
