EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXPECTATION,EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,
23700,27900,33600,6600,58200,
23700,27900,33600,8100,56700,
22200,27900,33600,10800,55500,
25500,24600,33600,10800,55500,
25950,25050,32700,10800,55500,
25950,25050,31200,12300,55500,
25950,25050,31200,13500,54300,
25350,25050,31200,14700,53700,
24750,25650,31200,14700,53700,
24750,29550,27300,14700,53700,
24750,26550,30900,14100,53700,
24750,26550,30900,15600,52200,
24150,26550,30900,15600,52800,
28350,25950,30900,15600,49200,
28350,22650,34200,15600,49200,
28350,22650,35700,14100,49200,
28350,22650,35700,15600,47700,
31950,22650,35700,12600,47100,
32550,22050,35700,12600,47100,
27150,32850,30300,12600,47100,
27150,32850,31800,11100,47100,
27150,32850,31800,8700,49500,
31650,32850,31800,8700,45000,
32850,31650,31800,8700,45000,
35250,30750,30300,8700,45000,
35250,30750,31800,7200,45000,
35250,30750,31800,13200,39000,
38550,30750,31800,13200,35700,
39450,29850,31800,13200,35700,
39450,29850,31800,13200,35700,
39450,29850,33000,12000,35700,
39450,29850,33000,6600,41100,
40350,29850,33000,6600,40200,
34350,35850,33000,6600,40200,
37650,35250,30300,6600,40200,
37650,34050,29100,9000,40200,
37650,34050,29100,13500,35700,
38250,34050,29100,13500,35100,
43050,29250,29100,13500,35100,
45450,28050,27900,13500,35100,
45450,28050,29400,12000,35100,
45450,28050,25200,11400,39900,
46050,28050,25200,11400,39300,
40050,34050,25200,11400,39300,
40050,32550,26700,11400,39300,
40050,44550,20700,5400,39300,
40050,44550,20100,600,44700,
40950,44550,20100,600,43800,
41850,43650,20100,600,43800,
41850,37950,25800,600,43800,
41850,37950,26400,0,43800,
36450,43350,26400,0,43800,
32250,43350,26400,0,48000,
36450,40350,26400,0,46800,
36450,41250,25500,0,46800,
36450,41250,27000,0,45300,
36450,41250,21600,0,50700,
35850,41250,21600,0,51300,
32850,44250,21600,0,51300,
32850,43350,22500,0,51300,
32850,46650,21600,0,48900,
32850,46650,19200,0,51300,
30450,46650,19200,0,53700,
28650,48450,19200,0,53700,
31650,46950,17700,0,53700,
31650,46950,18900,0,52500,
31650,46950,18900,0,52500,
31050,46950,18900,0,53100,
23850,44850,18900,0,62400,
23850,46350,17400,0,62400,
23850,46350,11400,0,68400,
23850,46350,11400,0,68400,
26250,46350,11400,0,66000,
25650,68550,11400,0,44400,
25650,68550,11400,0,44400,
25650,68550,8400,0,47400,
25650,68550,8400,0,47400,
19650,68550,8400,0,53400,
20250,67950,8400,0,53400,
23250,66450,6900,0,53400,
23250,66450,3900,0,56400,
23250,66450,3900,0,56400,
22650,66450,0,0,60900,
19650,63450,0,0,66900,
19050,64650,0,0,66300,
19350,64350,0,0,66300,
19350,65550,0,0,65100,
21150,65550,0,0,63300,
20550,66150,0,0,63300,
20550,63150,0,0,66300,
20550,63150,0,0,66300,
20550,59550,0,0,69900,
15750,57750,0,0,76500,
15150,58350,0,0,76500,
16350,57750,0,0,75900,
19950,57750,0,0,72300,
14550,57750,0,0,77700,
14550,57750,0,0,77700,
15150,57150,0,0,77700,
14550,0,0,0,135450,
15750,0,0,0,134250,
15750,0,0,0,134250,
13950,0,0,0,136050,
14550,0,0,0,135450,
11550,0,0,0,138450,
11550,0,0,0,138450,
11550,0,0,0,138450,
10950,0,0,0,139050,
11550,0,0,0,138450,
7350,0,0,0,142650,
7350,0,0,0,142650,
7350,0,0,0,142650,
9750,0,0,0,140250,
10350,0,0,0,139650,
10350,0,0,0,139650,
10350,0,0,0,139650,
10350,0,0,0,139650,
4350,0,0,0,145650,
3750,0,0,0,146250,
2550,0,0,0,147450,
2550,0,0,0,147450,
3750,0,0,0,146250,
4350,0,0,0,145650,
4950,0,0,0,145050,
4950,0,0,0,145050,
4950,0,0,0,145050,
4950,0,0,0,145050,
0,0,0,0,150000,
