EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXPECTATION,EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,
30000,30000,30000,30000,30000,
31500,28500,30000,30000,30000,
31500,22800,35700,30000,30000,
30000,22800,38700,28500,30000,
30000,22800,38700,24900,33600,
28200,22800,38700,24900,35400,
29700,21300,38700,24900,35400,
29700,19800,40200,24900,35400,
29700,19800,41400,23700,35400,
29700,19800,41400,28200,30900,
30900,19800,41400,28200,29700,
30300,19200,41400,28200,30900,
30300,20700,39900,28200,30900,
30300,20700,38400,29700,30900,
30300,20700,38400,29700,30900,
36600,20700,38400,29700,24600,
42000,15300,38400,29700,24600,
42000,12000,41700,29700,24600,
42000,12000,41100,30300,24600,
42000,12000,41100,30900,24000,
41400,12000,41100,30900,24600,
38400,15000,41100,30900,24600,
38400,18900,37200,30900,24600,
38400,18900,35100,33000,24600,
38400,18900,35100,27000,30600,
39300,18900,35100,27000,29700,
38700,16500,35100,27000,32700,
38700,11100,40500,27000,32700,
38700,11100,39300,28200,32700,
38700,11100,39300,22200,38700,
38700,11100,39300,22200,38700,
35700,14100,39300,22200,38700,
35700,12600,40800,22200,38700,
35700,12600,42300,20700,38700,
35700,12600,42300,16200,43200,
36600,12600,42300,16200,42300,
33000,16200,42300,16200,42300,
33000,18600,39900,16200,42300,
33000,18600,38700,17400,42300,
33000,18600,38700,12000,47700,
33600,18600,38700,12000,47100,
30600,21600,38700,12000,47100,
30600,19200,41100,12000,47100,
30600,19200,42600,10500,47100,
30600,19200,42600,7500,50100,
28500,19200,42600,11700,48000,
29400,18300,42600,11700,48000,
29400,19500,41400,11700,48000,
29400,19500,39900,13200,48000,
29400,19500,39900,7200,54000,
26400,19500,39900,7200,57000,
25800,24300,39900,7200,52800,
25800,22800,41400,7200,52800,
25800,22800,39900,8700,52800,
25800,22800,42900,7200,51300,
25200,22800,42900,7200,51900,
26100,21900,42900,7200,51900,
26100,26700,38100,7200,51900,
26100,25200,36900,9900,51900,
26100,25200,39300,8400,51000,
25500,25200,39300,8400,51600,
25500,25200,39300,8400,51600,
25500,30600,33900,8400,51600,
25500,30600,33900,8400,51600,
25500,30600,33900,7800,52200,
19500,30600,33900,7800,58200,
20700,29400,33900,7800,58200,
23700,27900,32400,7800,58200,
