EXPECTATION,CALL_MAN,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT,EXACT_RANGE_EXP_2,
0,0,0,370500,199500,
0,0,0,370200,199800,
0,0,0,376200,193800,
0,0,0,376200,193800,
0,0,0,372600,197400,
0,0,0,372600,197400,
0,0,0,373200,196800,
0,0,0,379200,190800,
0,0,0,372000,198000,
0,0,0,375600,194400,
0,0,0,373800,196200,
0,0,0,373500,196500,
0,0,0,374100,195900,
0,0,0,374100,195900,
0,0,0,381300,188700,
0,0,0,386700,183300,
0,0,0,386700,183300,
0,0,0,386100,183900,
0,0,0,386100,183900,
0,0,0,386100,183900,
0,0,0,386100,183900,
0,0,0,385800,184200,
0,0,0,391800,178200,
0,0,0,391800,178200,
0,0,0,391800,178200,
0,0,0,386400,183600,
0,0,0,380400,189600,
0,0,0,384600,185400,
0,0,0,391800,178200,
0,0,0,391800,178200,
0,0,0,391800,178200,
0,0,0,391500,178500,
0,0,0,392100,177900,
0,0,0,392100,177900,
0,0,0,392100,177900,
0,0,0,392100,177900,
0,0,0,391800,178200,
0,0,0,388800,181200,
0,0,0,388800,181200,
0,0,0,388800,181200,
0,0,0,388800,181200,
0,0,0,388500,181500,
0,0,0,390900,179100,
0,0,0,390900,179100,
0,0,0,390900,179100,
0,0,0,385500,184500,
0,0,0,379500,190500,
0,0,0,378900,191100,
0,0,0,378900,191100,
0,0,0,378900,191100,
0,0,0,378900,191100,
0,0,0,371100,198900,
0,0,0,377100,192900,
0,0,0,375300,194700,
0,0,0,382500,187500,
0,0,0,382500,187500,
0,0,0,382200,187800,
0,0,0,381600,188400,
0,0,0,381600,188400,
0,0,0,385200,184800,
0,0,0,385200,184800,
0,0,0,385800,184200,
0,0,0,385200,184800,
0,0,0,379800,190200,
0,0,0,378000,192000,
0,0,0,376200,193800,
0,0,0,375900,194100,
0,0,0,380700,189300,
0,0,0,380700,189300,
0,0,0,375300,194700,
0,0,0,372300,197700,
0,0,0,366300,203700,
0,0,0,363300,206700,
0,0,0,363300,206700,
0,0,0,370500,199500,
0,0,0,368700,201300,
0,0,0,369300,200700,
0,0,0,369900,200100,
0,0,0,377100,192900,
0,0,0,377100,192900,
0,0,0,384300,185700,
0,0,0,384000,186000,
0,0,0,383400,186600,
0,0,0,379800,190200,
0,0,0,379800,190200,
0,0,0,379800,190200,
0,0,0,385800,184200,
0,0,0,391200,178800,
0,0,0,394800,175200,
0,0,0,389400,180600,
0,0,0,389400,180600,
0,0,0,389100,180900,
0,0,0,424700,145300,
0,0,0,424700,145300,
0,0,0,424700,145300,
0,0,0,424700,145300,
0,0,0,421700,148300,
0,0,0,422300,147700,
0,0,0,418700,151300,
0,0,0,422300,147700,
0,0,0,422300,147700,
0,0,0,422000,148000,
0,0,0,421400,148600,
0,0,0,421400,148600,
0,0,0,417800,152200,
0,0,0,417800,152200,
0,0,0,417500,152500,
0,0,0,423500,146500,
0,0,0,423500,146500,
0,0,0,423500,146500,
0,0,0,430700,139300,
0,0,0,431300,138700,
0,0,0,441500,128500,
0,0,0,439700,130300,
0,0,0,434300,135700,
0,0,0,428900,141100,
0,0,0,428600,141400,
0,0,0,424400,145600,
0,0,0,424400,145600,
0,0,0,429800,140200,
0,0,0,429800,140200,
0,0,0,429500,140500,
0,0,0,418200,151800,
0,0,0,418200,151800,
0,0,0,418200,151800,
0,0,0,416400,153600,
0,0,0,416100,153900,
0,0,0,423300,146700,
0,0,0,423300,146700,
0,0,0,423300,146700,
0,0,0,423300,146700,
0,0,0,423000,147000,
0,0,0,423600,146400,
0,0,0,420000,150000,
0,0,0,420000,150000,
0,0,0,421800,148200,
0,0,0,421500,148500,
0,0,0,427500,142500,
0,0,0,432900,137100,
0,0,0,432900,137100,
0,0,0,432900,137100,
0,0,0,432600,137400,
0,0,0,438600,131400,
0,0,0,433200,136800,
0,0,0,433200,136800,
0,0,0,429600,140400,
0,0,0,430200,139800,
0,0,0,430800,139200,
0,0,0,430800,139200,
0,0,0,430800,139200,
0,0,0,436200,133800,
0,0,0,435900,134100,
0,0,0,436500,133500,
0,0,0,436500,133500,
0,0,0,443700,126300,
0,0,0,443700,126300,
0,0,0,435900,134100,
0,0,0,435900,134100,
0,0,0,439500,130500,
0,0,0,439500,130500,
0,0,0,439500,130500,
0,0,0,440100,129900,
0,0,0,446100,123900,
0,0,0,446100,123900,
0,0,0,444300,125700,
0,0,0,437100,132900,
0,0,0,443100,126900,
0,0,0,436100,133900,
0,0,0,441500,128500,
0,0,0,441500,128500,
0,0,0,448700,121300,
0,0,0,448400,121600,
0,0,0,449000,121000,
0,0,0,449000,121000,
0,0,0,449000,121000,
0,0,0,447200,122800,
0,0,0,446900,123100,
0,0,0,446900,123100,
0,0,0,446900,123100,
0,0,0,450500,119500,
0,0,0,450500,119500,
0,0,0,446300,123700,
0,0,0,445700,124300,
0,0,0,442100,127900,
0,0,0,440300,129700,
0,0,0,445100,124900,
0,0,0,451100,118900,
0,0,0,455300,114700,
0,0,0,455300,114700,
0,0,0,455300,114700,
0,0,0,457100,112900,
0,0,0,463100,106900,
0,0,0,461300,108700,
0,0,0,457700,112300,
0,0,0,461300,108700,
0,0,0,461300,108700,
0,0,0,461000,109000,
0,0,0,446400,123600,
0,0,0,446400,123600,
0,0,0,446400,123600,
0,0,0,446400,123600,
0,0,0,445800,124200,
0,0,0,445200,124800,
0,0,0,443400,126600,
0,0,0,443400,126600,
0,0,0,443400,126600,
0,0,0,438000,132000,
0,0,0,438600,131400,
0,0,0,433200,136800,
0,0,0,435000,135000,
0,0,0,442200,127800,
0,0,0,436200,133800,
0,0,0,436800,133200,
0,0,0,435000,135000,
