CALL_MAN,EXACT_RANGE,EXACT_RANGE,EXPECTATION,EXPECTATION
33150,100,250,200,16300
32850,100,250,200,16600
31950,100,250,200,17500
31950,100,250,200,17500
32250,100,250,200,17200
30750,100,250,200,18700
30750,100,250,200,18700
30750,100,250,200,18700
30750,100,250,200,18700
31350,100,250,200,18100
31950,100,250,200,17500
31650,100,250,200,17800
31050,100,250,200,18400
30750,100,250,200,18700
31050,100,250,200,18400
29550,100,250,200,19900
29550,100,250,200,19900
29550,100,250,200,19900
29550,100,250,200,19900
28050,100,250,200,21400
28650,100,250,200,20800
28650,100,250,200,20800
28650,100,250,200,20800
28350,100,250,200,21100
26850,100,250,200,22600
28050,100,250,200,21400
28050,100,250,200,21400
28950,100,250,200,20500
28350,100,250,200,21100
28650,100,250,200,20800
29850,100,250,200,19600
29850,100,250,200,19600
29850,100,250,200,19600
29250,100,250,200,20200
27750,100,250,200,21700
28350,100,250,200,21100
28050,100,250,200,21400
28050,100,250,200,21400
28350,100,250,200,21100
28950,100,250,200,20500
29550,100,250,200,19900
29550,100,250,200,19900
29550,100,250,200,19900
29550,100,250,200,19900
29850,100,250,200,19600
31350,100,250,200,18100
31350,100,250,200,18100
30750,100,250,200,18700
30750,100,250,200,18700
31050,100,250,200,18400
31650,100,250,200,17800
31650,100,250,200,17800
31650,100,250,200,17800
31650,100,250,200,17800
31950,100,250,200,17500
32850,100,250,200,16600
31950,100,250,200,17500
31350,100,250,200,18100
31350,100,250,200,18100
31650,100,250,200,17800
30150,100,250,200,19300
30150,100,250,200,19300
30150,100,250,200,19300
29250,100,250,200,20200
29550,100,250,200,19900
30150,100,250,200,19300
29250,100,250,200,20200
28950,100,250,200,20500
29550,100,250,200,19900
29850,100,250,200,19600
28350,100,250,200,21100
28350,100,250,200,21100
28350,100,250,200,21100
28350,100,250,200,21100
29250,100,250,200,20200
29850,100,250,200,19600
29850,100,250,200,19600
29850,100,250,200,19600
29850,100,250,200,19600
30150,100,250,200,19300
30750,100,250,200,18700
30750,100,250,200,18700
30750,100,250,200,18700
31050,100,250,200,18400
31350,100,250,200,18100
29850,100,250,200,19600
29850,100,250,200,19600
29850,100,250,200,19600
29850,100,250,200,19600
30150,100,250,200,19300
31350,100,250,200,18100
31350,100,250,200,18100
31350,100,250,200,18100
31350,100,250,200,18100
31650,100,250,200,17800
32250,100,250,200,17200
32250,100,250,200,17200
32550,100,250,200,16900
32550,100,250,200,16900
32850,100,250,200,16600
31350,100,250,200,18100
31350,100,250,200,18100
31950,100,250,200,17500
31350,100,250,200,18100
31650,100,250,200,17800
32250,100,250,200,17200
32250,100,250,200,17200
32250,100,250,200,17200
32250,100,250,200,17200
32550,100,250,200,16900
33150,100,250,200,16300
32550,100,250,200,16900
32550,100,250,200,16900
32550,100,250,200,16900
32850,100,250,200,16600
31350,100,250,200,18100
31350,100,250,200,18100
31350,100,250,200,18100
31350,100,250,200,18100
31650,100,250,200,17800
32850,100,250,200,16600
32250,100,250,200,17200
31650,100,250,200,17800
31650,100,250,200,17800
31950,100,250,200,17500
32550,100,250,200,16900
32550,100,250,200,16900
32550,100,250,200,16900
32550,100,250,200,16900
32850,100,250,200,16600
33450,100,250,200,16000
33450,100,250,200,16000
33450,100,250,200,16000
33450,100,250,200,16000
33750,100,250,200,15700
34350,100,250,200,15100
34350,100,250,200,15100
34350,100,250,200,15100
34350,100,250,200,15100
34650,100,250,200,14800
35250,100,250,200,14200
35250,100,250,200,14200
35250,100,250,200,14200
34350,100,250,200,15100
34650,100,250,200,14800
33150,100,250,200,16300
33150,100,250,200,16300
33150,100,250,200,16300
32550,100,250,200,16900
32850,100,250,200,16600
34350,100,250,200,15100
34050,100,250,200,15400
33450,100,250,200,16000
33450,100,250,200,16000
34050,100,250,200,15400
34650,100,250,200,14800
34650,100,250,200,14800
34050,100,250,200,15400
34050,100,250,200,15400
34650,100,250,200,14800
33150,100,250,200,16300
32850,100,250,200,16600
32850,100,250,200,16600
32850,100,250,200,16600
33150,100,250,200,16300
34350,100,250,200,15100
34350,100,250,200,15100
34350,100,250,200,15100
34350,100,250,200,15100
34650,100,250,200,14800
35550,100,250,200,13900
35550,100,250,200,13900
35550,100,250,200,13900
35550,100,250,200,13900
36150,100,250,200,13300
34650,100,250,200,14800
34050,100,250,200,15400
34050,100,250,200,15400
34050,100,250,200,15400
34350,100,250,200,15100
34950,100,250,200,14500
34950,100,250,200,14500
34050,100,250,200,15400
34050,100,250,200,15400
34350,100,250,200,15100
34950,100,250,200,14500
35550,100,250,200,13900
34950,100,250,200,14500
34050,100,250,200,15400
34350,100,250,200,15100
34950,100,250,200,14500
34650,100,250,200,14800
34650,100,250,200,14800
34650,100,250,200,14800
34950,100,250,200,14500
33450,100,250,200,16000
33450,100,250,200,16000
33750,100,250,200,15700
33750,100,250,200,15700
34050,100,250,200,15400
34650,100,250,200,14800
34650,100,250,200,14800
34650,100,250,200,14800
34650,100,250,200,14800
34950,100,250,200,14500
35550,100,250,200,13900
34950,100,250,200,14500
34350,100,250,200,15100
34050,100,250,200,15400
34350,100,250,200,15100
35550,100,250,200,13900
35550,100,250,200,13900
35550,100,250,200,13900
35550,100,250,200,13900
36450,100,250,200,13000
34950,100,250,200,14500
34950,100,250,200,14500
34950,100,250,200,14500
34950,100,250,200,14500
35250,100,250,200,14200
36450,100,250,200,13000
36450,100,250,200,13000
36450,100,250,200,13000
36450,100,250,200,13000
36750,100,250,200,12700
37350,100,250,200,12100
37050,100,250,200,12400
37050,100,250,200,12400
36450,100,250,200,13000
36750,100,250,200,12700
37350,100,250,200,12100
37350,100,250,200,12100
37350,100,250,200,12100
37350,100,250,200,12100
37650,100,250,200,11800
38250,100,250,200,11200
38250,100,250,200,11200
38250,100,250,200,11200
37350,100,250,200,12100
37950,100,250,200,11500
39450,100,250,200,10000
39450,100,250,200,10000
39450,100,250,200,10000
39150,100,250,200,10300
39450,100,250,200,10000
40050,100,250,200,9400
39750,100,250,200,9700
39750,100,250,200,9700
39750,100,250,200,9700
38250,100,250,200,11200
38850,100,250,200,10600
38250,100,250,200,11200
37350,100,250,200,12100
37350,100,250,200,12100
38550,100,250,200,10900
39150,100,250,200,10300
39150,100,250,200,10300
38550,100,250,200,10900
38550,100,250,200,10900
37050,100,250,200,12400
38250,100,250,200,11200
37950,100,250,200,11500
37950,100,250,200,11500
37950,100,250,200,11500
38250,100,250,200,11200
39450,100,250,200,10000
39750,100,250,200,9700
39750,100,250,200,9700
39450,100,250,200,10000
39750,100,250,200,9700
40350,100,250,200,9100
40350,100,250,200,9100
40350,100,250,200,9100
40350,100,250,200,9100
40650,100,250,200,8800
41550,100,250,200,7900
41250,100,250,200,8200
41250,100,250,200,8200
41250,100,250,200,8200
41550,100,250,200,7900
40050,100,250,200,9400
40050,100,250,200,9400
40050,100,250,200,9400
40050,100,250,200,9400
38550,100,250,200,10900
39150,100,250,200,10300
38550,100,250,200,10900
38550,100,250,200,10900
38550,100,250,200,10900
38850,100,250,200,10600
39450,100,250,200,10000
39450,100,250,200,10000
39450,100,250,200,10000
39450,100,250,200,10000
39750,100,250,200,9700
39750,100,250,200,9700
39750,100,250,200,9700
38850,100,250,200,10600
38850,100,250,200,10600
39750,100,250,200,9700
40350,100,250,200,9100
40350,100,250,200,9100
40350,100,250,200,9100
40050,100,250,200,9400
40350,100,250,200,9100
40950,100,250,200,8500
40950,100,250,200,8500
40950,100,250,200,8500
40050,100,250,200,9400
40350,100,250,200,9100
41250,100,250,200,8200
41250,100,250,200,8200
41250,100,250,200,8200
42150,100,250,200,7300
42450,100,250,200,7000
43050,100,250,200,6400
43050,100,250,200,6400
43050,100,250,200,6400
42450,100,250,200,7000
42750,100,250,200,6700
43350,100,250,200,6100
43350,100,250,200,6100
43350,100,250,200,6100
43350,100,250,200,6100
43650,100,250,200,5800
44250,100,250,200,5200
44250,100,250,200,5200
43650,100,250,200,5800
43650,100,250,200,5800
43950,100,250,200,5500
44550,100,250,200,4900
44550,100,250,200,4900
44550,100,250,200,4900
44550,100,250,200,4900
44850,100,250,200,4600
45450,100,250,200,4000
45450,100,250,200,4000
45150,100,250,200,4300
45150,100,250,200,4300
45450,100,250,200,4000
46050,100,250,200,3400
46050,100,250,200,3400
46050,100,250,200,3400
46050,100,250,200,3400
46350,100,250,200,3100
46950,100,250,200,2500
46950,100,250,200,2500
46950,100,250,200,2500
46950,100,250,200,2500
47250,100,250,200,2200
48750,100,250,200,700
48750,100,250,200,700
48750,100,250,200,700
48750,100,250,200,700
48050,100,250,200,1400
48650,100,250,200,800
48650,100,250,200,800
48650,100,250,200,800
48050,100,250,200,1400
48350,100,250,200,1100
47250,100,250,200,2200
46650,100,250,200,2800
