SIMPLE_RANGE,EXACT_RANGE,EXACT_RANGE,EXPECTATION,EXPECTATION
10000,10000,10000,10000,10000
9700,10300,10000,10000,10000
9700,10000,10300,10000,10000
9700,10000,10000,10300,10000
9700,10000,10000,10000,10300
10000,10000,10000,10000,10000
9700,10300,10000,10000,10000
9700,10000,10300,10000,10000
9700,10000,10000,10300,10000
8800,10000,10000,12100,9100
8200,10000,10000,12100,9700
7900,10300,10000,12100,9700
7300,10000,10900,12100,9700
7300,10000,10600,12400,9700
7300,10000,10600,13000,9100
7600,10000,10600,13000,8800
7300,10300,10600,13000,8800
7300,10000,10900,13000,8800
6400,10000,10600,14200,8800
6400,10000,10600,14200,8800
7300,10000,10600,14200,7900
7000,10300,10600,14200,7900
7000,10000,10900,14200,7900
7000,10000,10600,14500,7900
6400,10000,10600,15700,7300
6700,10000,10600,15700,7000
6400,10300,10600,15700,7000
6400,10000,10900,15700,7000
7600,10000,10600,14800,7000
7000,10000,10600,16300,6100
7300,10000,10600,16300,5800
7000,10300,10600,16300,5800
7000,10000,10900,16300,5800
7000,10000,10600,16600,5800
6400,10000,10600,16300,6700
6700,10000,10600,16300,6400
6400,10300,10600,16300,6400
6400,10000,10900,16300,6400
6400,10000,10600,16600,6400
9400,10000,10600,15100,4900
10000,10000,10600,15100,4300
9700,10300,10600,15100,4300
9700,10000,10900,15100,4300
9700,10000,10600,15400,4300
9100,10000,10600,15100,5200
9700,10000,10600,15100,4600
9400,10300,10600,15100,4600
9400,10000,10900,15100,4600
9400,10000,10600,15400,4600
8800,10000,10600,14800,5800
8200,10000,10600,14800,6400
7900,10900,10600,14200,6400
7900,10600,10900,14200,6400
7900,10600,10600,14500,6400
7300,10600,10600,15700,5800
7600,10600,10600,15700,5500
7300,10900,10600,15700,5500
7300,10600,10900,15700,5500
7300,10600,10600,16000,5500
7300,10600,10600,15700,5800
7600,10600,10600,15700,5500
7300,10900,10600,15700,5500
7300,10600,10000,16600,5500
8200,10600,9700,16000,5500
8200,10600,9700,15700,5800
7600,10600,9700,15700,6400
7300,10900,9700,15700,6400
7300,10600,10000,15700,6400
7300,10600,9700,16000,6400
7300,10600,9700,15700,6700
7600,10600,9700,15700,6400
7300,10900,9700,15700,6400
7300,10600,9100,16600,6400
6700,10600,8800,17500,6400
5800,10600,8800,16900,7900
6100,10600,8800,16900,7600
5800,10900,8800,16900,7600
5800,10600,9100,16900,7600
6700,10600,8800,16300,7600
6100,10600,8800,17500,7000
5500,10600,8800,17500,7600
5200,10900,8800,17500,7600
5200,10600,9100,17500,7600
5200,10600,8800,17800,7600
4600,10600,8800,19600,6400
4900,10600,8800,19600,6100
4600,10900,8800,19600,6100
4600,10600,9100,19600,6100
4600,10600,8800,19900,6100
4600,10600,8800,19600,6400
4900,10600,8800,19600,6100
4600,10900,8800,19600,6100
4600,10600,9100,19600,6100
4600,10600,8800,19900,6100
4000,10600,8800,21100,5500
4300,10600,8800,21100,5200
4000,10900,8800,21100,5200
4000,10600,9100,21100,5200
4000,10600,8800,21400,5200
4000,10600,8800,21100,5500
4300,10600,8800,21100,5200
4000,10900,8800,21100,5200
4000,10600,9100,21100,5200
4000,10600,8800,21400,5200
3400,10600,8800,23500,3700
2800,10600,8800,23500,4300
2500,10900,8800,23500,4300
2500,10600,9100,23500,4300
1900,10600,8800,24400,4300
1900,10600,8800,24100,4600
2200,10600,8800,24100,4300
1900,10900,8800,24100,4300
1900,10600,9100,24100,4300
1900,10600,8800,24400,4300
3700,10600,8800,23800,3100
3100,10600,8800,23800,3700
2800,10900,8800,23800,3700
2800,10600,9100,23800,3700
2800,10600,8800,24100,3700
2800,10600,8800,23800,4000
3100,10600,8800,23800,3700
2800,10900,8800,23800,3700
2800,10600,9100,23800,3700
2800,10600,8800,24100,3700
2800,10600,8800,23800,4000
2200,10600,8800,24700,3700
1900,10900,8800,24700,3700
1900,10600,9100,24700,3700
1900,10600,8800,25000,3700
4300,10600,8800,24400,1900
4600,10600,8800,24400,1600
4300,10900,8800,24400,1600
4300,10600,9100,24400,1600
5200,10600,8800,23800,1600
4600,10600,8800,23200,2800
4900,10600,8800,23200,2500
4600,10900,8800,23200,2500
4600,10600,9100,23200,2500
4600,10600,8800,23500,2500
4600,10600,8800,23200,2800
4900,10600,8800,23200,2500
4600,10900,8800,23200,2500
4600,10600,9100,23200,2500
4600,10600,8800,23500,2500
4000,10600,8800,24700,1900
4600,10600,8800,24700,1300
4300,10900,8800,24700,1300
3700,10600,9700,24700,1300
3700,10600,9400,25000,1300
5900,10600,9400,24100,0
5900,10600,9400,24100,0
5600,10900,9400,24100,0
5600,10600,9700,24100,0
5600,10600,9400,24400,0
5900,10600,9400,24100,0
5600,10900,9400,24100,0
5300,11200,9400,24100,0
5300,10900,9700,24100,0
5300,10900,9400,24400,0
5600,10900,9400,24100,0
5600,10900,9400,24100,0
5300,11200,9400,24100,0
5300,10900,9700,24100,0
5300,10900,9400,24400,0
5600,10900,9400,24100,0
5600,10900,9400,24100,0
5300,11200,9400,24100,0
5300,10900,9700,24100,0
5300,10900,9400,24400,0
5600,10900,9400,24100,0
5300,10900,9400,24400,0
5000,11200,9400,24400,0
5000,10900,9700,24400,0
5000,10900,9400,24700,0
5300,10900,9400,24400,0
5000,11200,9400,24400,0
4700,11500,9400,24400,0
4700,11200,9700,24400,0
4700,11200,9400,24700,0
5000,11200,9400,24400,0
4700,11500,9400,24400,0
4400,11800,9400,24400,0
4400,11500,9700,24400,0
4400,11500,9400,24700,0
4700,11500,9400,24400,0
4700,11500,9400,24400,0
4400,11800,9400,24400,0
4400,11500,9700,24400,0
4400,11500,9400,24700,0
4700,11500,9400,24400,0
4100,10900,9400,25600,0
3800,11200,9400,25600,0
3800,10900,9700,25600,0
3800,10900,9400,25900,0
4100,10900,9400,25600,0
4100,10900,9400,25600,0
3800,11200,9400,25600,0
3800,10900,9700,25600,0
3800,10900,9400,25900,0
4100,10900,9400,25600,0
4100,10900,9400,25600,0
3800,11200,9400,25600,0
3800,10900,9700,25600,0
3800,10900,9400,25900,0
4100,10900,9400,25600,0
3800,11200,9400,25600,0
3500,11500,9400,25600,0
3500,11200,9700,25600,0
3500,11200,9400,25900,0
3500,11200,9400,25900,0
3500,11200,9400,25900,0
3200,11500,9400,25900,0
3200,11200,9700,25900,0
2600,11200,9400,26800,0
2600,11200,9400,26800,0
2600,11200,9400,26800,0
2300,11500,9400,26800,0
2300,11200,9700,26800,0
2300,11200,9400,27100,0
2600,11200,9400,26800,0
2600,11200,9400,26800,0
3200,10600,9400,26800,0
3200,10300,9700,26800,0
2600,10300,9400,27700,0
2900,10300,9400,27400,0
2900,10300,9400,27400,0
2600,10600,9400,27400,0
2600,10300,9700,27400,0
2000,10300,9400,28300,0
1400,10300,9400,28900,0
1400,10300,9400,28900,0
1100,10600,9400,28900,0
1100,10300,9700,28900,0
2000,10300,9400,28300,0
2300,10300,9400,28000,0
2300,10300,9400,28000,0
2000,10600,9400,28000,0
2000,10300,9700,28000,0
2000,10300,9400,28300,0
2300,10300,9400,28000,0
2300,10300,9400,28000,0
2000,10600,9400,28000,0
2000,10300,9700,28000,0
2000,10300,9400,28300,0
2300,10300,9400,28000,0
2000,10600,9400,28000,0
1700,10900,9400,28000,0
1700,10600,9700,28000,0
1700,10600,9400,28300,0
2000,10600,9400,28000,0
2000,10600,9400,28000,0
1700,10900,9400,28000,0
1700,10600,9700,28000,0
1700,10600,9400,28300,0
2000,10600,9400,28000,0
2000,10600,9400,28000,0
1700,10900,9400,28000,0
1700,10600,9700,28000,0
1700,10600,9400,28300,0
2000,10600,9400,28000,0
2000,10600,9400,28000,0
1700,10900,9400,28000,0
1700,10600,9700,28000,0
1700,10600,9400,28300,0
2000,10600,9400,28000,0
2000,10600,9400,28000,0
1700,10900,9400,28000,0
1700,10600,9700,28000,0
1700,10600,9400,28300,0
2000,10600,9400,28000,0
2000,10600,9400,28000,0
2600,10000,9400,28000,0
2600,9700,9700,28000,0
2600,9700,9400,28300,0
2900,9700,9400,28000,0
2900,9700,9400,28000,0
2600,10000,9400,28000,0
2600,9700,9700,28000,0
2600,9700,9400,28300,0
2000,9700,9400,28900,0
2000,9700,9400,28900,0
1700,10000,9400,28900,0
1700,9700,9700,28900,0
1700,9700,9400,29200,0
2000,9700,9400,28900,0
2000,9700,9400,28900,0
1700,10000,9400,28900,0
1700,9700,9700,28900,0
1700,9700,9400,29200,0
2000,9700,9400,28900,0
2000,9700,9400,28900,0
1700,10600,9400,28300,0
1700,10300,9700,28300,0
1700,10300,9400,28600,0
2000,10300,9400,28300,0
1700,10600,9400,28300,0
1400,10900,9400,28300,0
1400,10600,9700,28300,0
1400,10600,9400,28600,0
800,10600,9400,29200,0
800,10600,9400,29200,0
1400,10000,9400,29200,0
1400,9700,8800,30100,0
1400,9700,8500,30400,0
1700,9700,8500,30100,0
1700,9700,8500,30100,0
1400,10000,8500,30100,0
1400,9700,8800,30100,0
2300,9700,8500,29500,0
2600,9700,8500,29200,0
2600,9700,8500,29200,0
2300,10000,8500,29200,0
2300,9700,8800,29200,0
2300,9700,8500,29500,0
2600,9700,8500,29200,0
2600,9700,8500,29200,0
2300,10000,8500,29200,0
2300,9700,8800,29200,0
2300,9700,8500,29500,0
2600,9700,8500,29200,0
2300,10000,8500,29200,0
2000,10300,8500,29200,0
1400,10000,9400,29200,0
1400,10000,9100,29500,0
1700,10000,9100,29200,0
1700,10000,9100,29200,0
1400,10300,9100,29200,0
1400,10000,9400,29200,0
1400,10000,9100,29500,0
800,10000,9100,30100,0
500,10300,9100,30100,0
200,10600,9100,30100,0
200,10300,9400,30100,0
200,10300,9100,30400,0
200,10900,9100,29800,0
200,10900,9100,29800,0
200,10900,9100,29800,0
200,10600,9400,29800,0
200,10600,9100,30100,0
200,10900,9100,29800,0
200,10900,9100,29800,0
200,10900,9100,29800,0
200,10600,9400,29800,0
200,10600,9100,30100,0
200,10900,9100,29800,0
200,10900,9100,29800,0
200,10900,9100,29800,0
200,10600,9400,29800,0
200,10600,9100,30100,0
200,10000,9100,30700,0
200,10000,9100,30700,0
200,10000,9100,30700,0
200,9700,9400,30700,0
200,9700,9100,31000,0
200,10000,9100,30700,0
200,10000,9100,30700,0
200,10000,9100,30700,0
200,9700,9400,30700,0
200,9700,9100,31000,0
200,10000,9100,30700,0
200,10000,9100,30700,0
200,10000,9100,30700,0
200,9700,9400,30700,0
200,9700,9100,31000,0
200,10000,9100,30700,0
200,10000,9100,30700,0
200,10000,9100,30700,0
200,9700,9400,30700,0
200,9700,9100,31000,0
200,9100,9100,31600,0
200,9100,9100,31600,0
200,9100,9100,31600,0
200,8800,9400,31600,0
200,8800,9100,31900,0
200,8200,9100,32500,0
200,8200,9100,32500,0
200,8200,9100,32500,0
200,7900,9400,32500,0
200,7900,9100,32800,0
200,7300,9100,33400,0
200,7300,9100,33400,0
200,7300,9100,33400,0
200,7000,9400,33400,0
200,7000,9100,33700,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6100,9400,34300,0
200,6100,9100,34600,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6100,9400,34300,0
200,6100,9100,34600,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6100,9400,34300,0
200,6100,9100,34600,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6100,9400,34300,0
200,6100,9100,34600,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6100,9400,34300,0
200,6100,9100,34600,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6100,9400,34300,0
200,6100,9100,34600,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6400,9100,34300,0
200,6100,9400,34300,0
200,6100,9100,34600,0
200,5500,9100,35200,0
200,5500,9100,35200,0
200,5500,9100,35200,0
200,5200,9400,35200,0
200,5200,9100,35500,0
200,5500,9100,35200,0
200,5500,9100,35200,0
200,5500,9100,35200,0
200,5200,9400,35200,0
200,5200,9100,35500,0
200,5800,9100,34900,0
200,5800,9100,34900,0
200,5800,9100,34900,0
200,5500,9400,34900,0
200,5500,9100,35200,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
