CALL_MAN,SIMPLE_RANGE_EXP,SIMPLE_RANGE_EXP,EXPECTATION,EXPECTATION
0,0,21000,20800,8200
0,0,21300,20800,7900
0,0,21000,21100,7900
0,0,19500,22600,7900
0,0,19200,22900,7900
0,0,19200,22600,8200
0,0,19800,22600,7600
0,0,23100,19300,7600
0,0,23700,18700,7600
0,0,22200,20200,7600
0,0,22200,19900,7900
0,0,22500,19900,7600
0,0,22200,20200,7600
0,0,21900,20500,7600
0,0,22500,19900,7600
0,0,22500,18700,8800
0,0,22800,18700,8500
0,0,23400,18100,8500
0,0,23100,18400,8500
0,0,22800,18700,8500
0,0,22800,18400,8800
0,0,23100,18400,8500
0,0,23100,18400,8500
0,0,24000,17500,8500
0,0,23700,17800,8500
0,0,23700,17500,8800
0,0,24300,17500,8200
0,0,27900,13900,8200
0,0,31200,10600,8200
0,0,30900,10900,8200
0,0,30900,10600,8500
0,0,31200,10600,8200
0,0,30900,10900,8200
0,0,30600,11200,8200
0,0,30300,11500,8200
0,0,30300,11200,8500
0,0,30600,11200,8200
0,0,30300,11500,8200
0,0,30900,10900,8200
0,0,30600,11200,8200
0,0,30600,10900,8500
0,0,30900,10900,8200
0,0,30600,11200,8200
0,0,30300,11500,8200
0,0,30000,11800,8200
0,0,30000,11500,8500
0,0,30300,11500,8200
0,0,30900,10900,8200
0,0,33300,8500,8200
0,0,31800,10000,8200
0,0,31800,9700,8500
0,0,32100,9700,8200
0,0,31800,10000,8200
0,0,31500,10300,8200
0,0,31200,10600,8200
0,0,31200,12100,6700
0,0,31500,12100,6400
0,0,31200,12400,6400
0,0,30900,12700,6400
0,0,30600,13000,6400
0,0,30600,12700,6700
0,0,30900,12700,6400
0,0,30600,13000,6400
0,0,30300,13300,6400
0,0,30000,13600,6400
0,0,30000,13300,6700
0,0,29400,13300,7300
0,0,29100,13600,7300
0,0,28800,13900,7300
0,0,29400,13300,7300
0,0,29400,13000,7600
0,0,29700,13000,7300
0,0,29400,13300,7300
0,0,29100,13600,7300
0,0,28800,13900,7300
0,0,28800,13600,7600
0,0,29100,13600,7300
0,0,28800,13900,7300
0,0,30600,12100,7300
0,0,30300,12400,7300
0,0,30300,12100,7600
0,0,30900,12100,7000
0,0,30600,12400,7000
0,0,30300,12700,7000
0,0,30000,13000,7000
0,0,30000,12700,7300
0,0,29400,12700,7900
0,0,29100,13000,7900
0,0,28800,13300,7900
0,0,28500,13600,7900
0,0,28500,13000,8500
0,0,28800,13000,8200
0,0,28500,13300,8200
0,0,28200,13600,8200
0,0,27900,13900,8200
0,0,27900,13600,8500
0,0,28500,13600,7900
0,0,28200,13900,7900
0,0,27900,14200,7900
0,0,27600,14500,7900
0,0,27600,14200,8200
0,0,27900,14200,7900
0,0,26400,15700,7900
0,0,24900,18700,6400
0,0,24600,19000,6400
0,0,24600,18400,7000
0,0,24900,18400,6700
0,0,24600,18700,6700
0,0,24300,19000,6700
0,0,24000,19300,6700
0,0,24000,19000,7000
0,0,24300,19000,6700
0,0,24000,19300,6700
0,0,23700,19600,6700
0,0,23400,19900,6700
0,0,23400,19600,7000
0,0,24600,19600,5800
0,0,24300,19900,5800
0,0,24000,20200,5800
0,0,23700,20500,5800
0,0,23700,20200,6100
0,0,24000,20200,5800
0,0,23700,20500,5800
0,0,23400,20800,5800
0,0,23100,21100,5800
0,0,23100,20800,6100
0,0,23400,20800,5800
0,0,23100,21100,5800
0,0,22800,21400,5800
0,0,22500,21700,5800
0,0,22500,21400,6100
0,0,22800,21400,5800
0,0,22500,21700,5800
0,0,20700,23500,5800
0,0,20400,23800,5800
0,0,20400,23500,6100
0,0,20700,23500,5800
