EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,
0,98400,60300,153150,228150,0,
0,109800,48900,153150,228150,0,
0,111000,48300,152550,228150,0,
0,111000,42300,159150,227550,0,
0,106800,47400,158550,227250,0,
0,96000,47400,169350,227250,0,
0,96000,47400,169350,227250,0,
0,96600,46800,169350,227250,0,
0,108600,35400,168750,227250,0,
0,108600,35400,168450,227550,0,
0,108900,35400,168450,227250,0,
0,108900,35400,168450,227250,0,
0,101700,33600,168450,236250,0,
0,101100,33000,168450,237450,0,
0,101100,32400,169050,237450,0,
0,101100,32400,169650,236850,0,
0,101400,32400,169650,236550,0,
0,90600,32400,194850,222150,0,
0,90600,32400,194850,222150,0,
0,102600,31800,194850,210750,0,
0,102600,20400,206250,210750,0,
0,102600,5400,191250,240750,0,
0,102900,5400,191250,240450,0,
0,102900,10800,187650,238650,0,
0,117300,10800,187650,224250,0,
0,116700,10200,187650,225450,0,
0,116700,16200,181650,225450,0,
0,116700,0,164850,258450,0,
0,117000,0,164850,258150,0,
0,117000,0,164850,258150,0,
0,117000,0,172050,250950,0,
0,120900,0,164250,254850,0,
0,120900,0,164250,254850,0,
0,120900,0,163950,255150,0,
0,121200,0,163950,254850,0,
0,121200,0,163950,254850,0,
0,175200,0,135150,229650,0,
0,163800,0,146550,229650,0,
0,163800,0,146550,229650,0,
0,163800,0,146250,229950,0,
0,150600,0,146250,243150,0,
0,147000,0,151650,241350,0,
0,154200,0,151650,234150,0,
0,153900,0,151950,234150,0,
0,153900,0,151950,234150,0,
0,153900,0,133650,252450,0,
0,153300,0,151050,235650,0,
0,153300,0,151050,235650,0,
0,153300,0,151050,235650,0,
0,153000,0,151350,235650,0,
0,153000,0,142350,244650,0,
0,143400,0,142050,254550,0,
0,143700,0,142050,254250,0,
0,158100,0,142050,239850,0,
0,150900,0,149250,239850,0,
0,150300,0,149850,239850,0,
0,150300,0,149850,239850,0,
0,150300,0,149550,240150,0,
0,149700,0,149550,240750,0,
0,146100,0,149550,244350,0,
0,146100,0,149550,244350,0,
0,146700,0,148950,244350,0,
0,146700,0,148950,244350,0,
0,146700,0,148650,244650,0,
0,147000,0,148650,244350,0,
0,129000,0,148650,262350,0,
0,154200,0,136050,249750,0,
0,154800,0,135450,249750,0,
0,140400,0,135450,264150,0,
0,140400,0,136050,263550,0,
0,139800,0,137250,262950,0,
0,143400,0,137250,259350,0,
0,143400,0,148050,248550,0,
0,128400,0,147450,264150,0,
0,114000,0,176250,249750,0,
0,114000,0,166650,259350,0,
0,114300,0,166650,259050,0,
0,107100,0,173850,259050,0,
0,107100,0,173850,259050,0,
0,106800,0,174150,259050,0,
0,133800,0,174150,232050,0,
0,133800,0,173850,232350,0,
0,134100,0,173850,232050,0,
0,134100,0,173850,232050,0,
0,134100,0,173850,232050,0,
0,133800,0,174150,232050,0,
0,133800,0,174150,232050,0,
0,133800,0,173550,232650,0,
0,134400,0,173550,232050,0,
0,123600,0,184350,232050,0,
0,138000,0,184350,217650,0,
0,153000,0,169350,217650,0,
0,145800,0,169350,224850,0,
0,145800,0,169050,225150,0,
0,157200,0,169050,213750,0,
0,157200,0,169050,213750,0,
0,157200,0,169050,213750,0,
0,156900,0,169350,213750,0,
0,137100,0,158550,244350,0,
0,137100,0,164550,238350,0,
0,137400,0,164550,238050,0,
0,137400,0,164550,238050,0,
0,157200,0,164550,218250,0,
0,156900,0,164850,218250,0,
0,156900,0,164850,218250,0,
0,156900,0,164550,218550,0,
0,157200,0,164550,218250,0,
0,157200,0,164550,218250,0,
0,157200,0,164550,218250,0,
0,165600,0,163950,210450,0,
0,165600,0,163950,210450,0,
0,165600,0,152550,221850,0,
0,165000,0,152550,222450,0,
0,174000,0,143550,222450,0,
0,174000,0,143550,222450,0,
