EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,
160500,159000,28800,40650,98400,52650,
150900,158400,28200,59250,98400,44850,
144900,161700,28200,58650,101700,44850,
144900,161700,40200,58650,90300,44250,
144300,161700,40200,59850,90300,43650,
141900,164100,40200,59850,90300,43650,
141900,164700,39600,59850,90300,43650,
141900,164700,40200,59250,90300,43650,
144900,164700,40200,58650,87900,43650,
144900,165150,40200,59100,87600,43050,
144300,165150,40200,59100,88500,42750,
144000,164550,39600,54900,88500,48450,
144000,165150,39000,54900,88500,48450,
144000,165150,29400,45300,107700,48450,
144000,164550,29400,39300,114300,48450,
144000,163950,23400,39300,114000,55350,
134400,163950,13800,39300,133800,54750,
142800,159750,13800,39300,133800,50550,
142800,159450,13200,40200,133800,50550,
142800,159450,22800,30600,133800,50550,
142800,159450,22800,21000,143400,50550,
166800,159450,15000,13200,135600,49950,
166200,159450,15000,13200,136800,49350,
165900,169350,5400,13200,136800,49350,
165900,169050,16500,5400,133800,49350,
165900,169050,16200,5700,133800,49350,
165900,169050,16200,5400,134100,49350,
165900,169050,16200,5400,133800,49650,
165300,161250,16200,5400,133800,58050,
165000,153450,24300,5400,133800,58050,
165900,153150,23700,5400,133800,58050,
165900,158850,23400,0,133800,58050,
165900,158850,32400,0,124800,58050,
165900,158850,32400,0,118800,64050,
166200,158850,32400,0,118800,63750,
165600,159450,32400,0,118800,63750,
165600,159150,32700,0,118800,63750,
165600,159150,32400,0,118200,64650,
153000,171750,32400,0,118200,64650,
153000,171750,32400,0,112200,70650,
138000,171750,32400,0,142200,55650,
137400,172350,32400,0,142200,55650,
137400,172050,32700,0,142200,55650,
131400,172050,32400,0,149100,55050,
131400,172050,27000,0,149100,60450,
131400,171450,39300,0,148800,49050,
141000,171450,39300,0,148800,39450,
140700,171750,39300,0,148800,39450,
140700,171450,39600,0,148800,39450,
138300,170850,39300,0,152100,39450,
138300,176250,33900,0,152100,39450,
138300,176250,33900,0,151500,40050,
137700,176250,35400,0,150900,39750,
140700,173850,35400,0,150900,39150,
140700,166050,27600,0,166500,39150,
140700,166050,28200,0,165900,39150,
146100,160650,28200,0,165900,39150,
146100,160650,25800,0,168900,38550,
141900,160650,30300,0,168900,38250,
141600,161550,29700,0,168900,38250,
141600,160950,29100,0,168300,40050,
141600,160950,29700,0,167700,40050,
136200,160950,35100,0,167700,40050,
136200,160950,43500,0,159900,39450,
146700,160350,43500,0,150300,39150,
146400,159750,43500,0,150300,40050,
154200,152550,42900,0,150300,40050,
154200,146550,42300,0,156900,40050,
154200,146550,42300,0,156900,40050,
153600,146550,42300,0,158100,39450,
153000,146550,42300,0,158100,40050,
152700,146850,42300,0,158100,40050,
152700,146550,32700,0,158100,49950,
152700,146550,32400,0,158400,49950,
141900,146550,32400,0,169200,49950,
141900,146550,32400,0,168900,50250,
144900,145950,32400,0,168900,47850,
144600,145350,33300,0,168900,47850,
144600,145050,33600,0,168900,47850,
144600,145150,33300,0,169000,47950,
144600,145150,33300,0,169000,47950,
144600,145150,33300,0,169600,47350,
144000,145150,33300,0,158200,59350,
143700,145450,33300,0,158200,59350,
143700,156850,21900,0,158200,59350,
143700,156850,21900,0,158200,59350,
143700,156850,20100,0,156400,62950,
143700,156850,15900,0,156100,67450,
141300,156850,15900,0,159100,66850,
141000,157150,15900,0,159100,66850,
141000,156850,16200,0,159100,66850,
141000,156850,15900,0,159400,66850,
141000,176650,15900,0,150400,56050,
157200,168850,15900,0,142600,55450,
156600,168850,16800,0,142600,55150,
150600,168250,16800,0,142600,61750,
150000,167650,22200,0,138400,61750,
150000,167650,26400,0,134200,61750,
150000,167650,26400,0,134200,61750,
149400,167650,26400,0,126400,70150,
155400,167650,26400,0,126400,64150,
154800,167050,26400,0,127600,64150,
154800,167350,26700,0,127000,64150,
154800,167350,42300,0,119200,56350,
154800,167350,42300,0,119200,56350,
154800,167350,42300,0,130600,44950,
154200,167350,42300,0,131500,44650,
164400,166750,42300,0,121900,44650,
164400,169750,41700,0,119500,44650,
164400,169750,37500,0,117100,51250,
164400,169750,37500,0,117100,51250,
153000,169750,37500,0,139900,39850,
152400,169750,39000,0,139300,39550,
152100,169150,39000,0,144400,35350,
149700,168850,38400,0,144400,38650,
149700,168850,36000,0,146800,38650,
149700,168850,36000,0,146800,38650,
149700,162850,36000,0,153400,38050,
149100,162850,37200,0,153400,37450,
158700,153250,37200,0,153400,37450,
158700,143650,47400,0,152800,37450,
158700,143050,48600,0,152200,37450,
158700,143050,46800,0,154000,37450,
158700,143050,46800,0,153700,37750,
158100,143050,46800,0,151300,40750,
157500,143650,46800,0,151300,40750,
156900,143350,46200,0,139900,53650,
156900,143350,52200,0,133900,53650,
156900,143350,52200,0,141100,46450,
157800,143350,52200,0,140800,45850,
158100,143350,52200,0,140800,45550,
157800,142750,44400,0,140800,54250,
159300,142450,43800,0,140800,53650,
149700,132850,34200,0,140200,83050,
149700,147250,27000,0,133000,83050,
149700,147250,27900,0,132700,82450,
149100,147250,27900,0,139300,76450,
146700,146650,33300,0,136900,76450,
146700,146050,25500,0,136900,84850,
146700,146050,25200,0,136300,85750,
146700,146050,25200,0,136300,85750,
146700,146050,25200,0,136000,86050,
147000,146050,25200,0,136000,85750,
146700,145450,24600,0,137500,85750,
146700,150250,24000,0,133300,85750,
150000,150250,23700,0,130900,85150,
150000,144850,16500,0,143500,85150,
150000,144850,16800,0,142900,85450,
145800,144850,16800,0,147700,84850,
145500,137050,7200,0,147700,102550,
145500,130450,21600,0,147700,94750,
145500,119050,33600,0,147100,94750,
132900,119050,33600,0,159700,94750,
132900,118450,44400,0,150100,94150,
133500,118450,44400,0,150100,93550,
132900,119050,44400,0,150100,93550,
132900,118750,43800,0,158800,85750,
132900,107350,56400,0,158200,85150,
132900,107350,58200,0,156400,85150,
132900,107350,58200,0,162400,79150,
133800,107350,57600,0,162400,78850,
134400,106750,57600,0,162400,78850,
134400,106450,57900,0,162400,78850,
