EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,
38100,145150,0,0,356650,100,
41700,145150,0,0,353050,100,
41100,145150,0,0,353650,100,
41100,145150,0,0,353650,100,
40800,145450,0,0,353650,100,
40800,145150,0,0,353950,100,
42600,145150,0,0,352150,100,
42600,145150,0,0,352150,100,
42900,145150,0,0,351850,100,
42900,148750,0,0,348250,100,
42600,149050,0,0,348250,100,
42600,161950,0,0,335350,100,
42600,161950,0,0,335350,100,
42600,152950,0,0,344350,100,
42900,152950,0,0,344050,100,
42900,152950,0,0,344050,100,
31500,164350,0,0,344050,100,
31500,163750,0,0,344650,100,
31500,163750,0,0,344650,100,
31500,156550,0,0,351850,100,
31800,156550,0,0,351550,100,
31800,156550,0,0,351550,100,
31500,156850,0,0,351550,100,
31500,156550,0,0,351850,100,
31500,156550,0,0,351850,100,
31500,156550,0,0,351850,100,
30900,157450,0,0,351550,100,
27300,164650,0,0,347950,100,
21300,171250,0,0,347350,100,
21300,170950,0,0,347650,100,
21300,170950,0,0,347650,100,
21300,170950,0,0,347650,100,
13500,166750,0,0,359650,100,
2700,177550,0,0,359650,100,
2400,177850,0,0,359650,100,
2400,177550,0,0,359950,100,
6600,175150,0,0,358150,100,
10200,173350,0,0,356350,100,
9600,174250,0,0,356050,100,
11400,172450,0,0,356050,100,
11100,172750,0,0,356050,100,
11100,173350,0,0,355450,100,
11100,173350,0,0,355450,100,
11100,173350,0,0,355450,100,
10500,173350,0,0,356050,100,
10500,173350,0,0,356050,100,
10200,173650,0,0,356050,100,
10200,173350,0,0,356350,100,
10200,175150,0,0,354550,100,
10200,176950,0,0,352750,100,
9600,176950,0,0,353350,100,
15000,176950,0,0,347950,100,
21000,170950,0,0,347950,100,
21000,166750,0,0,352150,100,
21000,166750,0,0,352150,100,
21000,166750,0,0,352150,100,
20400,157150,0,0,362350,100,
16800,157150,0,0,365950,100,
5400,169150,0,0,365350,100,
5400,168850,0,0,365650,100,
5400,168850,0,0,365650,100,
5400,161650,0,0,372850,100,
5700,161650,0,0,372550,100,
3900,165250,0,0,370750,100,
7800,161350,0,0,370750,100,
7800,170950,0,0,361150,100,
2400,176350,0,0,361150,100,
2400,176350,0,0,361150,100,
5100,173950,0,0,360850,100,
5100,173950,0,0,360850,100,
4800,174250,0,0,360850,100,
4800,173950,0,0,361150,100,
4800,173950,0,0,361150,100,
8400,173950,0,0,357550,100,
7800,174850,0,0,357250,100,
15600,168850,0,0,355450,100,
16200,168250,0,0,355450,100,
16200,174250,0,0,349450,100,
27000,163450,0,0,349450,100,
30600,163450,0,0,345850,100,
30900,163450,0,0,345550,100,
30900,163450,0,0,345550,100,
30600,162850,0,0,346450,100,
30600,162550,0,0,346750,100,
30600,162550,0,0,346750,100,
30600,162550,0,0,346750,100,
24600,162550,0,0,352750,100,
24600,162550,0,0,352750,100,
24000,165550,0,0,350350,100,
24000,164950,0,0,350950,100,
24000,164950,0,0,350950,100,
24000,164950,0,0,350950,100,
23400,164950,0,0,351550,100,
16200,172150,0,0,351550,100,
15900,172450,0,0,351550,100,
15900,173050,0,0,350950,100,
17700,173050,0,0,349150,100,
24900,173050,0,0,341950,100,
25200,173050,0,0,341650,100,
25200,173050,0,0,341650,100,
24900,173200,0,0,341800,100,
18900,167200,0,0,353800,100,
22500,167200,0,0,350200,100,
22500,167200,0,0,350200,100,
18300,172000,0,0,349600,100,
18300,172000,0,0,349600,100,
17700,172600,0,0,349600,100,
18900,172000,0,0,349000,100,
24300,172000,0,0,343600,100,
24300,172000,0,0,343600,100,
24600,172000,0,0,343300,100,
24600,172000,0,0,343300,100,
18600,178000,0,0,343300,100,
19800,172000,0,0,348100,100,
19800,172000,0,0,348100,100,
21600,170200,0,0,348100,100,
21000,160600,0,0,358300,100,
35400,146200,0,0,358300,100,
27600,165400,0,0,346900,100,
27600,165100,0,0,347200,100,
27600,165100,0,0,347200,100,
27600,168700,0,0,343600,100,
27900,168700,0,0,343300,100,
27900,175900,0,0,336100,100,
27900,175900,0,0,336100,100,
27900,175300,0,0,336700,100,
27900,168100,0,0,343900,100,
27900,166300,0,0,345700,100,
23700,166300,0,0,349900,100,
23700,166300,0,0,349900,100,
10500,179500,0,0,349900,100,
10500,179200,0,0,350200,100,
10500,179200,0,0,350200,100,
10500,179200,0,0,350200,100,
9900,180400,0,0,349600,100,
9900,180400,0,0,349600,100,
9600,180700,0,0,349600,100,
9000,176500,0,0,354400,100,
9000,176500,0,0,354400,100,
9000,181900,0,0,349000,100,
9300,181900,0,0,348700,100,
9300,181900,0,0,348700,100,
9900,181300,0,0,348700,100,
9900,181000,0,0,349000,100,
9900,188200,0,0,341800,100,
9900,188200,0,0,341800,100,
10200,188200,0,0,341500,100,
10200,184600,0,0,345100,100,
9900,184900,0,0,345100,100,
9900,184600,0,0,345400,100,
9900,184600,0,0,345400,100,
2700,181000,0,0,356200,100,
0,184000,0,0,355900,100,
0,184000,0,0,355900,100,
0,184000,0,0,355900,100,
0,184600,0,0,355300,100,
0,184600,0,0,355300,100,
0,184600,0,0,355300,100,
0,184900,0,0,355000,100,
0,184900,0,0,355000,100,
0,184900,0,0,355000,100,
0,184600,0,0,355300,100,
0,184600,0,0,355300,100,
0,188200,0,0,351700,100,
0,188500,0,0,351400,100,
0,190300,0,0,349600,100,
0,190300,0,0,349600,100,
0,190300,0,0,349600,100,
0,183100,0,0,356800,100,
0,183100,0,0,356800,100,
0,183400,0,0,356500,100,
0,183400,0,0,356500,100,
0,183400,0,0,356500,100,
0,182800,0,0,357100,100,
0,182800,0,0,357100,100,
0,182800,0,0,357100,100,
0,183100,0,0,356800,100,
0,193900,0,0,346000,100,
0,193900,0,0,346000,100,
0,193600,0,0,346300,100,
0,190000,0,0,349900,100,
0,191800,0,0,348100,100,
0,201400,0,0,338500,100,
0,201400,0,0,338500,100,
0,199600,0,0,340300,100,
0,199300,0,0,340600,100,
0,201100,0,0,338800,100,
0,197500,0,0,342400,100,
0,197800,0,0,342100,100,
0,197800,0,0,342100,100,
0,197800,0,0,342100,100,
0,197500,0,0,342400,100,
0,197500,0,0,342400,100,
0,206500,0,0,333400,100,
0,207100,0,0,332800,100,
0,207100,0,0,332800,100,
0,207100,0,0,332800,100,
0,206500,0,0,333400,100,
0,206500,0,0,333400,100,
0,215500,0,0,324400,100,
0,223300,0,0,316600,100,
0,228700,0,0,311200,100,
0,228700,0,0,311200,100,
0,228400,0,0,311500,100,
0,228400,0,0,311500,100,
0,228400,0,0,311500,100,
0,227800,0,0,312100,100,
0,227800,0,0,312100,100,
0,227800,0,0,312100,100,
0,233800,0,0,306100,100,
0,233800,0,0,306100,100,
0,233800,0,0,306100,100,
0,233200,0,0,306700,100,
0,233200,0,0,306700,100,
0,233200,0,0,306700,100,
0,230800,0,0,309100,100,
0,230800,0,0,309100,100,
0,236200,0,0,303700,100,
0,235600,0,0,304300,100,
0,241000,0,0,298900,100,
0,241000,0,0,298900,100,
0,241600,0,0,298300,100,
0,241600,0,0,298300,100,
0,238000,0,0,301900,100,
0,238300,0,0,301600,100,
0,238300,0,0,301600,100,
0,238300,0,0,301600,100,
0,238000,0,0,301900,100,
0,238000,0,0,301900,100,
0,238000,0,0,301900,100,
0,237400,0,0,302500,100,
0,237400,0,0,302500,100,
0,235600,0,0,304300,100,
0,235300,0,0,304600,100,
0,235300,0,0,304600,100,
0,235300,0,0,304600,100,
0,239500,0,0,300400,100,
0,239500,0,0,300400,100,
0,239500,0,0,300400,100,
0,240100,0,0,299800,100,
0,240100,0,0,299800,100,
0,240100,0,0,299800,100,
0,239500,0,0,300400,100,
0,243100,0,0,296800,100,
0,253900,0,0,286000,100,
0,253600,0,0,286300,100,
0,253600,0,0,286300,100,
0,253600,0,0,286300,100,
0,253900,0,0,286000,100,
0,252100,0,0,287800,100,
0,252100,0,0,287800,100,
0,251800,0,0,288100,100,
0,251800,0,0,288100,100,
0,251800,0,0,288100,100,
0,251200,0,0,288700,100,
0,251200,0,0,288700,100,
0,251200,0,0,288700,100,
0,250900,0,0,289000,100,
0,247300,0,0,292600,100,
0,247300,0,0,292600,100,
0,247600,0,0,292300,100,
0,247600,0,0,292300,100,
0,247600,0,0,292300,100,
0,251800,0,0,288100,100,
0,251800,0,0,288100,100,
0,251800,0,0,288100,100,
0,252100,0,0,287800,100,
0,252100,0,0,287800,100,
0,255700,0,0,284200,100,
0,261700,0,0,278200,100,
0,261700,0,0,278200,100,
0,261700,0,0,278200,100,
0,262000,0,0,277900,100,
0,262000,0,0,277900,100,
0,262000,0,0,277900,100,
0,266200,0,0,273700,100,
0,259000,0,0,280900,100,
0,259000,0,0,280900,100,
0,258400,0,0,281500,100,
0,258400,0,0,281500,100,
0,258400,0,0,281500,100,
0,248800,0,0,291100,100,
0,248800,0,0,291100,100,
0,248800,0,0,291100,100,
0,249100,0,0,290800,100,
0,249100,0,0,290800,100,
0,249100,0,0,290800,100,
0,248800,0,0,291100,100,
0,248800,0,0,291100,100,
0,254200,0,0,285700,100,
0,254800,0,0,285100,100,
0,254800,0,0,285100,100,
0,254800,0,0,285100,100,
0,254500,0,0,285400,100,
0,254500,0,0,285400,100,
0,254500,0,0,285400,100,
0,254800,0,0,285100,100,
0,254800,0,0,285100,100,
0,254800,0,0,285100,100,
0,254500,0,0,285400,100,
0,254500,0,0,285400,100,
0,254500,0,0,285400,100,
0,253900,0,0,286000,100,
0,257500,0,0,282400,100,
0,257500,0,0,282400,100,
0,267100,0,0,272800,100,
0,256300,0,0,283600,100,
0,256300,0,0,283600,100,
0,252100,0,0,287800,100,
0,262900,0,0,277000,100,
0,262900,0,0,277000,100,
0,262600,0,0,277300,100,
0,260800,0,0,279100,100,
0,260800,0,0,279100,100,
0,266800,0,0,273100,100,
0,266800,0,0,273100,100,
0,266800,0,0,273100,100,
0,266500,0,0,273400,100,
0,266500,0,0,273400,100,
0,266500,0,0,273400,100,
0,267100,0,0,272800,100,
0,267100,0,0,272800,100,
0,267100,0,0,272800,100,
0,266800,0,0,273100,100,
0,266800,0,0,273100,100,
0,266800,0,0,273100,100,
0,264400,0,0,275500,100,
0,266200,0,0,273700,100,
0,266200,0,0,273700,100,
0,265900,0,0,274000,100,
0,265900,0,0,274000,100,
0,273100,0,0,266800,100,
0,268900,0,0,271000,100,
0,277900,0,0,262000,100,
0,277900,0,0,262000,100,
0,277600,0,0,262300,100,
0,281200,0,0,258700,100,
0,281200,0,0,258700,100,
0,280600,0,0,259300,100,
0,286000,0,0,253900,100,
0,286000,0,0,253900,100,
0,293800,0,0,246100,100,
0,293800,0,0,246100,100,
0,293800,0,0,246100,100,
0,305200,0,0,234700,100,
0,305200,0,0,234700,100,
0,305200,0,0,234700,100,
0,299200,0,0,240700,100,
0,288400,0,0,251500,100,
0,284800,0,0,255100,100,
0,273400,0,0,266500,100,
0,273400,0,0,266500,100,
0,275200,0,0,264700,100,
0,274900,0,0,265000,100,
0,274900,0,0,265000,100,
0,274900,0,0,265000,100,
0,275200,0,0,264700,100,
0,275200,0,0,264700,100,
0,268000,0,0,271900,100,
0,267700,0,0,272200,100,
0,267700,0,0,272200,100,
0,267700,0,0,272200,100,
0,268000,0,0,271900,100,
0,269800,0,0,270100,100,
0,259000,0,0,280900,100,
0,259600,0,0,280300,100,
0,259600,0,0,280300,100,
0,248800,0,0,291100,100,
0,249100,0,0,290800,100,
0,249100,0,0,290800,100,
0,249100,0,0,290800,100,
0,248800,0,0,291100,100,
0,250600,0,0,289300,100,
0,250600,0,0,289300,100,
0,250900,0,0,289000,100,
0,249100,0,0,290800,100,
0,249100,0,0,290800,100,
0,248800,0,0,291100,100,
0,248800,0,0,291100,100,
0,248800,0,0,291100,100,
0,249100,0,0,290800,100,
0,249100,0,0,290800,100,
0,249100,0,0,290800,100,
0,249700,0,0,290200,100,
0,249700,0,0,290200,100,
0,251500,0,0,288400,100,
0,251800,0,0,288100,100,
0,251800,0,0,288100,100,
0,251800,0,0,288100,100,
0,251200,0,0,288700,100,
0,251200,0,0,288700,100,
0,244000,0,0,295900,100,
0,244300,0,0,295600,100,
0,244300,0,0,295600,100,
0,253300,0,0,286600,100,
0,257500,0,0,282400,100,
0,259300,0,0,280600,100,
0,270100,0,0,269800,100,
0,279700,0,0,260200,100,
0,288700,0,0,251200,100,
0,295900,0,0,244000,100,
0,289900,0,0,250000,100,
0,289900,0,0,250000,100,
0,289900,0,0,250000,100,
0,290200,0,0,249700,100,
0,290200,0,0,249700,100,
0,290200,0,0,249700,100,
0,296200,0,0,243700,100,
0,296200,0,0,243700,100,
0,296200,0,0,243700,100,
0,296800,0,0,243100,100,
0,296800,0,0,243100,100,
0,296800,0,0,243100,100,
0,296200,0,0,243700,100,
0,289000,0,0,250900,100,
0,289000,0,0,250900,100,
0,289000,0,0,250900,100,
0,287200,0,0,252700,100,
0,287200,0,0,252700,100,
0,286900,0,0,253000,100,
0,286900,0,0,253000,100,
0,286900,0,0,253000,100,
0,287200,0,0,252700,100,
0,287200,0,0,252700,100,
0,294400,0,0,245500,100,
0,293800,0,0,246100,100,
0,293800,0,0,246100,100,
0,293800,0,0,246100,100,
0,294400,0,0,245500,100,
0,299800,0,0,240100,100,
0,305200,0,0,234700,100,
0,304900,0,0,235000,100,
0,304900,0,0,235000,100,
0,304900,0,0,235000,100,
0,305200,0,0,234700,100,
0,314200,0,0,225700,100,
0,314200,0,0,225700,100,
0,313900,0,0,226000,100,
0,313900,0,0,226000,100,
0,313900,0,0,226000,100,
0,314200,0,0,225700,100,
0,314200,0,0,225700,100,
0,314200,0,0,225700,100,
0,314800,0,0,225100,100,
0,314800,0,0,225100,100,
0,313000,0,0,226900,100,
0,313300,0,0,226600,100,
0,316900,0,0,223000,100,
0,316900,0,0,223000,100,
0,316300,0,0,223600,100,
0,316300,0,0,223600,100,
0,316300,0,0,223600,100,
0,320500,0,0,219400,100,
0,320500,0,0,219400,100,
0,322300,0,0,217600,100,
0,328300,0,0,211600,100,
0,328300,0,0,211600,100,
0,328300,0,0,211600,100,
0,327700,0,0,212200,100,
0,327700,0,0,212200,100,
0,327700,0,0,212200,100,
0,327400,0,0,212500,100,
0,322000,0,0,217900,100,
0,318400,0,0,221500,100,
0,318700,0,0,221200,100,
0,318700,0,0,221200,100,
0,316900,0,0,223000,100,
0,324700,0,0,215200,100,
0,326500,0,0,213400,100,
0,326500,0,0,213400,100,
0,332500,0,0,207400,100,
0,343300,0,0,196600,100,
0,343300,0,0,196600,100,
0,343900,0,0,196000,100,
0,333100,0,0,206800,100,
0,320500,0,0,219400,100,
0,330100,0,0,209800,100,
0,330100,0,0,209800,100,
0,330100,0,0,209800,100,
0,329800,0,0,210100,100,
0,329800,0,0,210100,100,
0,328000,0,0,211900,100,
0,328300,0,0,211600,100,
0,328300,0,0,211600,100,
0,328300,0,0,211600,100,
0,328000,0,0,211900,100,
0,328000,0,0,211900,100,
0,328000,0,0,211900,100,
0,327400,0,0,212500,100,
0,327400,0,0,212500,100,
0,327400,0,0,212500,100,
0,327100,0,0,212800,100,
0,327100,0,0,212800,100,
0,319900,0,0,220000,100,
0,319300,0,0,220600,100,
0,319300,0,0,220600,100,
0,319300,0,0,220600,100,
0,319000,0,0,220900,100,
0,319000,0,0,220900,100,
0,322600,0,0,217300,100,
0,322900,0,0,217000,100,
0,322900,0,0,217000,100,
0,322900,0,0,217000,100,
0,322600,0,0,217300,100,
0,322600,0,0,217300,100,
0,322600,0,0,217300,100,
0,322000,0,0,217900,100,
0,327400,0,0,212500,100,
0,329200,0,0,210700,100,
0,328900,0,0,211000,100,
0,328900,0,0,211000,100,
0,330700,0,0,209200,100,
0,331000,0,0,208900,100,
0,336400,0,0,203500,100,
0,336400,0,0,203500,100,
0,336100,0,0,203800,100,
0,336100,0,0,203800,100,
0,336100,0,0,203800,100,
0,336400,0,0,203500,100,
0,336400,0,0,203500,100,
0,336400,0,0,203500,100,
0,330400,0,0,209500,100,
0,323200,0,0,216700,100,
0,323200,0,0,216700,100,
0,323800,0,0,216100,100,
0,322000,0,0,217900,100,
0,322000,0,0,217900,100,
0,321700,0,0,218200,100,
0,321700,0,0,218200,100,
0,321700,0,0,218200,100,
0,319300,0,0,220600,100,
0,319300,0,0,220600,100,
0,319300,0,0,220600,100,
0,318700,0,0,221200,100,
0,318700,0,0,221200,100,
0,318700,0,0,221200,100,
0,319000,0,0,220900,100,
0,319000,0,0,220900,100,
0,319000,0,0,220900,100,
0,313000,0,0,226900,100,
0,323800,0,0,216100,100,
0,316600,0,0,223300,100,
0,316900,0,0,223000,100,
0,322300,0,0,217600,100,
0,322300,0,0,217600,100,
0,322900,0,0,217000,100,
0,322900,0,0,217000,100,
0,322900,0,0,217000,100,
0,315100,0,0,224800,100,
0,315100,0,0,224800,100,
0,307900,0,0,232000,100,
0,307600,0,0,232300,100,
0,307600,0,0,232300,100,
0,307600,0,0,232300,100,
0,307900,0,0,232000,100,
0,307900,0,0,232000,100,
0,318700,0,0,221200,100,
0,326500,0,0,213400,100,
0,322900,0,0,217000,100,
0,322900,0,0,217000,100,
0,323200,0,0,216700,100,
0,325000,0,0,214900,100,
0,316000,0,0,223900,100,
0,311800,0,0,228100,100,
0,304600,0,0,235300,100,
0,311800,0,0,228100,100,
0,307600,0,0,232300,100,
0,309400,0,0,230500,100,
0,309400,0,0,230500,100,
0,309100,0,0,230800,100,
0,309100,0,0,230800,100,
0,309100,0,0,230800,100,
0,304900,0,0,235000,100,
0,304900,0,0,235000,100,
0,306700,0,0,233200,100,
0,306400,0,0,233500,100,
0,299200,0,0,240700,100,
0,299200,0,0,240700,100,
0,299800,0,0,240100,100,
0,310600,0,0,229300,100,
0,323200,0,0,216700,100,
0,322900,0,0,217000,100,
0,322900,0,0,217000,100,
0,326500,0,0,213400,100,
0,318700,0,0,221200,100,
0,318700,0,0,221200,100,
0,324100,0,0,215800,100,
0,318100,0,0,221800,100,
0,318100,0,0,221800,100,
0,314500,0,0,225400,100,
0,314800,0,0,225100,100,
0,311200,0,0,228700,100,
0,311200,0,0,228700,100,
0,310900,0,0,229000,100,
0,310900,0,0,229000,100,
0,310900,0,0,229000,100,
0,311200,0,0,228700,100,
0,311200,0,0,228700,100,
0,311200,0,0,228700,100,
0,310900,0,0,229000,100,
0,314500,0,0,225400,100,
0,312700,0,0,227200,100,
0,313000,0,0,226900,100,
0,309400,0,0,230500,100,
0,313000,0,0,226900,100,
0,313600,0,0,226300,100,
0,313600,0,0,226300,100,
0,308200,0,0,231700,100,
0,307600,0,0,232300,100,
0,313000,0,0,226900,100,
0,313000,0,0,226900,100,
0,312700,0,0,227200,100,
0,307300,0,0,232600,100,
0,307300,0,0,232600,100,
0,313300,0,0,226600,100,
0,318700,0,0,221200,100,
0,318700,0,0,221200,100,
0,319300,0,0,220600,100,
0,319300,0,0,220600,100,
0,308500,0,0,231400,100,
0,307900,0,0,232000,100,
0,307900,0,0,232000,100,
0,306100,0,0,233800,100,
0,305500,0,0,234400,100,
0,305500,0,0,234400,100,
0,305500,0,0,234400,100,
0,305800,0,0,234100,100,
0,305800,0,0,234100,100,
0,305800,0,0,234100,100,
0,311800,0,0,228100,100,
0,304600,0,0,235300,100,
0,308200,0,0,231700,100,
0,308500,0,0,231400,100,
0,308500,0,0,231400,100,
0,308500,0,0,231400,100,
0,310900,0,0,229000,100,
0,310900,0,0,229000,100,
0,310900,0,0,229000,100,
0,311200,0,0,228700,100,
0,307600,0,0,232300,100,
0,307600,0,0,232300,100,
0,307300,0,0,232600,100,
0,307300,0,0,232600,100,
0,307300,0,0,232600,100,
0,307600,0,0,232300,100,
0,307600,0,0,232300,100,
0,313000,0,0,226900,100,
0,305200,0,0,234700,100,
0,303400,0,0,236500,100,
0,303400,0,0,236500,100,
0,303700,0,0,236200,100,
0,303700,0,0,236200,100,
0,303700,0,0,236200,100,
0,313300,0,0,226600,100,
0,313300,0,0,226600,100,
0,313300,0,0,226600,100,
0,313300,0,0,226600,100,
0,313300,0,0,226600,100,
0,313300,0,0,226600,100,
0,313000,0,0,226900,100,
0,307600,0,0,232300,100,
0,307600,0,0,232300,100,
0,307900,0,0,232000,100,
0,307900,0,0,232000,100,
0,307900,0,0,232000,100,
0,307300,0,0,232600,100,
0,307300,0,0,232600,100,
0,307300,0,0,232600,100,
0,307600,0,0,232300,100,
0,311200,0,0,228700,100,
0,311200,0,0,228700,100,
0,311800,0,0,228100,100,
0,306400,0,0,233500,100,
0,293800,0,0,246100,100,
0,308800,0,0,231100,100,
0,314200,0,0,225700,100,
0,316000,0,0,223900,100,
0,315700,0,0,224200,100,
0,315700,0,0,224200,100,
0,315700,0,0,224200,100,
0,316000,0,0,223900,100,
0,316000,0,0,223900,100,
0,312400,0,0,227500,100,
0,312100,0,0,227800,100,
0,312100,0,0,227800,100,
0,308500,0,0,231400,100,
0,307900,0,0,232000,100,
0,297100,0,0,242800,100,
0,297100,0,0,242800,100,
0,296800,0,0,243100,100,
0,296800,0,0,243100,100,
0,296800,0,0,243100,100,
0,297100,0,0,242800,100,
0,297100,0,0,242800,100,
0,293500,0,0,246400,100,
0,293200,0,0,246700,100,
0,293200,0,0,246700,100,
0,293200,0,0,246700,100,
0,304600,0,0,235300,100,
0,304600,0,0,235300,100,
0,319000,0,0,220900,100,
0,318400,0,0,221500,100,
0,318400,0,0,221500,100,
0,318400,0,0,221500,100,
0,326200,0,0,213700,100,
0,326200,0,0,213700,100,
0,317200,0,0,222700,100,
0,311200,0,0,228700,100,
0,305800,0,0,234100,100,
0,293200,0,0,246700,100,
0,292600,0,0,247300,100,
0,292600,0,0,247300,100,
0,281800,0,0,258100,100,
0,281500,0,0,258400,100,
0,279700,0,0,260200,100,
0,279700,0,0,260200,100,
0,280000,0,0,259900,100,
0,280000,0,0,259900,100,
0,280000,0,0,259900,100,
0,279700,0,0,260200,100,
0,279700,0,0,260200,100,
0,286900,0,0,253000,100,
0,287200,0,0,252700,100,
0,285400,0,0,254500,100,
0,285400,0,0,254500,100,
0,285100,0,0,254800,100,
0,281500,0,0,258400,100,
0,281500,0,0,258400,100,
0,281800,0,0,258100,100,
0,281800,0,0,258100,100,
0,281800,0,0,258100,100,
0,281500,0,0,258400,100,
0,281500,0,0,258400,100,
0,276100,0,0,263800,100,
0,276100,0,0,263800,100,
0,267100,0,0,272800,100,
0,267100,0,0,272800,100,
0,266800,0,0,273100,100,
0,266800,0,0,273100,100,
0,268600,0,0,271300,100,
0,266200,0,0,273700,100,
0,266200,0,0,273700,100,
0,266200,0,0,273700,100,
0,265900,0,0,274000,100,
0,265900,0,0,274000,100,
0,265900,0,0,274000,100,
0,265900,0,0,274000,100,
0,264100,0,0,275800,100,
0,264100,0,0,275800,100,
0,254500,0,0,285400,100,
0,254500,0,0,285400,100,
0,254500,0,0,285400,100,
0,246700,0,0,293200,100,
0,246700,0,0,293200,100,
0,246700,0,0,293200,100,
0,246100,0,0,293800,100,
0,247900,0,0,292000,100,
0,247900,0,0,292000,100,
0,248200,0,0,291700,100,
0,241000,0,0,298900,100,
0,248200,0,0,291700,100,
0,257800,0,0,282100,100,
0,257800,0,0,282100,100,
0,257800,0,0,282100,100,
0,258400,0,0,281500,100,
0,258400,0,0,281500,100,
0,258400,0,0,281500,100,
0,258100,0,0,281800,100,
0,256300,0,0,283600,100,
0,256300,0,0,283600,100,
0,256600,0,0,283300,100,
0,256600,0,0,283300,100,
0,256600,0,0,283300,100,
0,257200,0,0,282700,100,
0,257200,0,0,282700,100,
0,259000,0,0,280900,100,
0,265000,0,0,274900,100,
0,265000,0,0,274900,100,
0,270400,0,0,269500,100,
0,271000,0,0,268900,100,
0,271000,0,0,268900,100,
0,271000,0,0,268900,100,
0,266800,0,0,273100,100,
0,277600,0,0,262300,100,
0,290200,0,0,249700,100,
0,289600,0,0,250300,100,
0,289600,0,0,250300,100,
0,289600,0,0,250300,100,
0,289900,0,0,250000,100,
0,284500,0,0,255400,100,
0,284500,0,0,255400,100,
0,284200,0,0,255700,100,
0,284200,0,0,255700,100,
0,284200,0,0,255700,100,
0,290200,0,0,249700,100,
0,290200,0,0,249700,100,
0,292000,0,0,247900,100,
0,301600,0,0,238300,100,
0,303400,0,0,236500,100,
0,303400,0,0,236500,100,
0,302800,0,0,237100,100,
0,315400,0,0,224500,100,
0,315400,0,0,224500,100,
0,315100,0,0,224800,100,
0,315100,0,0,224800,100,
0,315100,0,0,224800,100,
0,315400,0,0,224500,100,
0,315400,0,0,224500,100,
0,317200,0,0,222700,100,
0,316900,0,0,223000,100,
0,306100,0,0,233800,100,
0,304300,0,0,235600,100,
0,303700,0,0,236200,100,
0,303700,0,0,236200,100,
0,303700,0,0,236200,100,
0,303400,0,0,236500,100,
0,303400,0,0,236500,100,
0,303400,0,0,236500,100,
0,302800,0,0,237100,100,
0,308200,0,0,231700,100,
0,315400,0,0,224500,100,
0,315100,0,0,224800,100,
0,315100,0,0,224800,100,
0,315100,0,0,224800,100,
0,315400,0,0,224500,100,
0,315400,0,0,224500,100,
0,315400,0,0,224500,100,
0,316000,0,0,223900,100,
0,316000,0,0,223900,100,
0,310600,0,0,229300,100,
0,318400,0,0,221500,100,
0,318400,0,0,221500,100,
0,323800,0,0,216100,100,
0,323200,0,0,216700,100,
0,323200,0,0,216700,100,
0,323200,0,0,216700,100,
0,322600,0,0,217300,100,
0,322600,0,0,217300,100,
0,322600,0,0,217300,100,
0,323200,0,0,216700,100,
0,323200,0,0,216700,100,
0,317800,0,0,222100,100,
0,317200,0,0,222700,100,
0,317200,0,0,222700,100,
0,317200,0,0,222700,100,
0,317800,0,0,222100,100,
0,317800,0,0,222100,100,
0,317800,0,0,222100,100,
0,318100,0,0,221800,100,
0,318100,0,0,221800,100,
0,321700,0,0,218200,100,
0,321100,0,0,218800,100,
0,321100,0,0,218800,100,
0,321100,0,0,218800,100,
0,313300,0,0,226600,100,
0,313300,0,0,226600,100,
0,313300,0,0,226600,100,
0,313000,0,0,226900,100,
0,313000,0,0,226900,100,
0,313000,0,0,226900,100,
0,313300,0,0,226600,100,
0,313300,0,0,226600,100,
0,315100,0,0,224800,100,
0,315700,0,0,224200,100,
0,315700,0,0,224200,100,
0,303100,0,0,236800,100,
0,302500,0,0,237400,100,
0,302500,0,0,237400,100,
0,304300,0,0,235600,100,
0,311800,0,0,228100,100,
0,317200,0,0,222700,100,
0,308200,0,0,231700,100,
0,308800,0,0,231100,100,
0,319600,0,0,220300,100,
0,316000,0,0,223900,100,
0,315700,0,0,224200,100,
0,317500,0,0,222400,100,
0,317500,0,0,222400,100,
0,317800,0,0,222100,100,
0,323200,0,0,216700,100,
0,323200,0,0,216700,100,
0,322600,0,0,217300,100,
0,322600,0,0,217300,100,
0,322600,0,0,217300,100,
0,322900,0,0,217000,100,
0,322900,0,0,217000,100,
0,319300,0,0,220600,100,
0,318700,0,0,221200,100,
0,313300,0,0,226600,100,
0,313300,0,0,226600,100,
0,312700,0,0,227200,100,
0,312700,0,0,227200,100,
0,312700,0,0,227200,100,
0,308500,0,0,231400,100,
0,308500,0,0,231400,100,
0,308500,0,0,231400,100,
0,309100,0,0,230800,100,
0,312700,0,0,227200,100,
0,312700,0,0,227200,100,
0,318700,0,0,221200,100,
0,318700,0,0,221200,100,
0,315100,0,0,224800,100,
0,317500,0,0,222400,100,
0,317500,0,0,222400,100,
0,317500,0,0,222400,100,
0,317200,0,0,222700,100,
0,315400,0,0,224500,100,
0,315400,0,0,224500,100,
0,314800,0,0,225100,100,
0,314800,0,0,225100,100,
