CALL_MAN,SIMPLE_RANGE_EXP,SIMPLE_RANGE_EXP,SIMPLE_RANGE,SIMPLE_RANGE
39600,0,10200,100,100
40200,0,9600,100,100
40800,0,9000,100,100
41100,0,8700,100,100
41400,0,8400,100,100
42600,0,7200,100,100
42600,0,7200,100,100
40200,0,9600,100,100
37800,0,12000,100,100
38100,0,11700,100,100
38700,0,11100,100,100
39600,0,10200,100,100
40800,0,9000,100,100
41100,0,8700,100,100
41400,0,8400,100,100
42000,0,7800,100,100
42600,0,7200,100,100
43200,0,6600,100,100
43500,0,6300,100,100
42000,0,7800,100,100
39900,0,9900,100,100
40500,0,9300,100,100
41100,0,8700,100,100
41400,0,8400,100,100
41700,0,8100,100,100
39600,0,10200,100,100
40200,0,9600,100,100
40800,0,9000,100,100
41100,0,8700,100,100
39600,0,10200,100,100
40200,0,9600,100,100
38100,0,11700,100,100
39300,0,10500,100,100
39600,0,10200,100,100
37800,0,12000,100,100
39000,0,10800,100,100
36600,0,13200,100,100
37200,0,12600,100,100
37500,0,12300,100,100
37800,0,12000,100,100
39000,0,10800,100,100
39600,0,10200,100,100
37500,0,12300,100,100
37800,0,12000,100,100
38100,0,11700,100,100
39600,0,10200,100,100
37200,0,12600,100,100
38100,0,11700,100,100
38400,0,11400,100,100
36900,0,12900,100,100
34500,0,15300,100,100
35100,0,14700,100,100
32700,0,17100,100,100
33000,0,16800,100,100
33300,0,16500,100,100
33900,0,15900,100,100
34500,0,15300,100,100
35100,0,14700,100,100
36600,0,13200,100,100
35100,0,14700,100,100
36000,0,13800,100,100
36900,0,12900,100,100
34800,0,15000,100,100
35100,0,14700,100,100
35400,0,14400,100,100
36000,0,13800,100,100
36600,0,13200,100,100
34200,0,15600,100,100
34500,0,15300,100,100
34800,0,15000,100,100
35400,0,14400,100,100
36000,0,13800,100,100
33600,0,16200,100,100
33900,0,15900,100,100
32400,0,17400,100,100
33000,0,16800,100,100
33600,0,16200,100,100
34500,0,15300,100,100
36000,0,13800,100,100
36300,0,13500,100,100
37200,0,12600,100,100
37800,0,12000,100,100
38400,0,11400,100,100
38700,0,11100,100,100
39000,0,10800,100,100
39600,0,10200,100,100
37200,0,12600,100,100
37800,0,12000,100,100
38100,0,11700,100,100
38400,0,11400,100,100
39000,0,10800,100,100
41400,0,8400,100,100
42000,0,7800,100,100
42300,0,7500,100,100
42600,0,7200,100,100
40800,0,9000,100,100
39300,0,10500,100,100
41100,0,8700,100,100
41400,0,8400,100,100
39900,0,9900,100,100
41100,0,8700,100,100
41700,0,8100,100,100
42300,0,7500,100,100
42600,0,7200,100,100
44100,0,5700,100,100
44700,0,5100,100,100
42300,0,7500,100,100
42900,0,6900,100,100
43200,0,6600,100,100
43500,0,6300,100,100
44100,0,5700,100,100
45300,0,4500,100,100
45900,0,3900,100,100
46200,0,3600,100,100
46500,0,3300,100,100
47100,0,2700,100,100
47700,0,2100,100,100
48300,0,1500,100,100
48600,0,1200,100,100
48900,0,900,100,100
48000,0,1800,100,100
48600,0,1200,100,100
49200,0,600,100,100
49800,0,0,100,100
