EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,
30000,30000,30000,30000,30000,30000,
29400,27600,30000,30000,30000,33000,
29400,0,29400,88200,30000,3000,
29400,0,27600,90000,30000,3000,
29400,0,27600,95400,24600,3000,
29400,0,27600,95400,27600,0,
41400,0,21600,95400,21600,0,
31800,0,31200,95400,21600,0,
31800,0,31200,95400,21600,0,
31800,0,30600,96000,21600,0,
31800,0,30600,95400,22200,0,
33000,0,30600,95400,21000,0,
33000,0,30600,88200,28200,0,
32400,0,30000,88200,29400,0,
25800,0,43200,86400,24600,0,
18000,0,51600,85800,24600,0,
18000,0,70800,76200,15000,0,
24000,0,70800,76200,9000,0,
24000,0,70800,76200,9000,0,
25200,0,70200,76200,8400,0,
25200,0,70200,76200,8400,0,
25200,0,68400,78000,8400,0,
25200,0,72300,77400,5100,0,
27600,0,72300,76800,3300,0,
27600,0,70500,76800,5100,0,
22800,0,68100,76800,12300,0,
22800,0,62700,70200,24300,0,
22800,0,62100,70800,24300,0,
22800,0,62100,70200,24900,0,
22200,0,62100,70200,25500,0,
22200,0,65700,66600,25500,0,
23100,0,64800,66600,25500,0,
23100,0,64800,66600,25500,0,
29700,0,58800,66000,25500,0,
29700,0,68400,61200,20700,0,
28800,0,68400,62700,20100,0,
28800,0,68400,62700,20100,0,
30300,0,66900,62700,20100,0,
30300,0,66900,62700,20100,0,
30300,0,72900,56700,20100,0,
30300,0,72900,57300,19500,0,
30900,0,72900,57300,18900,0,
30900,0,72900,57300,18900,0,
31800,0,72000,57300,18900,0,
31800,0,72000,57300,18900,0,
38400,0,66000,56700,18900,0,
38400,0,70800,52500,18300,0,
37800,0,70800,53700,17700,0,
37800,0,70800,53700,17700,0,
35400,0,73200,53700,17700,0,
35400,0,73200,53700,17700,0,
35400,0,72600,54300,17700,0,
35400,0,72600,54900,17100,0,
36000,0,72600,54900,16500,0,
36000,0,76200,51300,16500,0,
40500,0,71700,51300,16500,0,
40500,0,71700,51300,16500,0,
47100,0,65700,50700,16500,0,
47100,0,65700,44700,22500,0,
44400,0,65700,44700,25200,0,
49800,0,60300,44700,25200,0,
43800,0,59400,51600,25200,0,
43800,0,59400,51600,25200,0,
43800,0,63000,48000,25200,0,
43800,0,63000,48600,24600,0,
44100,0,63000,48900,24000,0,
44100,0,63000,48900,24000,0,
46500,0,60600,48900,24000,0,
46500,0,60600,48900,24000,0,
46500,0,66600,42900,24000,0,
46500,0,66600,37500,29400,0,
45900,0,66600,25500,42000,0,
51300,0,62100,25500,41100,0,
50700,0,62700,25500,41100,0,
44400,0,56400,38100,41100,0,
43800,0,50400,44700,41100,0,
43800,0,62400,38700,35100,0,
44700,0,62400,38700,34200,0,
44700,0,62400,38700,34200,0,
44100,0,63000,38700,34200,0,
44100,0,71100,30600,34200,0,
44100,0,78900,22800,34200,0,
44100,0,81900,22200,31800,0,
44700,0,81900,22200,31200,0,
44700,0,80100,22200,33000,0,
45300,0,79500,22200,33000,0,
45300,0,79500,22200,33000,0,
44700,0,78900,23400,33000,0,
44700,0,78900,15600,40800,0,
44100,0,78900,15600,41400,0,
43800,0,78900,15600,41700,0,
44700,0,78000,15600,41700,0,
44700,0,78000,15600,41700,0,
39300,0,72600,26400,41700,0,
39300,0,72600,22200,45900,0,
33900,0,72600,27900,45600,0,
33900,0,72600,27900,45600,0,
39300,0,72000,27900,40800,0,
39300,0,72000,36900,31800,0,
39300,0,72000,36900,31800,0,
39300,0,71400,36300,33000,0,
40500,0,71400,35700,32400,0,
38700,0,73200,35700,32400,0,
39300,0,72600,35700,32400,0,
39300,0,73800,34500,32400,0,
36300,0,70800,40500,32400,0,
36300,0,70800,39900,33000,0,
41100,0,70800,39900,28200,0,
39300,0,63600,39900,37200,0,
45300,0,57600,39900,37200,0,
48900,0,54000,39900,37200,0,
50100,0,53400,39300,37200,0,
50100,0,53400,42300,34200,0,
49500,0,53400,43500,33600,0,
49500,0,53400,43500,33600,0,
50100,0,52800,43500,33600,0,
50100,0,52800,37500,39600,0,
50100,0,47400,42900,39600,0,
50100,0,50400,42300,37200,0,
49500,0,50400,45900,34200,0,
49500,0,50400,45900,34200,0,
48900,0,51000,45900,34200,0,
48900,0,47400,49500,34200,0,
48900,0,53700,43200,34200,0,
48900,0,53700,43800,33600,0,
48300,0,53700,43800,34200,0,
54300,0,47700,43800,34200,0,
56700,0,46500,43800,33000,0,
56700,0,46500,43800,33000,0,
56700,0,47100,43200,33000,0,
56700,0,47100,43800,32400,0,
56100,0,47100,43800,33000,0,
56100,0,47100,47400,29400,0,
57000,0,46200,47400,29400,0,
57000,0,46200,47400,29400,0,
57000,0,45600,48000,29400,0,
57000,0,45600,47400,30000,0,
53400,0,45600,47400,33600,0,
53400,0,45600,47400,33600,0,
50700,0,44700,51000,33600,0,
50700,0,44700,51000,33600,0,
50700,0,39300,56400,33600,0,
50700,0,39300,55800,34200,0,
50100,0,39300,55800,34800,0,
50100,0,37500,57600,34800,0,
50700,0,36900,57600,34800,0,
55500,0,36900,57600,30000,0,
55500,0,36900,57600,30000,0,
55500,0,36900,60600,27000,0,
60300,0,36900,60000,22800,0,
60300,0,36900,60000,22800,0,
66300,0,30900,60000,22800,0,
66300,0,30900,60000,22800,0,
66300,0,31500,59400,22800,0,
66300,0,31500,59400,22800,0,
65700,0,31500,64200,18600,0,
71100,0,30600,64200,14100,0,
63900,0,27000,64200,24900,0,
63900,0,27000,64200,24900,0,
63900,0,27600,63600,24900,0,
63900,0,27600,69600,18900,0,
63300,0,27600,69600,19500,0,
62700,0,28800,69600,18900,0,
75300,0,22500,69600,12600,0,
72900,0,22500,69600,15000,0,
66900,0,29100,69000,15000,0,
66900,0,29100,72000,12000,0,
71100,0,29100,72000,7800,0,
71100,0,29100,72000,7800,0,
72300,0,28500,72000,7200,0,
72300,0,28500,72000,7200,0,
72300,0,32700,67800,7200,0,
72300,0,32700,68400,6600,0,
75000,0,32700,68400,3900,0,
75000,0,32700,68400,3900,0,
70800,0,36900,68400,3900,0,
70800,0,36900,68400,3900,0,
70800,0,30900,74400,3900,0,
70800,0,37500,68400,3300,0,
77400,0,37500,62400,2700,0,
77400,0,37500,62400,2700,0,
81600,0,33300,62400,2700,0,
81600,0,33300,62400,2700,0,
89100,0,26400,61800,2700,0,
90600,0,26400,61200,1800,0,
88800,0,26400,61200,3600,0,
88800,0,26400,61200,3600,0,
79200,0,36000,61200,3600,0,
79200,0,39600,57600,3600,0,
79200,0,35400,61800,3600,0,
79200,0,35400,64800,600,0,
78600,0,35400,64800,1200,0,
75600,0,33600,70800,0,0,
75600,0,33600,70800,0,0,
75600,0,33600,70800,0,0,
75600,0,33000,71400,0,0,
76500,0,33000,70500,0,0,
74700,0,33000,72300,0,0,
74700,0,33000,72300,0,0,
74100,0,32400,73500,0,0,
70500,0,32400,77100,0,0,
70500,0,40200,69300,0,0,
69900,0,40200,69900,0,0,
77700,0,34500,67800,0,0,
77700,0,34500,67800,0,0,
78300,0,33900,67800,0,0,
78300,0,33900,67800,0,0,
75900,0,36900,67200,0,0,
78900,0,36900,64200,0,0,
78900,0,36900,64200,0,0,
79800,0,36000,64200,0,0,
73800,0,42000,64200,0,0,
73800,0,40200,66000,0,0,
73800,0,39600,66600,0,0,
73200,0,39600,67200,0,0,
73200,0,39600,67200,0,0,
73200,0,39600,67200,0,0,
70800,0,42000,67200,0,0,
67200,0,42000,70800,0,0,
67200,0,37800,75000,0,0,
63900,0,37800,78300,0,0,
64500,0,37200,78300,0,0,
60300,0,41400,78300,0,0,
61800,0,39900,78300,0,0,
61800,0,39900,78300,0,0,
53100,0,49200,77700,0,0,
53700,0,49200,77100,0,0,
53700,0,49200,77100,0,0,
53700,0,49200,77100,0,0,
53100,0,49800,77100,0,0,
60300,0,42600,77100,0,0,
60300,0,36600,83100,0,0,
60900,0,36600,82500,0,0,
63600,0,33900,82500,0,0,
65100,0,32400,82500,0,0,
59100,0,39000,81900,0,0,
