EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_24_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_24_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_24_FLOP_EX_LIMIT,
175500,0,0,0,243000,121500,
175800,0,0,0,243000,121200,
176400,0,0,0,242400,121200,
176400,0,0,0,240600,123000,
187200,0,0,0,229800,123000,
187200,0,0,0,222600,130200,
184800,0,0,0,205800,149400,
190800,0,0,0,205800,143400,
190500,0,0,0,206100,143400,
190500,0,0,0,206100,143400,
179700,0,0,0,206100,154200,
177900,0,0,0,206100,156000,
177900,0,0,0,222900,139200,
177300,0,0,0,222900,139800,
177000,0,0,0,223800,139200,
177000,0,0,0,223800,139200,
177000,0,0,0,223800,139200,
178800,0,0,0,222000,139200,
178800,0,0,0,216000,145200,
187200,0,0,0,211800,141000,
186600,0,0,0,212400,141000,
186600,0,0,0,214200,139200,
186600,0,0,0,214200,139200,
184800,0,0,0,212400,142800,
184800,0,0,0,212100,143100,
190800,0,0,0,212100,137100,
184800,0,0,0,224100,131100,
184800,0,0,0,224100,131100,
186600,0,0,0,222300,131100,
174000,0,0,0,234900,131100,
174900,0,0,0,234600,130500,
175500,0,0,0,234600,129900,
175200,0,0,0,234900,129900,
175200,0,0,0,242100,122700,
159000,0,0,0,242100,138900,
159000,0,0,0,242100,138900,
159000,0,0,0,242700,138300,
158400,0,0,0,231300,150300,
158100,0,0,0,231600,150300,
156300,0,0,0,233400,150300,
156300,0,0,0,233400,150300,
156300,0,0,0,233400,150300,
156300,0,0,0,234000,149700,
165900,0,0,0,234000,140100,
165300,0,0,0,233400,141300,
165300,0,0,0,231600,143100,
165300,0,0,0,231600,143100,
165300,0,0,0,229800,144900,
165300,0,0,0,229500,145200,
165600,0,0,0,229500,144900,
159600,0,0,0,241500,138900,
157800,0,0,0,243300,138900,
157800,0,0,0,243300,138900,
157800,0,0,0,245100,137100,
157800,0,0,0,244800,137400,
165600,0,0,0,244800,129600,
165300,0,0,0,245100,129600,
165300,0,0,0,245100,129600,
165300,0,0,0,245100,129600,
161700,0,0,0,248700,129600,
161700,0,0,0,242700,135600,
157500,0,0,0,242700,139800,
158100,0,0,0,242100,139800,
158100,0,0,0,242100,139800,
158100,0,0,0,242100,139800,
158100,0,0,0,242100,139800,
158100,0,0,0,241800,140100,
141300,0,0,0,241800,156900,
135300,0,0,0,247800,156900,
135300,0,0,0,247800,156900,
135300,0,0,0,247800,156900,
135300,0,0,0,247800,156900,
127500,0,0,0,256200,156300,
126900,0,0,0,257100,156000,
140100,0,0,0,243900,156000,
140100,0,0,0,245700,154200,
140100,0,0,0,245700,154200,
140100,0,0,0,252900,147000,
140100,0,0,0,257100,142800,
162300,0,0,0,257100,120600,
162000,0,0,0,257400,120600,
162000,0,0,0,257400,120600,
154800,0,0,0,264600,120600,
144000,0,0,0,275400,120600,
144000,0,0,0,275100,120900,
144150,0,0,0,275250,120600,
138150,0,0,0,287250,114600,
141750,0,0,0,283650,114600,
154350,0,0,0,280050,105600,
154350,0,0,0,280050,105600,
154350,0,0,0,268650,117000,
153750,0,0,0,268650,117600,
153450,0,0,0,268950,117600,
153450,0,0,0,268950,117600,
166050,0,0,0,268950,105000,
162450,0,0,0,268950,108600,
162450,0,0,0,285750,91800,
172350,0,0,0,276150,91500,
176550,0,0,0,271950,91500,
171150,0,0,0,277350,91500,
156750,0,0,0,291750,91500,
135150,0,0,0,313350,91500,
135150,0,0,0,301950,102900,
135450,0,0,0,301950,102600,
136050,0,0,0,301350,102600,
136050,0,0,0,301350,102600,
136050,0,0,0,308550,95400,
136050,0,0,0,313950,90000,
131850,0,0,0,313650,94500,
132150,0,0,0,313650,94200,
131850,0,0,0,336150,72000,
131850,0,0,0,336150,72000,
131850,0,0,0,336150,72000,
131850,0,0,0,339750,68400,
131850,0,0,0,339450,68700,
132150,0,0,0,339450,68400,
131850,0,0,0,339750,68400,
131850,0,0,0,339750,68400,
131850,0,0,0,339750,68400,
131850,0,0,0,350550,57600,
129450,0,0,0,350250,60300,
129750,0,0,0,350250,60000,
129150,0,0,0,350850,60000,
129150,0,0,0,356250,54600,
129150,0,0,0,356250,54600,
129150,0,0,0,363450,47400,
129150,0,0,0,364050,46800,
128550,0,0,0,364050,47400,
129150,0,0,0,363450,47400,
136350,0,0,0,356250,47400,
143550,0,0,0,356250,40200,
143550,0,0,0,356250,40200,
143550,0,0,0,360450,36000,
139350,0,0,0,360450,40200,
139050,0,0,0,360750,40200,
133650,0,0,0,366150,40200,
112050,0,0,0,387750,40200,
112050,0,0,0,387750,40200,
112050,0,0,0,370950,57000,
104250,0,0,0,370950,64800,
85650,0,0,0,389550,64800,
85650,0,0,0,389550,64800,
87450,0,0,0,387750,64800,
87450,0,0,0,398550,54000,
87450,0,0,0,398250,54300,
91650,0,0,0,398250,50100,
91050,0,0,0,398850,50100,
96450,0,0,0,398850,44700,
96450,0,0,0,398850,44700,
96450,0,0,0,398850,44700,
96450,0,0,0,398550,45000,
74250,0,0,0,421050,44700,
74850,0,0,0,420450,44700,
74850,0,0,0,420450,44700,
85650,0,0,0,413250,41100,
80250,0,0,0,418650,41100,
80250,0,0,0,419250,40500,
88050,0,0,0,419250,32700,
94650,0,0,0,418650,26700,
94650,0,0,0,418650,26700,
96450,0,0,0,416850,26700,
96450,0,0,0,416850,26700,
96450,0,0,0,416550,27000,
97050,0,0,0,416550,26400,
96750,0,0,0,416850,26400,
96750,0,0,0,416850,26400,
89550,0,0,0,420450,30000,
89550,0,0,0,420450,30000,
90450,0,0,0,420150,29400,
90750,0,0,0,420150,29100,
93750,0,0,0,419550,26700,
93750,0,0,0,419550,26700,
93750,0,0,0,419550,26700,
93750,0,0,0,412350,33900,
93750,0,0,0,412950,33300,
94350,0,0,0,412950,32700,
94050,0,0,0,413250,32700,
90450,0,0,0,416850,32700,
90450,0,0,0,416850,32700,
70650,0,0,0,438450,30900,
76350,0,0,0,438150,25500,
59550,0,0,0,457350,23100,
59250,0,0,0,456750,24000,
59250,0,0,0,456750,24000,
59250,0,0,0,456750,24000,
43050,0,0,0,456750,40200,
43050,0,0,0,456450,40500,
43050,0,0,0,456450,40500,
38850,0,0,0,455850,45300,
38850,0,0,0,455850,45300,
38850,0,0,0,455850,45300,
38850,0,0,0,455850,45300,
38850,0,0,0,456450,44700,
38250,0,0,0,456450,45300,
37950,0,0,0,456750,45300,
34350,0,0,0,460350,45300,
27150,0,0,0,467550,45300,
27150,0,0,0,467550,45300,
27150,0,0,0,471750,41100,
27150,0,0,0,471750,41100,
26850,0,0,0,471150,42000,
28650,0,0,0,469350,42000,
28650,0,0,0,469350,42000,
28650,0,0,0,469350,42000,
28650,0,0,0,452550,58800,
28050,0,0,0,453450,58500,
27750,0,0,0,454350,57900,
27750,0,0,0,452550,59700,
16950,0,0,0,463350,59700,
16950,0,0,0,463350,59700,
17850,0,0,0,463050,59100,
18150,0,0,0,463050,58800,
13950,0,0,0,467250,58800,
0,0,0,0,467250,72750,
0,0,0,0,467250,72750,
0,0,0,0,467250,72750,
0,0,0,0,466950,73050,
0,0,0,0,466350,73650,
0,0,0,0,469950,70050,
0,0,0,0,491550,48450,
0,0,0,0,486150,53850,
0,0,0,0,471750,68250,
0,0,0,0,471450,68550,
0,0,0,0,488250,51750,
0,0,0,0,499050,40950,
0,0,0,0,517050,22950,
0,0,0,0,520650,19350,
0,0,0,0,520650,19350,
0,0,0,0,520350,19650,
0,0,0,0,520950,19050,
0,0,0,0,520950,19050,
0,0,0,0,515550,24450,
0,0,0,0,517350,22650,
0,0,0,0,517350,22650,
0,0,0,0,523350,16650,
0,0,0,0,522750,17250,
0,0,0,0,522750,17250,
0,0,0,0,522750,17250,
0,0,0,0,522750,17250,
0,0,0,0,522750,17250,
0,0,0,0,518550,21450,
0,0,0,0,501750,38250,
0,0,0,0,490950,49050,
0,0,0,0,490950,49050,
0,0,0,0,489150,50850,
0,0,0,0,489150,50850,
0,0,0,0,477750,62250,
0,0,0,0,477150,62850,
0,0,0,0,484350,55650,
0,0,0,0,473550,66450,
0,0,0,0,495150,44850,
0,0,0,0,495150,44850,
0,0,0,0,494550,45450,
0,0,0,0,494850,45150,
0,0,0,0,494850,45150,
0,0,0,0,493050,46950,
0,0,0,0,493050,46950,
0,0,0,0,500250,39750,
0,0,0,0,499650,40350,
0,0,0,0,499950,40050,
0,0,0,0,499950,40050,
0,0,0,0,499950,40050,
0,0,0,0,499950,40050,
0,0,0,0,499950,40050,
0,0,0,0,495750,44250,
0,0,0,0,496050,43950,
0,0,0,0,496050,43950,
0,0,0,0,496050,43950,
0,0,0,0,496050,43950,
0,0,0,0,496050,43950,
0,0,0,0,490050,49950,
0,0,0,0,489450,50550,
0,0,0,0,489450,50550,
0,0,0,0,494850,45150,
0,0,0,0,496650,43350,
0,0,0,0,496650,43350,
0,0,0,0,499050,40950,
0,0,0,0,499650,40350,
0,0,0,0,499650,40350,
0,0,0,0,499650,40350,
0,0,0,0,505050,34950,
0,0,0,0,505050,34950,
0,0,0,0,507450,32550,
0,0,0,0,507750,32250,
0,0,0,0,507750,32250,
0,0,0,0,507750,32250,
0,0,0,0,500550,39450,
0,0,0,0,500550,39450,
0,0,0,0,506550,33450,
0,0,0,0,505950,34050,
0,0,0,0,511350,28650,
0,0,0,0,511350,28650,
0,0,0,0,527550,12450,
0,0,0,0,527550,12450,
0,0,0,0,527550,12450,
0,0,0,0,529950,10050,
0,0,0,0,529950,10050,
0,0,0,0,529950,10050,
0,0,0,0,529950,10050,
0,0,0,0,540000,0,
