EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXPECTATION,EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,
30000,30000,30000,30000,30000,
24000,42000,30000,30000,24000,
24000,39600,32400,30000,24000,
24000,38100,35400,28500,24000,
24000,38100,29400,22500,36000,
22500,38100,29400,25500,34500,
23100,37500,29400,25500,34500,
23100,36300,30600,25500,34500,
23100,36300,32100,24000,34500,
23100,36300,32100,24600,33900,
24300,36300,32100,24600,32700,
24900,35700,32100,24600,32700,
24900,34200,33600,24600,32700,
24900,29700,38700,24000,32700,
24900,29700,38700,25800,30900,
32400,29700,38700,25800,23400,
33000,29100,38700,25800,23400,
33000,27600,40200,25800,23400,
33000,27600,39000,27000,23400,
33000,27600,39000,27600,22800,
42000,27600,39000,23100,18300,
41100,24900,39000,27300,17700,
41100,23400,40500,27300,17700,
41100,23400,41400,26400,17700,
41100,23400,41400,23700,20400,
37200,23400,41400,22800,25200,
36600,24000,41400,22800,25200,
36600,25500,39900,22800,25200,
36600,24000,42900,21300,25200,
36600,24000,42900,22800,23700,
37200,24000,42900,22800,23100,
36600,21600,42900,22800,26100,
38700,21000,41400,22800,26100,
38700,21000,38100,26100,26100,
38700,21000,38100,25500,26700,
38100,21000,38100,25500,27300,
37500,21600,38100,25500,27300,
37500,19200,40500,25500,27300,
37500,19200,38400,27600,27300,
37500,19200,35400,24600,33300,
38100,19200,35400,24600,32700,
35100,18600,35400,24600,36300,
35100,15300,38700,24600,36300,
35100,15300,37200,26100,36300,
35100,15300,37200,27000,35400,
38100,15300,37200,27000,32400,
32700,14400,37200,27000,38700,
32700,15900,35700,27000,38700,
32700,17700,34800,26100,38700,
32700,17700,34800,25500,39300,
32100,17700,34800,25500,39900,
31500,18300,34800,25500,39900,
37500,15300,31800,25500,39900,
37500,15300,33300,24000,39900,
37500,15300,27300,23400,46500,
38100,15300,27300,23400,45900,
37500,15900,27300,23400,45900,
37500,22200,21000,23400,45900,
37500,22200,22500,21900,45900,
37500,22200,22500,22500,45300,
38700,22200,22500,22500,44100,
38100,22800,22500,22500,44100,
38100,21300,24000,22500,44100,
38100,21300,25500,21000,44100,
38100,21300,28200,19800,42600,
38700,21300,28200,19800,42000,
43500,16500,28200,19800,42000,
43500,15000,29700,19800,42000,
43500,15000,31200,18300,42000,
43500,15000,31200,21300,39000,
44100,15000,31200,21300,38400,
39900,19200,31200,21300,38400,
35400,28200,26700,21300,38400,
35400,26700,25200,24300,38400,
35400,26700,26700,23700,37500,
36600,26700,26700,23700,36300,
37800,25500,26700,23700,36300,
37800,24000,28200,23700,36300,
37800,24000,26700,25200,36300,
37800,24000,26700,25800,35700,
38400,24000,26700,25800,35100,
32400,36000,26700,25800,29100,
32400,38400,24300,25800,29100,
32400,38400,22800,27300,29100,
32400,38400,22800,27900,28500,
38400,38400,22800,27900,22500,
37800,36600,22800,27900,24900,
37800,38100,21300,27900,24900,
37800,38100,22500,26700,24900,
37800,38100,22500,23700,27900,
38400,38100,22500,23700,27300,
39300,37200,22500,23700,27300,
39300,41700,18000,23700,27300,
39300,41700,15300,26400,27300,
39300,41700,15300,27000,26700,
38700,41700,15300,31800,22500,
48300,36900,15300,31800,17700,
48300,38100,14100,31800,17700,
48300,38100,15600,30300,17700,
48300,38100,19200,29700,14700,
46500,38100,19200,29700,16500,
59100,31800,19200,29700,10200,
59100,32400,18600,29700,10200,
59100,32400,15900,32400,10200,
59100,32400,15900,38400,4200,
58500,32400,15900,38400,4800,
57900,33000,15900,38400,4800,
57900,27300,21600,38400,4800,
57900,39300,15600,32400,4800,
57900,39300,18300,31200,3300,
57000,39300,18300,35100,300,
61500,34800,18300,35100,300,
61500,36000,17100,35100,300,
61500,36000,18600,33600,300,
63000,36000,18600,32100,300,
63300,36000,18600,32100,0,
62400,35100,18600,33900,0,
62400,33600,20100,33900,0,
62400,33600,21600,32400,0,
61800,33600,21600,33000,0,
61800,33600,21600,33000,0,
58800,36600,21600,33000,0,
58800,37200,21000,33000,0,
58800,37200,22200,31800,0,
63000,37200,19200,30600,0,
62400,40800,19200,27600,0,
63300,39900,19200,27600,0,
63300,40500,18600,27600,0,
63300,40500,15300,30900,0,
62100,40500,18000,29400,0,
62100,40500,18000,29400,0,
62100,40500,18000,29400,0,
60600,39000,21000,29400,0,
60600,51000,15000,23400,0,
58200,51000,15000,25800,0,
58200,51000,15000,25800,0,
64200,45000,15000,25800,0,
64200,46200,13800,25800,0,
64200,46200,15000,24600,0,
62700,46200,18000,23100,0,
61500,45300,18000,25200,0,
60900,45900,18000,25200,0,
60900,49500,14400,25200,0,
60900,49500,15900,23700,0,
62100,49500,15900,22500,0,
62100,49500,16800,21600,0,
60900,48000,16800,24300,0,
60900,46800,18000,24300,0,
69000,45300,14700,21000,0,
67800,45300,13200,23700,0,
67800,45300,13200,23700,0,
61800,55500,13200,19500,0,
61800,54000,14700,19500,0,
61800,51900,13200,23100,0,
60300,51900,13200,24600,0,
60300,51900,13200,24600,0,
66900,51300,13200,18600,0,
66900,51900,12600,18600,0,
66900,51900,14100,17100,0,
68400,51900,14100,15600,0,
63000,57300,14100,15600,0,
62400,57900,14100,15600,0,
62400,62100,9900,15600,0,
62400,62100,11100,14400,0,
61500,62100,13500,12900,0,
61500,62100,13500,12900,0,
62100,61500,13500,12900,0,
62100,65400,9600,12900,0,
62100,66600,9000,12300,0,
62700,66600,9000,11700,0,
62700,66600,9000,11700,0,
62100,62400,9000,16500,0,
62100,68400,3000,16500,0,
62100,68400,4500,15000,0,
63300,68400,4500,13800,0,
63300,68400,4500,13800,0,
63900,67800,4500,13800,0,
69300,63000,3900,13800,0,
69300,63000,5400,12300,0,
68700,63000,5400,12900,0,
69300,62400,5400,12900,0,
69900,61800,5400,12900,0,
69900,63000,4200,12900,0,
69900,63000,5400,11700,0,
72900,63000,5400,8700,0,
72900,63000,5400,8700,0,
72300,64200,5400,8100,0,
72300,67500,2100,8100,0,
72300,67500,3600,6600,0,
71700,67500,3600,7200,0,
67800,71400,3600,7200,0,
61800,77400,3600,7200,0,
61800,75900,5100,7200,0,
61800,77100,4500,6600,0,
60900,77100,4500,7500,0,
60900,77100,4500,7500,0,
62400,75600,4500,7500,0,
62400,74100,6000,7500,0,
62400,81300,1500,4800,0,
63000,81300,1500,4200,0,
63000,81300,1500,4200,0,
64500,79800,1500,4200,0,
64500,78300,3000,4200,0,
64500,78300,1500,5700,0,
63300,78300,1500,6900,0,
63300,78300,1500,6900,0,
62700,77400,1500,8400,0,
62700,75900,3000,8400,0,
62700,75900,4500,6900,0,
63300,75900,4500,6300,0,
60900,78300,4500,6300,0,
61500,77700,4500,6300,0,
61500,79200,3000,6300,0,
61500,79200,4500,4800,0,
60300,79200,4500,6000,0,
60600,78900,4500,6000,0,
54600,84900,4500,6000,0,
59100,83100,1800,6000,0,
59100,83100,3300,4500,0,
58500,83100,3300,5100,0,
58500,83100,3300,5100,0,
57900,83700,3300,5100,0,
57900,82500,4500,5100,0,
57900,82500,5700,3900,0,
56400,82500,5700,5400,0,
56400,86700,1500,5400,0,
55800,87300,1500,5400,0,
55800,85800,3000,5400,0,
55800,85800,1800,6600,0,
55200,85800,1800,7200,0,
57000,84000,1800,7200,0,
57000,84000,1800,7200,0,
57000,85800,0,7200,0,
57900,84900,0,7200,0,
59400,84900,0,5700,0,
59700,84600,0,5700,0,
57900,87000,0,5100,0,
52500,82200,0,15300,0,
52500,82200,0,15300,0,
54000,82200,0,13800,0,
54000,82200,0,13800,0,
60000,76200,0,13800,0,
60000,76800,0,13200,0,
60000,76800,0,13200,0,
58500,76800,0,14700,0,
56100,79200,0,14700,0,
62100,73200,0,14700,0,
62100,77700,0,10200,0,
61500,77700,0,10800,0,
63600,77700,0,8700,0,
63600,77700,0,8700,0,
62700,78600,0,8700,0,
62100,79800,0,8100,0,
62100,79800,0,8100,0,
61200,79800,0,9000,0,
61200,79800,0,9000,0,
65700,75300,0,9000,0,
65700,75300,0,9000,0,
69300,71700,0,9000,0,
77700,68700,0,3600,0,
76800,68100,0,5100,0,
73800,71100,0,5100,0,
73800,70200,0,6000,0,
73800,70200,0,6000,0,
70200,74100,0,5700,0,
68100,76200,0,5700,0,
69600,74700,0,5700,0,
69600,69900,0,10500,0,
69600,69900,0,10500,0,
65400,69900,0,14700,0,
63600,71700,0,14700,0,
67500,68700,0,13800,0,
67500,74100,0,8400,0,
66000,74100,0,9900,0,
65100,74100,0,10800,0,
65100,77700,0,7200,0,
66000,76800,0,7200,0,
61800,81600,0,6600,0,
61800,81600,0,6600,0,
61800,81600,0,6600,0,
64200,79200,0,6600,0,
65400,78000,0,6600,0,
67200,76800,0,6000,0,
67200,76800,0,6000,0,
68700,76800,0,4500,0,
69900,75600,0,4500,0,
70800,74700,0,4500,0,
70800,73500,0,5700,0,
70800,73500,0,5700,0,
72000,72900,0,5100,0,
72000,72900,0,5100,0,
67800,77700,0,4500,0,
67800,81300,0,900,0,
68400,81300,0,300,0,
67800,81300,0,900,0,
67800,81300,0,900,0,
69300,79800,0,900,0,
74700,75300,0,0,0,
78600,71400,0,0,0,
78600,71400,0,0,0,
78600,71400,0,0,0,
79200,70800,0,0,0,
78600,71400,0,0,0,
80400,69600,0,0,0,
80400,69600,0,0,0,
80400,69600,0,0,0,
81000,69000,0,0,0,
80400,69600,0,0,0,
80400,69600,0,0,0,
81000,69000,0,0,0,
77400,72600,0,0,0,
76800,73200,0,0,0,
82200,67800,0,0,0,
82200,67800,0,0,0,
82200,67800,0,0,0,
81600,68400,0,0,0,
86100,63900,0,0,0,
85500,64500,0,0,0,
86400,63600,0,0,0,
91800,58200,0,0,0,
91800,58200,0,0,0,
92700,57300,0,0,0,
93300,56700,0,0,0,
93300,56700,0,0,0,
93300,56700,0,0,0,
93300,56700,0,0,0,
94800,55200,0,0,0,
92400,57600,0,0,0,
93000,57000,0,0,0,
92400,57600,0,0,0,
92400,57600,0,0,0,
93900,56100,0,0,0,
93300,56700,0,0,0,
93300,56700,0,0,0,
93300,56700,0,0,0,
93300,56700,0,0,0,
93900,56100,0,0,0,
87900,62100,0,0,0,
90300,59700,0,0,0,
90900,59100,0,0,0,
90900,59100,0,0,0,
86700,63300,0,0,0,
86700,63300,0,0,0,
87300,62700,0,0,0,
87300,62700,0,0,0,
87300,62700,0,0,0,
81300,68700,0,0,0,
77100,72900,0,0,0,
77700,72300,0,0,0,
79800,70200,0,0,0,
80400,69600,0,0,0,
81000,69000,0,0,0,
81600,68400,0,0,0,
78000,72000,0,0,0,
78000,72000,0,0,0,
78000,72000,0,0,0,
73800,76200,0,0,0,
74400,75600,0,0,0,
74400,75600,0,0,0,
74400,75600,0,0,0,
74400,75600,0,0,0,
80400,69600,0,0,0,
80400,69600,0,0,0,
80400,69600,0,0,0,
80400,69600,0,0,0,
81300,68700,0,0,0,
82200,67800,0,0,0,
82800,67200,0,0,0,
81000,69000,0,0,0,
81600,68400,0,0,0,
84000,66000,0,0,0,
84000,66000,0,0,0,
88200,61800,0,0,0,
88200,61800,0,0,0,
89100,60900,0,0,0,
88500,61500,0,0,0,
84300,65700,0,0,0,
81600,68400,0,0,0,
81600,68400,0,0,0,
81600,68400,0,0,0,
83400,66600,0,0,0,
78900,71100,0,0,0,
74700,75300,0,0,0,
74100,75900,0,0,0,
74100,75900,0,0,0,
74100,75900,0,0,0,
73500,76500,0,0,0,
75000,75000,0,0,0,
75000,75000,0,0,0,
75000,75000,0,0,0,
75600,74400,0,0,0,
76800,73200,0,0,0,
71400,78600,0,0,0,
77400,72600,0,0,0,
72000,78000,0,0,0,
72000,78000,0,0,0,
76200,73800,0,0,0,
73500,76500,0,0,0,
71400,78600,0,0,0,
71700,78300,0,0,0,
75300,74700,0,0,0,
70800,79200,0,0,0,
70200,79800,0,0,0,
70200,79800,0,0,0,
72000,78000,0,0,0,
72000,78000,0,0,0,
71400,78600,0,0,0,
74700,75300,0,0,0,
74700,75300,0,0,0,
75300,74700,0,0,0,
74700,75300,0,0,0,
74700,75300,0,0,0,
75300,74700,0,0,0,
75300,74700,0,0,0,
75300,74700,0,0,0,
73200,76800,0,0,0,
67200,82800,0,0,0,
72600,77400,0,0,0,
72600,77400,0,0,0,
72600,77400,0,0,0,
72600,77400,0,0,0,
68100,81900,0,0,0,
67500,82500,0,0,0,
66900,83100,0,0,0,
66900,83100,0,0,0,
66900,83100,0,0,0,
67800,82200,0,0,0,
68400,81600,0,0,0,
66000,84000,0,0,0,
62400,87600,0,0,0,
62400,87600,0,0,0,
66900,83100,0,0,0,
62700,87300,0,0,0,
62700,87300,0,0,0,
62700,87300,0,0,0,
62700,87300,0,0,0,
63300,86700,0,0,0,
68100,81900,0,0,0,
68100,81900,0,0,0,
68100,81900,0,0,0,
68100,81900,0,0,0,
74100,75900,0,0,0,
73500,76500,0,0,0,
73500,76500,0,0,0,
73500,76500,0,0,0,
73200,76800,0,0,0,
74100,75900,0,0,0,
73500,76500,0,0,0,
69900,80100,0,0,0,
69900,80100,0,0,0,
69900,80100,0,0,0,
68100,81900,0,0,0,
69000,81000,0,0,0,
70200,79800,0,0,0,
70200,79800,0,0,0,
70200,79800,0,0,0,
71400,78600,0,0,0,
72300,77700,0,0,0,
74100,75900,0,0,0,
74100,75900,0,0,0,
80100,69900,0,0,0,
78300,71700,0,0,0,
79800,70200,0,0,0,
79800,70200,0,0,0,
79800,70200,0,0,0,
84000,66000,0,0,0,
86100,63900,0,0,0,
88800,61200,0,0,0,
88800,61200,0,0,0,
88800,61200,0,0,0,
87000,63000,0,0,0,
88500,61500,0,0,0,
92700,57300,0,0,0,
92700,57300,0,0,0,
95400,54600,0,0,0,
91800,58200,0,0,0,
97800,52200,0,0,0,
99300,50700,0,0,0,
