EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXPECTATION,EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,
99300,50700,0,0,0,
99300,50700,0,0,0,
104700,45300,0,0,0,
110100,39900,0,0,0,
104100,45900,0,0,0,
109500,40500,0,0,0,
109500,40500,0,0,0,
109200,40800,0,0,0,
110400,39600,0,0,0,
109800,40200,0,0,0,
109800,40200,0,0,0,
109800,40200,0,0,0,
109800,40200,0,0,0,
103800,46200,0,0,0,
103200,46800,0,0,0,
103200,46800,0,0,0,
103200,46800,0,0,0,
97200,52800,0,0,0,
103200,46800,0,0,0,
104100,45900,0,0,0,
108300,41700,0,0,0,
104700,45300,0,0,0,
104700,45300,0,0,0,
99900,50100,0,0,0,
99300,50700,0,0,0,
99300,50700,0,0,0,
99300,50700,0,0,0,
99300,50700,0,0,0,
99900,50100,0,0,0,
100500,49500,0,0,0,
101100,48900,0,0,0,
102900,47100,0,0,0,
102900,47100,0,0,0,
104100,45900,0,0,0,
103500,46500,0,0,0,
103500,46500,0,0,0,
103500,46500,0,0,0,
105300,44700,0,0,0,
104700,45300,0,0,0,
105900,44100,0,0,0,
105900,44100,0,0,0,
105900,44100,0,0,0,
105900,44100,0,0,0,
105300,44700,0,0,0,
104700,45300,0,0,0,
104700,45300,0,0,0,
108600,41400,0,0,0,
112500,37500,0,0,0,
114900,35100,0,0,0,
116400,33600,0,0,0,
116400,33600,0,0,0,
118200,31800,0,0,0,
118200,31800,0,0,0,
113400,36600,0,0,0,
112800,37200,0,0,0,
118200,31800,0,0,0,
119100,30900,0,0,0,
119100,30900,0,0,0,
119100,30900,0,0,0,
121800,28200,0,0,0,
121800,28200,0,0,0,
121800,28200,0,0,0,
121800,28200,0,0,0,
121200,28800,0,0,0,
117000,33000,0,0,0,
118200,31800,0,0,0,
124200,25800,0,0,0,
124200,25800,0,0,0,
123600,26400,0,0,0,
124800,25200,0,0,0,
124800,25200,0,0,0,
126600,23400,0,0,0,
126600,23400,0,0,0,
126000,24000,0,0,0,
123300,26700,0,0,0,
123300,26700,0,0,0,
122700,27300,0,0,0,
122700,27300,0,0,0,
125100,24900,0,0,0,
129300,20700,0,0,0,
129300,20700,0,0,0,
127200,22800,0,0,0,
127200,22800,0,0,0,
127200,22800,0,0,0,
126600,23400,0,0,0,
126600,23400,0,0,0,
126600,23400,0,0,0,
127500,22500,0,0,0,
121500,28500,0,0,0,
120900,29100,0,0,0,
126900,23100,0,0,0,
126900,23100,0,0,0,
126900,23100,0,0,0,
122700,27300,0,0,0,
120900,29100,0,0,0,
120900,29100,0,0,0,
120900,29100,0,0,0,
120900,29100,0,0,0,
121500,28500,0,0,0,
117300,32700,0,0,0,
117300,32700,0,0,0,
116700,33300,0,0,0,
116700,33300,0,0,0,
110700,39300,0,0,0,
113100,36900,0,0,0,
116100,33900,0,0,0,
116100,33900,0,0,0,
114300,35700,0,0,0,
108300,41700,0,0,0,
107700,42300,0,0,0,
109500,40500,0,0,0,
109800,40200,0,0,0,
112200,37800,0,0,0,
108000,42000,0,0,0,
103800,46200,0,0,0,
103800,46200,0,0,0,
103800,46200,0,0,0,
103800,46200,0,0,0,
104400,45600,0,0,0,
105000,45000,0,0,0,
105000,45000,0,0,0,
105000,45000,0,0,0,
105000,45000,0,0,0,
105000,45000,0,0,0,
106200,43800,0,0,0,
106200,43800,0,0,0,
106200,43800,0,0,0,
110100,39900,0,0,0,
111600,38400,0,0,0,
113100,36900,0,0,0,
112500,37500,0,0,0,
112500,37500,0,0,0,
118500,31500,0,0,0,
120000,30000,0,0,0,
117300,32700,0,0,0,
117300,32700,0,0,0,
117300,32700,0,0,0,
117300,32700,0,0,0,
120900,29100,0,0,0,
121500,28500,0,0,0,
116100,33900,0,0,0,
116700,33300,0,0,0,
116700,33300,0,0,0,
116100,33900,0,0,0,
112800,37200,0,0,0,
114300,35700,0,0,0,
114300,35700,0,0,0,
114300,35700,0,0,0,
113700,36300,0,0,0,
114300,35700,0,0,0,
114300,35700,0,0,0,
115500,34500,0,0,0,
115500,34500,0,0,0,
116700,33300,0,0,0,
117300,32700,0,0,0,
122700,27300,0,0,0,
123000,27000,0,0,0,
123000,27000,0,0,0,
123000,27000,0,0,0,
121200,28800,0,0,0,
122100,27900,0,0,0,
120000,30000,0,0,0,
120600,29400,0,0,0,
119700,30300,0,0,0,
116700,33300,0,0,0,
116700,33300,0,0,0,
116700,33300,0,0,0,
116700,33300,0,0,0,
117300,32700,0,0,0,
111600,38400,0,0,0,
107700,42300,0,0,0,
104100,45900,0,0,0,
105000,45000,0,0,0,
111000,39000,0,0,0,
111000,39000,0,0,0,
107100,42900,0,0,0,
109500,40500,0,0,0,
110100,39900,0,0,0,
109500,40500,0,0,0,
113700,36300,0,0,0,
113700,36300,0,0,0,
113700,36300,0,0,0,
113700,36300,0,0,0,
118500,31500,0,0,0,
118500,31500,0,0,0,
118500,31500,0,0,0,
118500,31500,0,0,0,
117900,32100,0,0,0,
120300,29700,0,0,0,
120900,29100,0,0,0,
116700,33300,0,0,0,
116100,33900,0,0,0,
116400,33600,0,0,0,
119400,30600,0,0,0,
120000,30000,0,0,0,
120000,30000,0,0,0,
120000,30000,0,0,0,
120600,29400,0,0,0,
121800,28200,0,0,0,
121200,28800,0,0,0,
121200,28800,0,0,0,
121200,28800,0,0,0,
121200,28800,0,0,0,
123900,26100,0,0,0,
125100,24900,0,0,0,
125100,24900,0,0,0,
125100,24900,0,0,0,
125100,24900,0,0,0,
124500,25500,0,0,0,
125100,24900,0,0,0,
123300,26700,0,0,0,
123300,26700,0,0,0,
121500,28500,0,0,0,
118500,31500,0,0,0,
119100,30900,0,0,0,
119100,30900,0,0,0,
119100,30900,0,0,0,
119100,30900,0,0,0,
117300,32700,0,0,0,
122700,27300,0,0,0,
122700,27300,0,0,0,
122700,27300,0,0,0,
122700,27300,0,0,0,
122100,27900,0,0,0,
122700,27300,0,0,0,
122700,27300,0,0,0,
122700,27300,0,0,0,
122700,27300,0,0,0,
123300,26700,0,0,0,
124500,25500,0,0,0,
120900,29100,0,0,0,
121200,28800,0,0,0,
121200,28800,0,0,0,
127800,22200,0,0,0,
129300,20700,0,0,0,
129300,20700,0,0,0,
129300,20700,0,0,0,
129000,21000,0,0,0,
124500,25500,0,0,0,
128700,21300,0,0,0,
132300,17700,0,0,0,
132300,17700,0,0,0,
132300,17700,0,0,0,
130500,19500,0,0,0,
126900,23100,0,0,0,
126900,23100,0,0,0,
126900,23100,0,0,0,
127800,22200,0,0,0,
132300,17700,0,0,0,
134400,15600,0,0,0,
134400,15600,0,0,0,
134400,15600,0,0,0,
134400,15600,0,0,0,
131400,18600,0,0,0,
126900,23100,0,0,0,
126900,23100,0,0,0,
124500,25500,0,0,0,
126000,24000,0,0,0,
126600,23400,0,0,0,
126000,24000,0,0,0,
126000,24000,0,0,0,
125400,24600,0,0,0,
125400,24600,0,0,0,
123600,26400,0,0,0,
124800,25200,0,0,0,
124800,25200,0,0,0,
124800,25200,0,0,0,
124800,25200,0,0,0,
124200,25800,0,0,0,
118800,31200,0,0,0,
120600,29400,0,0,0,
120600,29400,0,0,0,
122100,27900,0,0,0,
118200,31800,0,0,0,
114000,36000,0,0,0,
114000,36000,0,0,0,
114000,36000,0,0,0,
108000,42000,0,0,0,
108600,41400,0,0,0,
111600,38400,0,0,0,
111600,38400,0,0,0,
112800,37200,0,0,0,
114600,35400,0,0,0,
114000,36000,0,0,0,
113400,36600,0,0,0,
118800,31200,0,0,0,
118800,31200,0,0,0,
118800,31200,0,0,0,
118200,31800,0,0,0,
116100,33900,0,0,0,
114000,36000,0,0,0,
114000,36000,0,0,0,
108600,41400,0,0,0,
110100,39900,0,0,0,
110700,39300,0,0,0,
110700,39300,0,0,0,
110700,39300,0,0,0,
111600,38400,0,0,0,
111600,38400,0,0,0,
115800,34200,0,0,0,
112200,37800,0,0,0,
112200,37800,0,0,0,
112200,37800,0,0,0,
116400,33600,0,0,0,
110400,39600,0,0,0,
112500,37500,0,0,0,
113100,36900,0,0,0,
114000,36000,0,0,0,
115500,34500,0,0,0,
120900,29100,0,0,0,
118800,31200,0,0,0,
118800,31200,0,0,0,
118800,31200,0,0,0,
118200,31800,0,0,0,
118800,31200,0,0,0,
118800,31200,0,0,0,
122400,27600,0,0,0,
122400,27600,0,0,0,
121800,28200,0,0,0,
117600,32400,0,0,0,
117600,32400,0,0,0,
117600,32400,0,0,0,
118800,31200,0,0,0,
118200,31800,0,0,0,
118800,31200,0,0,0,
118800,31200,0,0,0,
118800,31200,0,0,0,
118800,31200,0,0,0,
118200,31800,0,0,0,
118800,31200,0,0,0,
116700,33300,0,0,0,
116700,33300,0,0,0,
116700,33300,0,0,0,
116100,33900,0,0,0,
113100,36900,0,0,0,
113100,36900,0,0,0,
113100,36900,0,0,0,
114900,35100,0,0,0,
114300,35700,0,0,0,
108900,41100,0,0,0,
108900,41100,0,0,0,
108900,41100,0,0,0,
110700,39300,0,0,0,
111600,38400,0,0,0,
112500,37500,0,0,0,
112500,37500,0,0,0,
112500,37500,0,0,0,
112500,37500,0,0,0,
113400,36600,0,0,0,
108000,42000,0,0,0,
108000,42000,0,0,0,
108000,42000,0,0,0,
108000,42000,0,0,0,
107400,42600,0,0,0,
108900,41100,0,0,0,
108900,41100,0,0,0,
108900,41100,0,0,0,
108900,41100,0,0,0,
108900,41100,0,0,0,
111000,39000,0,0,0,
111000,39000,0,0,0,
111600,38400,0,0,0,
111600,38400,0,0,0,
105600,44400,0,0,0,
101400,48600,0,0,0,
97800,52200,0,0,0,
100200,49800,0,0,0,
104100,45900,0,0,0,
108600,41400,0,0,0,
108000,42000,0,0,0,
108600,41400,0,0,0,
108600,41400,0,0,0,
109200,40800,0,0,0,
110700,39300,0,0,0,
107700,42300,0,0,0,
107700,42300,0,0,0,
110100,39900,0,0,0,
110100,39900,0,0,0,
110700,39300,0,0,0,
104700,45300,0,0,0,
104700,45300,0,0,0,
104700,45300,0,0,0,
104700,45300,0,0,0,
105300,44700,0,0,0,
105900,44100,0,0,0,
105000,45000,0,0,0,
106500,43500,0,0,0,
106500,43500,0,0,0,
101700,48300,0,0,0,
97200,52800,0,0,0,
97200,52800,0,0,0,
97200,52800,0,0,0,
95400,54600,0,0,0,
94800,55200,0,0,0,
96300,53700,0,0,0,
96300,53700,0,0,0,
98700,51300,0,0,0,
103200,46800,0,0,0,
100500,49500,0,0,0,
98700,51300,0,0,0,
98700,51300,0,0,0,
98700,51300,0,0,0,
104100,45900,0,0,0,
104100,45900,0,0,0,
102300,47700,0,0,0,
102300,47700,0,0,0,
102300,47700,0,0,0,
102300,47700,0,0,0,
99300,50700,0,0,0,
96300,53700,0,0,0,
96300,53700,0,0,0,
96300,53700,0,0,0,
99900,50100,0,0,0,
105900,44100,0,0,0,
105300,44700,0,0,0,
105300,44700,0,0,0,
103200,46800,0,0,0,
101400,48600,0,0,0,
97200,52800,0,0,0,
96300,53700,0,0,0,
95700,54300,0,0,0,
95700,54300,0,0,0,
95700,54300,0,0,0,
91200,58800,0,0,0,
91800,58200,0,0,0,
91800,58200,0,0,0,
91800,58200,0,0,0,
91200,58800,0,0,0,
97200,52800,0,0,0,
96600,53400,0,0,0,
96600,53400,0,0,0,
96600,53400,0,0,0,
96600,53400,0,0,0,
92400,57600,0,0,0,
93300,56700,0,0,0,
93300,56700,0,0,0,
93300,56700,0,0,0,
93300,56700,0,0,0,
93900,56100,0,0,0,
94500,55500,0,0,0,
94500,55500,0,0,0,
94500,55500,0,0,0,
95400,54600,0,0,0,
96600,53400,0,0,0,
98100,51900,0,0,0,
98100,51900,0,0,0,
98100,51900,0,0,0,
94500,55500,0,0,0,
99000,51000,0,0,0,
100500,49500,0,0,0,
100500,49500,0,0,0,
105900,44100,0,0,0,
111300,38700,0,0,0,
113400,36600,0,0,0,
114600,35400,0,0,0,
114600,35400,0,0,0,
114600,35400,0,0,0,
114600,35400,0,0,0,
116100,33900,0,0,0,
115500,34500,0,0,0,
115500,34500,0,0,0,
115500,34500,0,0,0,
115500,34500,0,0,0,
117000,33000,0,0,0,
117600,32400,0,0,0,
117600,32400,0,0,0,
119100,30900,0,0,0,
120000,30000,0,0,0,
121500,28500,0,0,0,
120900,29100,0,0,0,
122700,27300,0,0,0,
126600,23400,0,0,0,
126600,23400,0,0,0,
126000,24000,0,0,0,
130500,19500,0,0,0,
130500,19500,0,0,0,
130500,19500,0,0,0,
130500,19500,0,0,0,
131700,18300,0,0,0,
131100,18900,0,0,0,
135300,14700,0,0,0,
135300,14700,0,0,0,
135300,14700,0,0,0,
131100,18900,0,0,0,
135900,14100,0,0,0,
135900,14100,0,0,0,
135900,14100,0,0,0,
141300,8700,0,0,0,
147300,2700,0,0,0,
147300,2700,0,0,0,
148200,1800,0,0,0,
148200,1800,0,0,0,
148200,1800,0,0,0,
148800,1200,0,0,0,
150000,0,0,0,0,
