CALL_MAN,SIMPLE_RANGE,SIMPLE_RANGE,EXPECTATION,EXPECTATION
0,24300,7900,17550,250
0,24000,8200,17550,250
0,24300,7900,17550,250
0,24600,7900,17250,250
0,24750,7600,17400,250
0,24750,7600,17400,250
0,24450,7900,17400,250
0,24750,7600,17400,250
0,24150,8800,16800,250
0,24150,8800,16800,250
0,24150,8800,16800,250
0,24450,8500,16800,250
0,24450,8200,17100,250
0,24750,8200,16800,250
0,24750,8200,16800,250
0,24750,8200,16800,250
0,24450,8500,16800,250
0,24750,8200,16800,250
0,24750,8200,16800,250
0,24750,8200,16800,250
0,24750,8200,16800,250
0,25050,7900,16800,250
0,25350,7600,16800,250
0,26550,7000,16200,250
0,26550,7000,16200,250
0,26550,7000,16200,250
0,26550,7000,16200,250
0,26850,6700,16200,250
0,27150,6700,15900,250
0,27150,6700,15900,250
0,27750,6100,15900,250
0,27750,6100,15900,250
0,28050,5800,15900,250
0,27450,7000,15300,250
0,27150,7300,15300,250
0,27150,7300,15300,250
0,26850,7600,15300,250
0,26850,7300,15600,250
0,26250,7300,16200,250
0,26250,7300,16200,250
0,26250,7300,16200,250
0,26550,7000,16200,250
0,26850,6700,16200,250
0,27150,6700,15900,250
0,27150,6700,15900,250
0,27150,6700,15900,250
0,26850,7000,15900,250
0,26850,6700,16200,250
0,26550,6700,16500,250
0,26550,6700,16500,250
0,26550,6700,16500,250
0,26850,6400,16500,250
0,26850,6100,16800,250
0,26550,6100,17100,250
0,26550,6100,17100,250
0,26550,6100,17100,250
0,26850,5800,17100,250
0,27150,5500,17100,250
0,26850,5500,17400,250
0,26850,5500,17400,250
0,26850,5500,17400,250
0,27150,5200,17400,250
0,27450,4900,17400,250
0,28050,4900,16800,250
0,28050,4900,16800,250
0,28350,4600,16800,250
0,28050,4900,16800,250
0,28350,4600,16800,250
0,27750,4600,17400,250
0,28050,4300,17400,250
0,28050,4300,17400,250
0,28350,4000,17400,250
0,26250,3700,19800,250
0,26550,3700,19500,250
0,26550,3700,19500,250
0,26550,3700,19500,250
0,26250,4000,19500,250
0,27150,3700,18900,250
0,26850,3700,19200,250
0,26850,3700,19200,250
0,26850,3700,19200,250
0,27150,3400,19200,250
0,27150,3100,19500,250
0,27450,3100,19200,250
0,27450,3100,19200,250
0,27450,3100,19200,250
0,27150,3400,19200,250
0,27150,3100,19500,250
0,27750,3100,18900,250
0,27750,3100,18900,250
0,27750,3100,18900,250
0,27450,3400,18900,250
0,27750,3100,18900,250
0,27150,3100,19500,250
0,27150,3100,19500,250
0,27150,3100,19500,250
0,27450,2800,19500,250
0,27750,2500,19500,250
0,27450,2500,19800,250
0,27450,2500,19800,250
0,27450,1900,20400,250
0,27750,1600,20400,250
0,27750,2200,19800,250
0,28050,2200,19500,250
0,28050,2200,19500,250
0,28050,2200,19500,250
0,28350,1900,19500,250
0,28350,1600,19800,250
0,29250,1000,19500,250
0,29250,1000,19500,250
0,29250,1000,19500,250
0,29550,700,19500,250
0,29550,400,19800,250
0,30150,400,19200,250
0,30150,400,19200,250
0,30150,400,19200,250
0,30450,400,18900,250
0,30750,100,18900,250
0,30450,100,19200,250
0,30450,100,19200,250
0,30450,100,19200,250
0,30150,100,19500,250
0,30150,100,19500,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29550,100,20100,250
0,29550,100,20100,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29550,100,20100,250
0,29550,100,20100,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29850,100,19800,250
0,30150,100,19500,250
0,30150,100,19500,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32850,100,16800,250
0,32850,100,16800,250
0,33150,100,16500,250
0,33150,100,16500,250
0,33150,100,16500,250
0,32850,100,16800,250
0,32850,100,16800,250
0,33150,100,16500,250
0,33150,100,16500,250
0,33150,100,16500,250
0,32850,100,16800,250
0,32850,100,16800,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32250,100,17400,250
0,32250,100,17400,250
0,31950,100,17700,250
0,31950,100,17700,250
0,31950,100,17700,250
0,32250,100,17400,250
0,32250,100,17400,250
0,31950,100,17700,250
0,31950,100,17700,250
0,31950,100,17700,250
0,32250,100,17400,250
0,32250,100,17400,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32550,100,17100,250
0,32250,100,17400,250
