EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,
32700,156000,190200,71100,
32400,155400,190200,72000,
32400,155100,196500,66000,
32400,155100,181500,81000,
32700,155100,181500,80700,
32400,155400,181500,80700,
36900,155100,177300,80700,
36900,156000,177000,80100,
25500,156000,177000,91500,
25200,155400,177000,92400,
25200,155100,177300,92400,
25200,155100,177000,92700,
24600,155100,177900,92400,
24300,152700,177900,95100,
24300,153300,177300,95100,
24300,153300,167700,104700,
24900,153300,167700,104100,
30300,152700,167100,99900,
31200,152400,166500,99900,
30600,152400,166200,100800,
30000,152400,172800,94800,
29700,152700,172800,94800,
29700,152100,173400,94800,
29700,162300,163800,94200,
30000,162300,163800,93900,
40200,161700,154200,93900,
40200,169500,146400,93900,
40200,169500,146100,94200,
40500,169500,146100,93900,
32700,181500,146100,89700,
32700,180900,146700,89700,
32700,180900,146400,90000,
26700,180900,145800,96600,
26400,181200,145800,96600,
25800,180900,146700,96600,
25800,178500,146400,99300,
26700,178500,145800,99000,
36300,168900,145800,99000,
36300,168600,146100,99000,
36300,168600,145800,99300,
44400,168600,138000,99000,
40200,168000,138000,103800,
32400,160200,153600,103800,
32400,160200,153300,104100,
33600,159600,153300,103500,
33300,165900,153300,97500,
33300,165300,153900,97500,
33300,175500,149700,91500,
33600,175500,149700,91200,
33000,176100,149700,91200,
33900,175800,149100,91200,
33900,175800,148800,91500,
43500,175800,148800,81900,
43200,176100,148800,81900,
43200,176700,148200,81900,
31800,176700,160200,81300,
31200,177900,160200,80700,
39000,170100,160200,80700,
45600,164100,159600,80700,
45600,164100,159300,81000,
45900,164100,159300,80700,
45600,164400,159300,80700,
45600,162000,161700,80700,
50400,162000,161100,76500,
42600,162000,156900,88500,
34800,161400,165300,88500,
34800,162000,164700,88500,
25200,162000,174900,87900,
13800,162000,174900,99300,
6000,169800,174900,99300,
6000,169200,175500,99300,
5400,169200,169500,105900,
4800,169200,179700,96300,
5400,168600,179700,96300,
5400,168000,180300,96300,
6300,168000,180000,95700,
6600,168000,180000,95400,
6300,168300,180000,95400,
6300,168000,180300,95400,
6300,168900,180000,94800,
5700,168900,181200,94200,
0,168300,181200,100500,
0,168000,181500,100500,
0,178200,180900,90900,
0,177600,180900,91500,
0,181200,177300,91500,
0,169800,176700,103500,
0,169800,184200,96000,
0,175800,184200,90000,
0,175800,184200,90000,
0,181800,178200,90000,
0,177600,177900,94500,
0,177900,177900,94200,
0,174300,186900,88800,
0,174000,187200,88800,
0,174000,186900,89100,
0,174600,186900,88500,
0,174600,186900,88500,
0,180600,180900,88500,
0,180600,186900,82500,
0,174600,186900,88500,
0,199800,174300,75900,
0,211800,173700,64500,
0,211800,173400,64800,
0,211200,163800,75000,
0,211200,167400,71400,
0,215400,163200,71400,
0,216300,162900,70800,
0,210300,162900,76800,
0,210300,162900,76800,
0,210000,162300,77700,
0,210000,161700,78300,
0,210300,161700,78000,
0,208500,163500,78000,
0,208200,169800,72000,
0,208200,169200,72600,
0,208500,169200,72300,
0,208500,169200,72300,
0,208500,169200,72300,
0,208500,175200,66300,
0,207900,175200,66900,
0,207900,175200,66900,
0,207900,175200,66900,
0,207900,174600,67500,
0,210600,172200,67200,
0,210600,172200,67200,
0,210300,172500,67200,
0,210300,172200,67500,
0,204300,172200,73500,
0,204300,172200,73500,
0,200100,176400,73500,
0,192300,175800,81900,
0,191700,175800,82500,
0,191700,175800,82500,
0,187500,180000,82500,
0,187500,179700,82800,
0,187800,179700,82500,
0,193200,174300,82500,
0,192900,174600,82500,
0,192900,174000,83100,
0,192300,175200,82500,
0,192300,175200,82500,
0,186300,181200,82500,
0,186300,177000,86700,
0,195900,177000,77100,
0,195900,177000,77100,
0,195600,176400,78000,
0,195000,175800,79200,
0,195300,175800,78900,
0,195300,175800,78900,
0,189300,181800,78900,
0,189300,182400,78300,
0,189600,182400,78000,
0,189600,182400,78000,
0,189300,182700,78000,
0,185100,187500,77400,
0,185250,187650,77100,
0,185250,187650,77100,
0,196650,176250,77100,
0,196650,175650,77700,
0,193050,179550,77400,
0,193050,179550,77400,
0,187050,185550,77400,
0,187050,183150,79800,
0,187350,183150,79500,
0,187350,183150,79500,
0,181350,195150,73500,
0,181350,183750,84900,
0,192750,183750,73500,
0,192750,176550,80700,
0,192150,174150,83700,
0,192150,164550,93300,
0,191550,164550,93900,
0,191550,164550,93900,
0,192750,163950,93300,
0,192750,173550,83700,
