EXPECTATION,EXPECTATION_RAISE_LIMIT_24,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT_2,EXACT_RANGE_EXP_2,
0,281500,0,0,288500,
0,281200,0,0,288800,
0,261600,0,0,308400,
0,261600,0,0,308400,
0,250800,0,0,319200,
0,250800,0,0,319200,
0,250500,0,0,319500,
0,250500,0,0,319500,
0,249300,0,0,320700,
0,245100,0,0,324900,
0,248700,0,0,321300,
0,242700,0,0,327300,
0,242700,0,0,327300,
0,242700,0,0,327300,
0,240900,0,0,329100,
0,246300,0,0,323700,
0,246000,0,0,324000,
0,246000,0,0,324000,
0,246000,0,0,324000,
0,245400,0,0,324600,
0,245400,0,0,324600,
0,251400,0,0,318600,
0,251400,0,0,318600,
0,266400,0,0,303600,
0,265800,0,0,304200,
0,269400,0,0,300600,
0,269100,0,0,300900,
0,276300,0,0,293700,
0,276300,0,0,293700,
0,276900,0,0,293100,
0,276900,0,0,293100,
0,276600,0,0,293400,
0,276600,0,0,293400,
0,272700,0,0,297300,
0,264500,0,0,305500,
0,271700,0,0,298300,
0,271400,0,0,298600,
0,268400,0,0,301600,
0,268400,0,0,301600,
0,245100,0,0,324900,
0,245100,0,0,324900,
0,244800,0,0,325200,
0,244800,0,0,325200,
0,244800,0,0,325200,
0,249000,0,0,321000,
0,249000,0,0,321000,
0,249600,0,0,320400,
0,247200,0,0,322800,
0,247200,0,0,322800,
0,242400,0,0,327600,
0,242400,0,0,327600,
0,236400,0,0,333600,
0,236400,0,0,333600,
0,220100,0,0,349900,
0,212200,0,0,357800,
0,214000,0,0,356000,
0,213700,0,0,356300,
0,213700,0,0,356300,
0,243300,0,0,326700,
0,242700,0,0,327300,
0,240900,0,0,329100,
0,243300,0,0,326700,
0,243300,0,0,326700,
0,234400,0,0,335600,
0,250500,0,0,319500,
0,250500,0,0,319500,
0,245700,0,0,324300,
0,245700,0,0,324300,
0,244500,0,0,325500,
0,250500,0,0,319500,
0,255900,0,0,314100,
0,255600,0,0,314400,
0,255600,0,0,314400,
0,255600,0,0,314400,
0,256200,0,0,313800,
0,256200,0,0,313800,
0,253200,0,0,316800,
0,256700,0,0,313300,
0,256700,0,0,313300,
0,256100,0,0,313900,
0,256100,0,0,313900,
0,255800,0,0,314200,
0,255800,0,0,314200,
0,255800,0,0,314200,
0,250700,0,0,319300,
0,250700,0,0,319300,
0,250400,0,0,319600,
0,284900,0,0,285100,
0,284900,0,0,285100,
0,285500,0,0,284500,
0,278300,0,0,291700,
0,278900,0,0,291100,
0,278900,0,0,291100,
0,276500,0,0,293500,
0,275900,0,0,294100,
0,274100,0,0,295900,
0,273500,0,0,296500,
0,273500,0,0,296500,
0,273500,0,0,296500,
0,272900,0,0,297100,
0,276500,0,0,293500,
0,276200,0,0,293800,
0,268900,0,0,301100,
0,257300,0,0,312700,
0,256700,0,0,313300,
0,256700,0,0,313300,
0,256400,0,0,313600,
0,249200,0,0,320800,
0,249200,0,0,320800,
0,249800,0,0,320200,
0,257000,0,0,313000,
0,256700,0,0,313300,
0,256700,0,0,313300,
0,262800,0,0,307200,
0,262800,0,0,307200,
0,257400,0,0,312600,
0,258000,0,0,312000,
0,256800,0,0,313200,
0,256800,0,0,313200,
0,262800,0,0,307200,
0,261000,0,0,309000,
0,260700,0,0,309300,
0,260700,0,0,309300,
0,260700,0,0,309300,
0,266700,0,0,303300,
0,272100,0,0,297900,
0,271800,0,0,298200,
0,273000,0,0,297000,
0,273000,0,0,297000,
0,273600,0,0,296400,
0,271800,0,0,298200,
0,265800,0,0,304200,
0,286700,0,0,283300,
0,286700,0,0,283300,
0,287300,0,0,282700,
0,285500,0,0,284500,
0,291500,0,0,278500,
0,270500,0,0,299500,
0,270500,0,0,299500,
0,269900,0,0,300100,
0,262700,0,0,307300,
0,268700,0,0,301300,
0,268700,0,0,301300,
0,261500,0,0,308500,
0,266900,0,0,303100,
0,274100,0,0,295900,
0,278300,0,0,291700,
0,278300,0,0,291700,
0,281400,0,0,288600,
0,280800,0,0,289200,
0,280800,0,0,289200,
0,286800,0,0,283200,
0,302000,0,0,268000,
0,286600,0,0,283400,
0,287200,0,0,282800,
0,281800,0,0,288200,
0,282400,0,0,287600,
0,282400,0,0,287600,
0,282400,0,0,287600,
0,281800,0,0,288200,
0,281800,0,0,288200,
0,269800,0,0,300200,
0,259900,0,0,310100,
0,250000,0,0,320000,
0,250600,0,0,319400,
0,250600,0,0,319400,
0,244600,0,0,325400,
0,243400,0,0,326600,
0,243400,0,0,326600,
0,244000,0,0,326000,
0,245800,0,0,324200,
0,245500,0,0,324500,
0,245500,0,0,324500,
0,261000,0,0,309000,
0,269400,0,0,300600,
0,269400,0,0,300600,
0,270000,0,0,300000,
0,273100,0,0,296900,
0,273100,0,0,296900,
0,272500,0,0,297500,
0,272500,0,0,297500,
0,272200,0,0,297800,
0,272200,0,0,297800,
0,272200,0,0,297800,
0,271600,0,0,298400,
0,277000,0,0,293000,
0,276400,0,0,293600,
0,276400,0,0,293600,
0,276400,0,0,293600,
0,277000,0,0,293000,
0,284200,0,0,285800,
0,284800,0,0,285200,
0,278000,0,0,292000,
0,278000,0,0,292000,
0,265300,0,0,304700,
0,263500,0,0,306500,
0,257500,0,0,312500,
0,254500,0,0,315500,
0,254500,0,0,315500,
0,238300,0,0,331700,
0,238300,0,0,331700,
0,244300,0,0,325700,
0,234900,0,0,335100,
0,224900,0,0,345100,
0,224300,0,0,345700,
0,224300,0,0,345700,
0,229700,0,0,340300,
0,221300,0,0,348700,
0,221300,0,0,348700,
0,220700,0,0,349300,
0,220700,0,0,349300,
0,220400,0,0,349600,
0,211700,0,0,358300,
0,205100,0,0,364900,
0,195000,0,0,375000,
0,195000,0,0,375000,
0,194700,0,0,375300,
0,194700,0,0,375300,
0,194700,0,0,375300,
0,195300,0,0,374700,
0,195300,0,0,374700,
0,192300,0,0,377700,
0,189000,0,0,381000,
0,189000,0,0,381000,
0,188400,0,0,381600,
0,186600,0,0,383400,
0,187200,0,0,382800,
0,187200,0,0,382800,
0,187200,0,0,382800,
0,193200,0,0,376800,
0,198600,0,0,371400,
0,199200,0,0,370800,
0,199200,0,0,370800,
0,199200,0,0,370800,
0,199800,0,0,370200,
0,198000,0,0,372000,
0,197700,0,0,372300,
0,197700,0,0,372300,
0,197700,0,0,372300,
0,204900,0,0,365100,
0,204900,0,0,365100,
0,204600,0,0,365400,
0,204600,0,0,365400,
0,206900,0,0,363100,
0,209300,0,0,360700,
0,209300,0,0,360700,
0,215300,0,0,354700,
0,215300,0,0,354700,
0,215300,0,0,354700,
0,221300,0,0,348700,
0,226700,0,0,343300,
0,230900,0,0,339100,
0,230900,0,0,339100,
0,230900,0,0,339100,
0,230300,0,0,339700,
0,226700,0,0,343300,
0,226400,0,0,343600,
0,226400,0,0,343600,
0,218400,0,0,351600,
0,210100,0,0,359900,
0,210100,0,0,359900,
0,216100,0,0,353900,
0,216100,0,0,353900,
0,208900,0,0,361100,
0,207100,0,0,362900,
0,207100,0,0,362900,
0,206800,0,0,363200,
0,197900,0,0,372100,
0,197900,0,0,372100,
0,200300,0,0,369700,
0,200300,0,0,369700,
0,191800,0,0,378200,
0,191800,0,0,378200,
0,191800,0,0,378200,
0,196000,0,0,374000,
0,199600,0,0,370400,
0,192400,0,0,377600,
0,191200,0,0,378800,
0,192400,0,0,377600,
0,193000,0,0,377000,
0,193000,0,0,377000,
0,192700,0,0,377300,
0,192700,0,0,377300,
0,192700,0,0,377300,
0,192100,0,0,377900,
0,192100,0,0,377900,
0,191800,0,0,378200,
0,190000,0,0,380000,
0,194700,0,0,375300,
0,194100,0,0,375900,
0,192300,0,0,377700,
0,184000,0,0,386000,
0,184000,0,0,386000,
0,184000,0,0,386000,
0,184600,0,0,385400,
0,184600,0,0,385400,
0,179200,0,0,390800,
0,169100,0,0,400900,
0,169100,0,0,400900,
0,169700,0,0,400300,
0,169700,0,0,400300,
0,169400,0,0,400600,
0,169400,0,0,400600,
0,170600,0,0,399400,
0,153700,0,0,416300,
0,153700,0,0,416300,
0,159700,0,0,410300,
0,159700,0,0,410300,
0,160900,0,0,409100,
0,154500,0,0,415500,
0,149100,0,0,420900,
0,149100,0,0,420900,
0,149100,0,0,420900,
0,158900,0,0,411100,
0,158300,0,0,411700,
0,154700,0,0,415300,
0,154700,0,0,415300,
0,154700,0,0,415300,
0,146300,0,0,423700,
0,146900,0,0,423100,
0,141500,0,0,428500,
0,135500,0,0,434500,
0,135500,0,0,434500,
0,150500,0,0,419500,
0,151100,0,0,418900,
0,143900,0,0,426100,
0,144500,0,0,425500,
0,144500,0,0,425500,
0,124500,0,0,445500,
0,110600,0,0,459400,
0,110600,0,0,459400,
0,116600,0,0,453400,
0,116600,0,0,453400,
0,116600,0,0,453400,
0,122600,0,0,447400,
0,120800,0,0,449200,
0,121400,0,0,448600,
0,121400,0,0,448600,
0,121400,0,0,448600,
0,109400,0,0,460600,
0,116600,0,0,453400,
0,116300,0,0,453700,
0,116300,0,0,453700,
0,116300,0,0,453700,
0,122300,0,0,447700,
0,129500,0,0,440500,
0,135500,0,0,434500,
0,135500,0,0,434500,
0,135500,0,0,434500,
0,136100,0,0,433900,
0,141500,0,0,428500,
0,141200,0,0,428800,
0,141200,0,0,428800,
0,141200,0,0,428800,
0,140600,0,0,429400,
0,140600,0,0,429400,
0,140300,0,0,429700,
0,151500,0,0,418500,
0,151500,0,0,418500,
0,152100,0,0,417900,
0,150300,0,0,419700,
0,156300,0,0,413700,
0,156300,0,0,413700,
0,154500,0,0,415500,
0,139100,0,0,430900,
0,133700,0,0,436300,
0,134300,0,0,435700,
0,148900,0,0,421100,
0,172900,0,0,397100,
0,175300,0,0,394700,
0,175300,0,0,394700,
0,174700,0,0,395300,
0,174700,0,0,395300,
0,174700,0,0,395300,
0,175300,0,0,394700,
0,175300,0,0,394700,
0,169300,0,0,400700,
0,169300,0,0,400700,
0,176000,0,0,394000,
0,170000,0,0,400000,
0,168200,0,0,401800,
0,167900,0,0,402100,
0,166700,0,0,403300,
0,166700,0,0,403300,
0,166700,0,0,403300,
0,172100,0,0,397900,
0,171800,0,0,398200,
0,171800,0,0,398200,
0,171800,0,0,398200,
0,177800,0,0,392200,
0,181400,0,0,388600,
0,181100,0,0,388900,
0,181100,0,0,388900,
0,181100,0,0,388900,
0,180500,0,0,389500,
0,178700,0,0,391300,
0,172700,0,0,397300,
0,180900,0,0,389100,
0,179700,0,0,390300,
0,171400,0,0,398600,
0,178600,0,0,391400,
0,178300,0,0,391700,
0,168700,0,0,401300,
0,159300,0,0,410700,
0,159900,0,0,410100,
0,158100,0,0,411900,
0,164100,0,0,405900,
0,164100,0,0,405900,
0,162900,0,0,407100,
0,162300,0,0,407700,
0,162300,0,0,407700,
0,162000,0,0,408000,
0,162000,0,0,408000,
0,162000,0,0,408000,
0,164400,0,0,405600,
0,157200,0,0,412800,
0,151200,0,0,418800,
0,151200,0,0,418800,
0,163900,0,0,406100,
0,164500,0,0,405500,
0,164500,0,0,405500,
0,164200,0,0,405800,
0,158100,0,0,411900,
0,161100,0,0,408900,
0,161700,0,0,408300,
0,161700,0,0,408300,
0,151300,0,0,418700,
0,151300,0,0,418700,
