EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,
90000,90000,90000,90000,90000,90000,
89400,91800,89400,90000,89400,90000,
89400,87000,85800,90000,89400,98400,
89400,87000,91800,84000,89400,98400,
89400,87000,91200,83400,90600,98400,
89400,79200,91200,92400,90000,97800,
88800,79200,90600,92400,91800,97200,
88800,79200,90600,92400,91800,97200,
81000,87600,90000,92400,91800,97200,
81000,87600,89400,93000,91800,97200,
81000,87600,89400,82800,102000,97200,
81000,87600,89400,82800,101400,97800,
80400,87600,300,0,101400,270300,
87300,81600,0,0,101400,269700,
87300,77400,0,0,105600,269700,
87300,72000,0,0,105600,275100,
87300,72000,0,0,109800,270900,
87300,72000,0,0,114600,266100,
86700,72000,0,0,114600,266700,
86400,70200,0,0,114600,268800,
78600,78600,0,0,114000,268800,
78600,78600,0,0,114000,268800,
78600,82200,0,0,110400,268800,
78600,82200,0,0,115200,264000,
78000,82200,0,0,109200,270600,
77400,79800,0,0,112200,270600,
77400,79200,0,0,112800,270600,
73200,79200,0,0,112800,274800,
73200,79200,0,0,112800,274800,
73200,79200,0,0,112200,275400,
69000,84000,0,0,112200,274800,
68400,84600,0,0,112200,274800,
91200,73200,0,0,100800,274800,
91200,73200,0,0,100800,274800,
91200,73200,0,0,103800,271800,
91200,73200,0,0,105900,269700,
90600,67200,0,0,105900,276300,
99900,66600,0,0,105900,267600,
108300,58800,0,0,105300,267600,
108300,58800,0,0,105300,267600,
108300,58800,0,0,105300,267600,
108300,58800,0,0,98400,274500,
108900,58800,0,0,98400,273900,
101100,51000,0,0,98400,289500,
101100,45600,0,0,103800,289500,
101100,45600,0,0,103800,289500,
101100,40200,0,0,109200,289500,
101100,40200,0,0,97800,300900,
100500,40200,0,0,196200,203100,
92700,48000,0,0,196200,203100,
92700,51600,0,0,192600,203100,
92700,63600,0,0,192600,191100,
92700,60600,0,0,195600,191100,
92700,60600,0,0,195000,191700,
93300,60600,0,0,195000,191100,
89100,64800,0,0,195000,191100,
88500,64200,0,0,196200,191100,
86700,66000,0,0,196200,191100,
86700,66000,0,0,196200,191100,
86700,66000,0,0,199800,187500,
82500,66000,0,0,199800,191700,
86400,62100,0,0,199800,191700,
86400,62700,0,0,199200,191700,
86400,54300,0,0,207600,191700,
86400,54300,0,0,207600,191700,
86400,54300,0,0,207000,192300,
83400,54300,0,0,207000,195300,
82800,54900,0,0,207000,195300,
76800,54300,0,0,213600,195300,
75000,54300,0,0,208200,202500,
75000,54300,0,0,208200,202500,
75000,54300,0,0,201600,209100,
72600,57300,0,0,201600,208500,
72000,58500,0,0,201600,207900,
71400,52500,0,0,208200,207900,
71400,52500,0,0,208200,207900,
71400,52500,0,0,208200,207900,
71400,52500,0,0,208200,207900,
70800,53700,0,0,208200,207300,
70200,53100,0,0,209400,207300,
70200,53700,0,0,208800,207300,
72000,51900,0,0,208800,207300,
67800,51900,0,0,208800,211500,
67800,51900,0,0,215400,204900,
67200,51900,0,0,210600,210300,
76500,51300,0,0,210600,201600,
70500,57900,0,0,210000,201600,
77700,54300,0,0,210000,198000,
77700,55500,0,0,208800,198000,
77700,54900,0,0,216000,191400,
84600,54900,0,0,216000,184500,
85200,54300,0,0,216000,184500,
85200,49500,0,0,220800,184500,
85200,49500,0,0,220800,184500,
85200,49500,0,0,220800,184500,
85200,61500,0,0,209400,183900,
82800,64500,0,0,209400,183300,
82200,65100,0,0,209400,183300,
82200,65700,0,0,208800,183300,
82200,65700,0,0,208800,183300,
82200,65700,0,0,208800,183300,
82200,65700,0,0,204000,188100,
81600,65700,0,0,204000,188700,
81000,66300,0,0,204000,188700,
81000,72300,0,0,198000,188700,
81000,72300,0,0,198000,188700,
77400,75900,0,0,198000,188700,
77400,75900,0,0,198000,188700,
76800,77100,0,0,198000,188100,
76200,76500,0,0,197400,189900,
76200,71700,0,0,202200,189900,
76200,71700,0,0,198600,193500,
76200,71700,0,0,198600,193500,
76200,63900,0,0,207000,192900,
62400,63900,0,0,207000,206700,
61800,64500,0,0,207000,206700,
61800,65100,0,0,206400,206700,
61800,75900,0,0,206400,195900,
78000,66900,0,0,206400,188700,
78000,66900,0,0,207000,188100,
78600,66900,0,0,207000,187500,
74400,71100,0,0,207000,187500,
74400,70500,0,0,207600,187500,
67200,66900,0,0,213000,192900,
67200,66900,0,0,213000,192900,
67200,66900,0,0,206700,199200,
67800,66900,0,0,206700,198600,
68400,66300,0,0,206700,198600,
