EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,
68400,74100,0,0,198900,198600,
68400,62700,0,0,219300,189600,
68400,62700,0,0,219300,189600,
68400,62700,0,0,222300,186600,
64200,62700,0,0,222300,190800,
63600,56700,0,0,222300,197400,
63600,57300,0,0,221700,197400,
63600,58500,0,0,220500,197400,
63600,62100,0,0,216900,197400,
63600,62100,0,0,207900,206400,
64200,62100,0,0,207900,205800,
63600,63300,0,0,207300,205800,
63000,59100,0,0,212100,205800,
63000,60300,0,0,212100,204600,
63000,60300,0,0,212100,204600,
63000,60300,0,0,215100,201600,
60600,63300,0,0,215100,201000,
66600,57300,0,0,215100,201000,
66000,53100,0,0,219900,201000,
66000,51900,0,0,221100,201000,
64200,50700,0,0,221100,204000,
64200,50700,0,0,221700,203400,
69900,50700,0,0,221700,197700,
69300,51300,0,0,221700,197700,
66900,50700,0,0,224700,197700,
66900,50700,0,0,224700,197700,
66900,50700,0,0,224700,197700,
66900,50700,0,0,224100,198300,
66300,50700,0,0,232500,190500,
58200,50100,0,0,225600,206100,
58200,54300,0,0,221400,206100,
58200,49500,0,0,226200,206100,
58200,49500,0,0,226200,206100,
58200,49500,0,0,225600,206700,
57600,49500,0,0,217800,215100,
53400,53700,0,0,217800,215100,
53400,54300,0,0,217200,215100,
53400,54300,0,0,217200,215100,
49800,57900,0,0,217200,215100,
49800,57900,0,0,217800,214500,
49200,51900,0,0,217800,221100,
48600,52500,0,0,217800,221100,
48600,48900,0,0,221400,221100,
48600,57300,0,0,221400,212700,
48600,57300,0,0,221400,212700,
48600,57300,0,0,231000,203100,
46800,57300,0,0,231000,204900,
46200,57900,0,0,231000,204900,
46200,60300,0,0,228600,204900,
46200,53100,0,0,235800,204900,
46200,53100,0,0,235800,204900,
46200,53100,0,0,235800,204900,
39600,53100,0,0,235800,211500,
55800,45000,0,0,235800,203400,
55800,45600,0,0,235200,203400,
55800,40200,0,0,235200,208800,
53400,40200,0,0,235200,211200,
53400,41400,0,0,234600,210600,
54000,41400,0,0,234600,210000,
54600,40800,0,0,234600,210000,
61200,34800,0,0,234000,210000,
61200,22800,0,0,246000,210000,
77400,22800,0,0,246000,193800,
77400,22800,0,0,245400,194400,
85200,22800,0,0,245400,186600,
80400,18000,0,0,255600,186000,
80400,18000,0,0,255600,186000,
80400,18000,0,0,255600,186000,
80400,18000,0,0,244800,196800,
80400,18000,0,0,241800,199800,
79800,18000,0,0,244200,198000,
79200,10200,0,0,260400,190200,
79200,16200,0,0,254400,190200,
79200,16200,0,0,254400,190200,
84600,16200,0,0,249000,190200,
84600,17400,0,0,248400,189600,
80400,16800,0,0,253800,189000,
82800,14400,0,0,253800,189000,
82800,13800,0,0,254400,189000,
75600,21000,0,0,254400,189000,
75600,21000,0,0,254400,189000,
75600,21000,0,0,248400,195000,
71400,21000,0,0,248400,199200,
77100,15300,0,0,248400,199200,
77100,14700,0,0,249000,199200,
77100,14700,0,0,249000,199200,
77100,15900,0,0,247800,199200,
77100,15900,0,0,256800,190200,
76500,15900,0,0,256800,190800,
75900,15300,0,0,256800,192000,
69900,27300,0,0,250800,192000,
69900,22500,0,0,255600,192000,
64500,27900,0,0,255600,192000,
64500,27900,0,0,255000,192600,
63900,27900,0,0,255000,193200,
64500,27300,0,0,255000,193200,
64500,21300,0,0,261000,193200,
64500,21300,0,0,261000,193200,
64500,21300,0,0,255600,198600,
64500,21300,0,0,261600,192600,
59700,21300,0,0,261600,197400,
53700,39300,0,0,255600,191400,
53700,38700,0,0,256200,191400,
53700,38700,0,0,256200,191400,
53700,38700,0,0,256200,191400,
53700,38700,0,0,260400,187200,
62400,38700,0,0,260400,178500,
61800,39300,0,0,260400,178500,
61800,39900,0,0,259800,178500,
61800,39900,0,0,259800,178500,
61800,39900,0,0,259800,178500,
61800,39300,0,0,264600,174300,
62400,39300,0,0,264600,173700,
61800,31500,0,0,273000,173700,
61800,30900,0,0,273600,173700,
61800,43500,0,0,261000,173700,
78000,43500,0,0,253800,164700,
78000,43500,0,0,254400,164100,
78600,43500,0,0,254400,163500,
78000,44100,0,0,254400,163500,
78000,44700,0,0,253800,163500,
78000,44700,0,0,253800,163500,
78000,44700,0,0,253800,163500,
78000,44700,0,0,253200,164100,
87600,44700,0,0,253200,154500,
87000,44100,0,0,253200,155700,
87000,39900,0,0,257400,155700,
97800,39900,0,0,246600,155700,
105000,39900,0,0,239400,155700,
105000,39900,0,0,240000,155100,
91200,39900,0,0,239400,169500,
95400,35700,0,0,239400,169500,
95400,38100,0,0,237000,169500,
95400,38100,0,0,237000,169500,
95400,45300,0,0,229800,169500,
95400,45300,0,0,230400,168900,
90000,45300,0,0,230400,174300,
98700,36600,0,0,230400,174300,
98700,36000,0,0,231000,174300,
98700,37200,0,0,229800,174300,
98700,38400,0,0,229800,173100,
98700,38400,0,0,234000,168900,
94500,38400,0,0,234000,173100,
95100,37800,0,0,234000,173100,
85500,28200,0,0,253200,173100,
85500,28200,0,0,253200,173100,
85500,19200,0,0,262200,173100,
85500,19200,0,0,266400,168900,
171600,19200,0,0,265800,83400,
171000,18600,0,0,267600,82800,
171000,19200,0,0,267000,82800,
154800,49800,0,0,267000,68400,
145800,49800,0,0,267000,77400,
145800,49800,0,0,262800,81600,
151800,49800,0,0,262800,75600,
151200,50400,0,0,262800,75600,
151200,51000,0,0,262200,75600,
151200,40200,0,0,262200,86400,
151200,40200,0,0,262200,86400,
151200,40200,0,0,250800,97800,
151800,40200,0,0,250800,97200,
152400,39600,0,0,250800,97200,
141000,62400,0,0,239400,97200,
136800,62400,0,0,250200,90600,
136800,62400,0,0,250200,90600,
136800,62400,0,0,255600,85200,
147300,62400,0,0,255600,74700,
147900,61800,0,0,255600,74700,
147900,61200,0,0,256200,74700,
147900,61200,0,0,257400,73500,
147900,54600,0,0,264000,73500,
150900,54600,0,0,263400,71100,
150300,54600,0,0,263400,71700,
149700,65400,0,0,262800,62100,
149700,58800,0,0,269400,62100,
149700,58800,0,0,269400,62100,
162300,51600,0,0,269400,56700,
162300,51600,0,0,270000,56100,
162900,51600,0,0,270000,55500,
172200,42300,0,0,270000,55500,
172200,48300,0,0,264000,55500,
172200,48300,0,0,264000,55500,
172200,48300,0,0,264000,55500,
172200,47700,0,0,259200,60900,
169800,47700,0,0,264000,58500,
171900,45600,0,0,264000,58500,
171900,45000,0,0,264600,58500,
171900,34200,0,0,264600,69300,
171900,34200,0,0,264600,69300,
171900,34200,0,0,264600,69300,
171300,24600,0,0,262200,81900,
181500,14400,0,0,262200,81900,
190800,7500,0,0,259800,81900,
192600,5700,0,0,259800,81900,
192600,5700,0,0,267000,74700,
192600,17100,0,0,262200,68100,
219000,17100,0,0,249000,54900,
220200,16500,0,0,249000,54300,
220200,24300,0,0,241200,54300,
232800,24300,0,0,228600,54300,
232800,23100,0,0,229800,54300,
232800,23100,0,0,225600,58500,
291600,23100,0,0,225000,300,
287400,27300,0,0,225000,300,
286800,28500,0,0,224400,300,
286800,28500,0,0,224400,300,
286800,28500,0,0,224400,300,
282600,36900,0,0,220200,300,
278400,47400,0,0,214200,0,
284400,41400,0,0,214200,0,
284400,42000,0,0,213600,0,
279000,42000,0,0,219000,0,
279000,42000,0,0,219000,0,
278400,42000,0,0,219600,0,
278400,36600,0,0,225000,0,
270600,44400,0,0,225000,0,
270600,43800,0,0,225600,0,
270600,43800,0,0,225600,0,
279000,43800,0,0,217200,0,
286800,43800,0,0,209400,0,
286800,43800,0,0,209400,0,
279000,51600,0,0,209400,0,
279000,51000,0,0,210000,0,
279000,51000,0,0,210000,0,
279000,51000,0,0,210000,0,
279600,51000,0,0,209400,0,
285000,45600,0,0,209400,0,
282600,48600,0,0,208800,0,
282600,49200,0,0,208200,0,
282600,46200,0,0,211200,0,
279000,39000,0,0,222000,0,
278400,39000,0,0,222600,0,
278400,39000,0,0,222600,0,
277800,37200,0,0,225000,0,
275400,40200,0,0,224400,0,
275400,40200,0,0,224400,0,
275400,34800,0,0,229800,0,
276000,34800,0,0,229200,0,
276000,34800,0,0,229200,0,
276000,34800,0,0,229200,0,
276000,30600,0,0,233400,0,
276000,30600,0,0,233400,0,
276000,30600,0,0,233400,0,
284700,30600,0,0,224700,0,
279300,43200,0,0,217500,0,
278700,43800,0,0,217500,0,
278700,55200,0,0,206100,0,
273900,55200,0,0,210900,0,
273900,64200,0,0,201900,0,
279900,64200,0,0,195900,0,
279900,64200,0,0,195900,0,
282900,63600,0,0,193500,0,
282900,56100,0,0,201000,0,
282900,56100,0,0,201000,0,
282900,56100,0,0,201000,0,
278700,56100,0,0,205200,0,
278700,56100,0,0,205200,0,
278100,55500,0,0,206400,0,
278100,63000,0,0,198900,0,
278100,63000,0,0,198900,0,
278100,72000,0,0,189900,0,
286500,71400,0,0,182100,0,
286500,71400,0,0,182100,0,
282300,75600,0,0,182100,0,
282300,76200,0,0,181500,0,
282300,70800,0,0,186900,0,
282300,70800,0,0,186900,0,
281700,70800,0,0,187500,0,
270900,81600,0,0,187500,0,
270300,82200,0,0,187500,0,
270300,82800,0,0,186900,0,
270300,82800,0,0,186900,0,
270300,91200,0,0,178500,0,
272100,91200,0,0,176700,0,
272100,91200,0,0,176700,0,
271500,91800,0,0,176700,0,
271500,91800,0,0,176700,0,
271500,102600,0,0,165900,0,
266700,102600,0,0,170700,0,
276300,102600,0,0,161100,0,
283500,102600,0,0,153900,0,
282900,103200,0,0,153900,0,
271500,115200,0,0,153300,0,
271500,115200,0,0,153300,0,
271500,115200,0,0,153300,0,
266700,115200,0,0,158100,0,
272100,115200,0,0,152700,0,
267900,119400,0,0,152700,0,
267900,116400,0,0,155700,0,
264300,116400,0,0,159300,0,
264300,116400,0,0,159300,0,
258300,110400,0,0,171300,0,
258300,110400,0,0,171300,0,
258900,109800,0,0,171300,0,
258900,105000,0,0,176100,0,
257100,105000,0,0,177900,0,
257100,103800,0,0,179100,0,
266100,103800,0,0,170100,0,
266100,103800,0,0,170100,0,
265500,104400,0,0,170100,0,
266700,103800,0,0,169500,0,
266700,103800,0,0,169500,0,
266700,96600,0,0,176700,0,
264900,96600,0,0,178500,0,
264900,103800,0,0,171300,0,
250800,117900,0,0,171300,0,
250800,117900,0,0,171300,0,
250800,117900,0,0,171300,0,
250800,115500,0,0,173700,0,
244200,115500,0,0,180300,0,
244200,115500,0,0,180300,0,
243600,116100,0,0,180300,0,
243600,118500,0,0,177900,0,
238200,113100,0,0,188700,0,
241800,109500,0,0,188700,0,
238800,109500,0,0,191700,0,
238800,109500,0,0,191700,0,
238200,108900,0,0,192900,0,
238200,120300,0,0,181500,0,
240900,117600,0,0,181500,0,
240900,117600,0,0,181500,0,
240300,117600,0,0,182100,0,
240300,117600,0,0,182100,0,
249600,108300,0,0,182100,0,
249600,108900,0,0,181500,0,
249600,108900,0,0,181500,0,
249600,108900,0,0,181500,0,
249000,108900,0,0,182100,0,
250800,107100,0,0,182100,0,
251400,106500,0,0,182100,0,
241500,123600,0,0,174900,0,
241500,123600,0,0,174900,0,
241500,123600,0,0,174900,0,
240900,123600,0,0,175500,0,
246300,118200,0,0,175500,0,
245700,118800,0,0,175500,0,
245700,118200,0,0,176100,0,
245700,118200,0,0,176100,0,
245700,118200,0,0,176100,0,
241500,118200,0,0,180300,0,
239700,120000,0,0,180300,0,
239100,120600,0,0,180300,0,
239100,120600,0,0,180300,0,
239100,120600,0,0,180300,0,
235500,124200,0,0,180300,0,
236100,124200,0,0,179700,0,
246000,124200,0,0,169800,0,
246600,123600,0,0,169800,0,
246600,133200,0,0,160200,0,
266400,113400,0,0,160200,0,
274800,113400,0,0,151800,0,
270600,118200,0,0,151200,0,
277800,116400,0,0,145800,0,
278400,115800,0,0,145800,0,
272400,115200,0,0,152400,0,
272400,115200,0,0,152400,0,
272400,115200,0,0,152400,0,
268200,115200,0,0,156600,0,
268200,115200,0,0,156600,0,
267600,115800,0,0,156600,0,
267600,116400,0,0,156000,0,
267600,116400,0,0,156000,0,
267600,116400,0,0,156000,0,
264600,116400,0,0,159000,0,
274500,106500,0,0,159000,0,
276900,104100,0,0,159000,0,
276300,105300,0,0,158400,0,
279900,101700,0,0,158400,0,
279900,101700,0,0,158400,0,
280500,101700,0,0,157800,0,
280500,101700,0,0,157800,0,
279900,101100,0,0,159000,0,
272400,109200,0,0,158400,0,
272400,109200,0,0,158400,0,
276000,105600,0,0,158400,0,
276600,105600,0,0,157800,0,
276600,105600,0,0,157800,0,
277200,105000,0,0,157800,0,
278400,104400,0,0,157200,0,
278400,104400,0,0,157200,0,
277200,104400,0,0,158400,0,
277800,104400,0,0,157800,0,
277800,104400,0,0,157800,0,
277200,105000,0,0,157800,0,
277200,104400,0,0,158400,0,
277200,102000,0,0,160800,0,
275400,102000,0,0,162600,0,
264300,102000,0,0,173700,0,
266100,100200,0,0,173700,0,
258300,108000,0,0,173700,0,
258300,102000,0,0,179700,0,
258300,102000,0,0,179700,0,
258300,103200,0,0,178500,0,
257700,103200,0,0,179100,0,
257700,103200,0,0,179100,0,
248100,112800,0,0,179100,0,
252900,108600,0,0,178500,0,
252900,112200,0,0,174900,0,
252900,112200,0,0,174900,0,
253500,112200,0,0,174300,0,
253500,112200,0,0,174300,0,
252900,113400,0,0,173700,0,
252900,119400,0,0,167700,0,
252900,119400,0,0,167700,0,
252900,119400,0,0,167700,0,
254100,118800,0,0,167100,0,
254100,118800,0,0,167100,0,
253500,120000,0,0,166500,0,
253500,114600,0,0,171900,0,
253500,129000,0,0,157500,0,
253500,129000,0,0,157500,0,
252900,129000,0,0,158100,0,
252900,127800,0,0,159300,0,
255300,125400,0,0,159300,0,
248700,124800,0,0,166500,0,
248700,124800,0,0,166500,0,
248700,120600,0,0,
