EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP,
90000,90000,90000,90000,90000,90000,
90600,89400,90000,90000,90000,90000,
90600,2400,177000,90000,90000,90000,
90600,2400,177600,89400,90000,90000,
90600,2400,177600,90000,89400,90000,
90600,2400,177000,87600,93000,89400,
91200,2400,177600,87600,92400,88800,
90600,3000,177600,87600,92400,88800,
90600,2400,178200,87600,92400,88800,
90600,2400,168600,78000,92400,108000,
90600,2400,168600,85800,84600,108000,
90600,2400,168600,97800,84000,96600,
99600,2400,168000,97800,83400,88800,
97200,4800,168000,97800,83400,88800,
97200,7200,165600,97800,83400,88800,
97200,7200,171600,91800,83400,88800,
97200,7200,171600,91200,84000,88800,
97200,7200,171600,79800,72600,111600,
109200,7200,171600,79800,72000,100200,
108600,6600,171600,79800,72000,101400,
108600,0,178200,79800,72000,101400,
108000,0,174000,75600,72000,110400,
108000,0,174000,72300,75300,110400,
108000,0,180600,72300,69300,109800,
107400,0,180600,72300,69300,110400,
113400,0,174600,72300,69300,110400,
113400,0,174600,72300,69300,110400,
113400,0,174000,72900,69300,110400,
113400,0,186000,61500,68700,110400,
113400,0,186000,61500,68100,111000,
132600,0,176400,61500,68100,101400,
133200,0,175800,61500,68100,101400,
133200,0,175800,61500,68100,101400,
133200,0,187200,50100,68100,101400,
133200,0,187200,49500,62100,108000,
133200,0,187200,49500,68100,102000,
132600,0,187200,49500,65700,105000,
132300,0,180000,49500,65700,112500,
125100,0,180000,49500,65700,119700,
125100,0,186000,43500,65700,119700,
125100,0,186000,37500,65100,126300,
125100,0,186000,45900,64500,118500,
125700,0,186000,45900,64500,117900,
130500,0,190800,45900,64500,108300,
135900,0,185400,45900,64500,108300,
135900,0,184800,46500,64500,108300,
135900,0,192000,45900,63900,102300,
135900,0,191400,45300,56100,111300,
131700,0,191400,45300,56100,115500,
131100,0,190800,45300,57300,115500,
131100,0,190800,45300,57300,115500,
132300,0,190200,44700,57300,115500,
132300,0,209400,33300,49500,115500,
132300,0,209400,33300,50100,114900,
136500,0,209400,33300,50100,110700,
135900,0,210000,33300,50100,110700,
135900,0,210000,33300,50100,110700,
135300,0,210600,32700,50100,111300,
135300,0,210000,24900,42300,127500,
135300,0,210000,24900,42900,126900,
134700,0,210000,24900,38700,131700,
