EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
35100,81000,144000,27000,75300,177600,
25500,81000,144000,27000,75300,187200,
23700,83400,144000,27000,75300,186600,
19500,85500,146100,27000,75300,186600,
19500,86700,145500,26400,75300,186600,
19500,86700,145500,25800,75900,186600,
19500,86700,146700,25800,75300,186000,
25500,86700,146700,25800,75300,180000,
21900,90300,146700,25800,75300,180000,
21900,94500,142500,25800,75300,180000,
21900,94500,141900,26400,75300,180000,
21900,94500,141900,32400,69300,180000,
21900,94500,141900,37200,68700,175800,
21300,85500,141900,37200,68100,186000,
28500,81900,138300,37200,68100,186000,
28500,81900,138300,37200,68100,186000,
28500,81900,138300,37200,68100,186000,
28500,81900,138300,36600,62100,192600,
28500,81900,138300,41400,59700,190200,
17100,70500,138300,41400,59100,213600,
18300,69900,138300,41400,59100,213000,
18300,77700,136500,41400,53700,212400,
18300,77100,135900,42600,53700,212400,
14700,77100,135900,42000,57900,212400,
14700,83100,135900,42000,57300,207000,
10500,82500,141900,41400,57300,206400,
9900,81900,141900,41400,57300,207600,
9900,89700,137100,41400,57300,204600,
9900,89700,134700,43800,57300,204600,
2100,89700,143700,43200,56700,204600,
6300,89700,143700,43200,54600,202500,
7500,89700,143100,43200,54600,201900,
6900,105900,135300,43200,46800,201900,
3900,109500,134700,43200,46800,201900,
3900,109500,126900,42600,46800,210300,
3900,111900,126900,42000,45000,210300,
3900,111900,126900,45900,44700,206700,
3300,111900,126900,45900,44700,207300,
0,116400,126300,45900,44700,206700,
0,106800,135900,45900,44700,206700,
0,99000,135300,54900,44700,206100,
0,99000,123900,66900,44100,206100,
0,99000,123300,66900,43500,207300,
0,108600,123300,66900,43500,197700,
0,108600,123300,66900,43500,197700,
0,108000,119100,66900,43500,202500,
0,112200,115500,66300,43500,202500,
0,112200,115500,75600,34200,202500,
0,115200,115500,75000,33600,200700,
0,107700,115500,75000,33600,208200,
0,107700,115500,75000,34800,207000,
0,107100,114900,75000,34800,208200,
0,107100,119100,70800,34800,208200,
0,107100,119100,63900,41700,208200,
0,107100,114900,63900,46500,207600,
0,106500,114900,63900,46500,208200,
0,106500,114900,63900,46500,208200,
0,102300,119100,63900,46500,208200,
0,102300,107700,75900,45900,208200,
0,102300,110700,75300,43500,208200,
0,102300,110100,75300,44700,207600,
0,101700,110100,75300,45900,207000,
0,101700,110100,75300,45900,207000,
0,101100,110700,75300,45900,207000,
0,101100,111300,74700,45900,207000,
0,101100,111300,80100,40500,207000,
0,111900,101700,80100,39900,206400,
0,107700,101700,80100,39900,210600,
0,113100,96300,80100,39900,210600,
0,112500,95700,80100,39900,211800,
0,112500,95100,86700,39900,205800,
0,112500,95100,87300,39300,205800,
0,112500,95100,77700,38700,216000,
0,111900,95100,77700,38700,216600,
0,111900,95100,72300,44100,216600,
0,99000,108000,72300,44100,216600,
0,99000,114600,71700,38100,216600,
0,99000,114600,78900,30900,216600,
0,101400,114000,78300,30300,216000,
0,107400,114000,78300,30300,210000,
0,107400,114000,78300,30300,210000,
0,102000,119400,78300,30300,210000,
0,102000,113400,84300,30300,210000,
0,102000,113400,83700,29700,211200,
0,102000,112800,83700,34500,207000,
0,101400,114000,83700,34500,206400,
0,101400,114000,83700,34500,206400,
0,95400,120000,83700,34500,206400,
0,95400,119400,84900,34500,205800,
0,92400,119400,80700,41700,205800,
0,92400,109800,80700,41100,216000,
0,91800,109800,80700,47100,210600,
0,91800,109800,80700,47100,210600,
0,91200,109200,80700,47100,211800,
0,102000,108600,78300,39300,211800,
0,102000,99000,89100,38700,211200,
0,102000,99000,89100,30900,219000,
0,102000,99000,89100,30900,219000,
0,98400,99000,89100,38100,215400,
0,85500,111900,89100,38100,215400,
0,74100,100500,111900,38100,215400,
0,68100,94500,124500,37500,215400,
0,68100,94500,124500,36900,216000,
0,68700,94500,124500,36900,215400,
0,68700,94500,124500,36900,215400,
0,78900,93900,124500,36900,205800,
0,78300,93300,123900,38700,205800,
0,77700,95100,123300,38100,205800,
0,77700,95100,123300,37500,206400,
0,77100,95100,123300,37500,207000,
0,80700,91500,123300,37500,207000,
0,80100,90900,123300,38700,207000,
0,74700,90300,129300,38700,207000,
0,93900,90300,121500,27300,207000,
0,93900,84900,121500,33300,206400,
0,98700,84900,121500,29100,205800,
0,98700,84900,121500,29100,205800,
0,90900,100500,121500,29100,198000,
0,90900,102900,119100,29100,198000,
0,90900,102900,116700,31500,198000,
0,90900,102900,116700,23700,205800,
0,88500,102900,116700,19500,212400,
0,93900,97500,116700,19500,212400,
0,86100,96900,125100,19500,212400,
0,89100,96300,124500,17700,212400,
0,89100,101100,123900,13500,212400,
0,89100,101100,123900,14100,211800,
0,78000,101100,123900,14100,222900,
0,71400,101100,123900,14100,229500,
0,70800,101700,123900,14100,229500,
0,70800,102300,123300,14100,229500,
0,70800,102300,115500,4500,246900,
0,70800,96300,115500,3900,253500,
0,68400,96300,115500,0,259800,
0,68400,96300,115500,0,259800,
0,78000,86700,115500,0,259800,
0,78000,86100,116100,0,259800,
0,78000,86100,110100,0,265800,
0,74400,86100,110100,0,269400,
0,72000,86100,110100,0,271800,
0,72000,86100,110100,0,271800,
0,72600,85500,110100,0,271800,
0,72600,79500,116100,0,271800,
0,72600,79500,116700,0,271200,
0,72600,79500,107700,0,280200,
0,80400,79500,107100,0,273000,
0,80400,79500,107100,0,273000,
0,79800,78900,107100,0,274200,
0,79800,78300,107700,0,274200,
0,79800,78300,107100,0,274800,
0,83400,78300,107100,0,271200,
0,82800,68700,97500,0,291000,
0,82800,68700,97500,0,291000,
0,83400,68100,97500,0,291000,
0,83400,67500,98100,0,291000,
0,83400,67800,98400,0,290400,
0,83400,66000,85800,0,304800,
0,82800,66000,87000,0,304200,
0,82800,66000,87000,0,304200,
0,82200,66600,87000,0,304200,
0,82200,67200,86400,0,304200,
0,94200,67200,80400,0,298200,
0,96000,65400,80400,0,298200,
0,95400,65400,78000,0,301200,
0,99600,65400,78000,0,297000,
0,99000,66000,78000,0,297000,
0,99000,72000,72000,0,297000,
0,99000,72000,71400,0,297600,
0,91800,79200,71400,0,297600,
0,93600,79200,71400,0,295800,
0,93600,79200,71400,0,295800,
0,94200,78600,71400,0,295800,
0,95400,78000,70800,0,295800,
0,96600,78000,70200,0,295200,
0,96600,78000,82800,0,282600,
0,93000,70800,82800,0,293400,
0,93000,70800,82800,0,293400,
0,98400,65400,82800,0,293400,
0,98400,66000,82200,0,293400,
0,105000,66000,76200,0,292800,
0,105000,66000,76200,0,292800,
0,104400,66000,76200,0,293400,
0,95400,85800,76200,0,282600,
0,96000,85200,76200,0,282600,
0,96000,84600,76800,0,282600,
0,108000,84600,70800,0,276600,
0,108000,84600,70800,0,276600,
0,112800,80400,70800,0,276000,
0,112800,80400,70800,0,276000,
0,115800,77400,70800,0,276000,
0,115800,83400,64800,0,276000,
0,115800,83400,64800,0,276000,
0,115800,83400,64800,0,276000,
0,106800,83400,75600,0,274200,
0,110400,83400,75600,0,270600,
0,109800,84000,75600,0,270600,
0,100200,94800,75000,0,270000,
0,100200,94800,81000,0,264000,
0,102000,94800,81000,0,262200,
0,101400,94800,84000,0,259800,
0,105600,90600,84000,0,259800,
0,94200,102000,84000,0,259800,
0,94200,101400,84600,0,259800,
0,94200,101400,84000,0,260400,
0,96000,101400,84000,0,258600,
0,95400,108600,83400,0,252600,
0,95400,112200,83400,0,249000,
0,96000,111600,83400,0,249000,
0,95400,111000,84600,0,249000,
0,94800,111000,85800,0,248400,
0,94800,111000,84000,0,250200,
0,91200,100200,112800,0,235800,
0,97800,100200,112800,0,229200,
0,98400,99600,112800,0,229200,
0,98400,99000,108600,0,234000,
0,98400,99000,109200,0,233400,
0,98400,99000,109200,0,233400,
0,97800,94800,108600,0,238800,
0,97800,94800,108600,0,238800,
0,103800,88800,108600,0,238800,
0,101400,91800,108000,0,238800,
0,95400,91800,114600,0,238200,
0,95400,91800,114600,0,238200,
0,96000,91800,114600,0,237600,
0,96000,91800,114600,0,237600,
0,95400,92400,114600,0,237600,
0,95400,93000,114000,0,237600,
0,95400,108600,108000,0,228000,
0,100800,108600,108000,0,222600,
0,105000,108600,108000,0,218400,
0,105000,103200,102600,0,229200,
0,111000,97200,102600,0,229200,
0,111000,96600,103200,0,229200,
0,111000,96600,100800,0,231600,
0,109800,97800,100800,0,231600,
0,115800,97800,100800,0,225600,
0,115800,96000,100800,0,227400,
