EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
0,47400,149300,53000,0,290300,
0,47400,145100,57800,0,289700,
0,40200,145100,57800,0,296900,
0,40800,145100,57800,0,296300,
0,40800,145100,57800,0,296300,
0,45000,140900,57800,0,296300,
0,37200,140300,55400,0,307100,
0,37200,140300,56000,0,306500,
0,37200,140300,57800,0,304700,
0,25800,140300,57800,0,316100,
0,22200,143900,57800,0,316100,
0,31200,134900,57800,0,316100,
0,19800,146900,57200,0,316100,
0,19800,146900,68600,0,304700,
0,19800,146900,68600,0,304700,
0,19200,146900,59000,0,314900,
0,19200,137900,59000,0,323900,
0,19800,137300,59000,0,323900,
0,19800,137900,58400,0,323900,
0,19800,137300,57800,0,325100,
0,19800,137300,57800,0,325100,
0,19200,137300,57200,0,326300,
0,22800,133700,57200,0,326300,
0,25800,130700,57200,0,326300,
0,25800,131300,56600,0,326300,
0,28800,131300,56000,0,323900,
0,28800,131300,56000,0,323900,
0,35700,131300,56000,0,317000,
0,35700,131300,56000,0,317000,
0,36300,130700,56000,0,317000,
0,36300,117500,69200,0,317000,
0,36300,117500,75200,0,311000,
0,36300,117500,75200,0,311000,
0,33900,117500,75200,0,313400,
0,33900,117500,77000,0,311600,
0,33300,118100,77000,0,311600,
0,34500,117500,76400,0,311600,
0,34500,117500,75800,0,312200,
0,34500,115700,79400,0,310400,
0,23100,115700,79400,0,321800,
0,27900,115700,79400,0,317000,
0,16500,127100,79400,0,317000,
0,16500,127700,78800,0,317000,
0,16500,127700,74600,0,321200,
0,16500,127700,74600,0,321200,
0,16500,127700,74600,0,321200,
0,16500,127700,74600,0,321200,
0,15900,128300,74600,0,321200,
0,15300,140900,74000,0,309800,
0,15300,140900,78200,0,305600,
0,15300,146300,78200,0,300200,
0,23100,145700,74000,0,297200,
0,23100,145700,74000,0,297200,
0,23700,145100,74000,0,297200,
0,23700,144500,74600,0,297200,
0,23700,144500,86000,0,285800,
0,23700,144500,91400,0,280400,
0,23100,144500,92600,0,279800,
0,23100,144500,92600,0,279800,
0,22500,143900,93800,0,279800,
0,22500,143300,91400,0,282800,
0,22500,143300,91400,0,282800,
0,20700,143300,100400,0,275600,
0,20100,143300,100400,0,276200,
0,20100,143300,100400,0,276200,
0,19500,151700,100400,0,268400,
0,19500,161300,90800,0,268400,
0,19500,161300,91400,0,267800,
0,19500,163100,89600,0,267800,
0,18900,163100,85400,0,272600,
0,18900,163100,85400,0,272600,
0,9300,182300,85400,0,263000,
0,9300,182900,84800,0,263000,
0,9300,182900,85400,0,262400,
0,9300,182900,85400,0,262400,
0,9900,182900,85400,0,261800,
0,9900,182900,85400,0,261800,
0,300,182300,85400,0,272000,
0,1200,182000,84800,0,272000,
0,1200,182000,85400,0,271400,
0,1200,182000,85400,0,271400,
0,600,182000,85700,0,271700,
0,600,182000,85700,0,271700,
0,0,181400,85700,0,272900,
0,0,177200,89900,0,272900,
0,0,177200,89300,0,273500,
0,0,166400,89300,0,284300,
0,0,170600,89300,0,280100,
0,0,170600,89300,0,280100,
0,0,170600,89300,0,280100,
0,0,171200,88700,0,280100,
0,0,171200,86300,0,282500,
0,0,171200,86300,0,282500,
0,0,173300,82100,0,284600,
0,0,173300,82100,0,284600,
0,0,173300,82100,0,284600,
0,0,173300,82100,0,284600,
0,0,173300,82700,0,284000,
0,0,180500,75500,0,284000,
0,0,181700,74900,0,283400,
0,0,187100,74900,0,278000,
0,0,187100,78500,0,274400,
0,0,189500,76100,0,274400,
0,0,189500,80300,0,270200,
0,0,189500,80300,0,270200,
0,0,188900,74300,0,276800,
0,0,196100,67100,0,276800,
0,0,196100,67100,0,276800,
0,0,195500,67700,0,276800,
0,0,195500,68300,0,276200,
0,0,191900,71900,0,276200,
0,0,192500,71900,0,275600,
0,0,192500,73700,0,273800,
0,0,190700,73700,0,275600,
0,0,190100,74300,0,275600,
0,0,190100,76700,0,273200,
0,0,190100,85700,0,264200,
0,0,180500,85700,0,273800,
0,0,180500,85700,0,273800,
0,0,180500,85700,0,273800,
0,0,179900,86300,0,273800,
0,0,172100,78500,0,289400,
0,0,172100,78500,0,289400,
0,0,169700,78500,0,291800,
0,0,173300,78500,0,288200,
0,0,178700,78500,0,282800,
0,0,174500,82700,0,282800,
0,0,174500,83300,0,282200,
0,0,169100,83300,0,287600,
0,0,170300,82700,0,287000,
0,0,170300,82700,0,287000,
0,0,177500,82700,0,279800,
0,0,177500,82700,0,279800,
0,0,177500,83300,0,279200,
0,0,177500,83300,0,279200,
0,0,188900,83300,0,267800,
0,0,187100,85100,0,267800,
0,0,187100,81500,0,271400,
0,0,179300,89900,0,270800,
0,0,179300,89300,0,271400,
0,0,179300,89300,0,271400,
0,0,179900,89300,0,270800,
0,0,179900,94700,0,265400,
0,0,179900,94700,0,265400,
0,0,182300,92300,0,265400,
0,0,182300,91700,0,266000,
0,0,193100,80900,0,266000,
0,0,192500,80900,0,266600,
0,0,192500,80900,0,266600,
0,0,187100,86300,0,266600,
0,0,186500,86900,0,266600,
0,0,186500,86300,0,267200,
0,0,186500,86300,0,267200,
0,0,187100,86300,0,266600,
0,0,187100,86300,0,266600,
0,0,192500,86300,0,261200,
0,0,193100,85700,0,261200,
0,0,193100,85100,0,261800,
0,0,187700,79700,0,272600,
0,0,185300,82700,0,272000,
0,0,185300,82700,0,272000,
0,0,185300,82700,0,272000,
0,0,186500,82100,0,271400,
0,0,186500,81500,0,272000,
0,0,186500,81500,0,272000,
0,0,187700,80900,0,271400,
0,0,187700,80900,0,271400,
0,0,193100,80900,0,266000,
0,0,188900,85100,0,266000,
0,0,188900,85700,0,265400,
0,0,188900,85700,0,265400,
0,0,188300,74300,0,277400,
0,0,188300,74300,0,277400,
0,0,188300,74300,0,277400,
0,0,187700,74900,0,277400,
0,0,187700,82400,0,269900,
0,0,187700,82400,0,269900,
0,0,197300,82400,0,260300,
0,0,195500,82400,0,262100,
0,0,191900,82400,0,265700,
0,0,191300,83000,0,265700,
0,0,191300,89000,0,259700,
0,0,191300,89000,0,259700,
0,0,191900,89000,0,259100,
0,0,191900,78200,0,269900,
0,0,191900,78200,0,269900,
0,0,192500,77600,0,269900,
0,0,192500,77000,0,270500,
0,0,192500,77000,0,270500,
0,0,191900,77000,0,271100,
0,0,191900,86000,0,262100,
0,0,191900,86000,0,262100,
0,0,191900,86000,0,262100,
0,0,191900,76400,0,271700,
0,0,191900,76400,0,271700,
0,0,191300,76400,0,272300,
0,0,184100,85400,0,270500,
0,0,178700,96200,0,265100,
0,0,178100,96800,0,265100,
0,0,178100,99200,0,262700,
0,0,170900,106400,0,262700,
0,0,172100,105800,0,262100,
0,0,172100,105800,0,262100,
0,0,170300,105800,0,263900,
0,0,167900,108800,0,263300,
0,0,167900,109400,0,262700,
0,0,167900,109400,0,262700,
0,0,160100,109400,0,270500,
0,0,170900,98600,0,270500,
0,0,170900,98600,0,270500,
0,0,166700,103400,0,269900,
0,0,166700,97400,0,275900,
0,0,166700,106400,0,266900,
0,0,166700,106400,0,266900,
0,0,163100,106400,0,270500,
0,0,163100,106400,0,270500,
0,0,157100,112400,0,270500,
0,0,157100,113000,0,269900,
0,0,151700,113000,0,275300,
0,0,151100,113000,0,275900,
0,0,151100,113000,0,275900,
0,0,151100,113000,0,275900,
0,0,163100,112400,0,264500,
0,0,163100,111800,0,265100,
0,0,163100,113600,0,263300,
0,0,162500,113600,0,263900,
0,0,169700,113600,0,256700,
0,0,169700,113600,0,256700,
0,0,165500,117800,0,256700,
0,0,163100,115400,0,261500,
0,0,163100,108200,0,268700,
0,0,163700,108200,0,268100,
0,0,163700,108200,0,268100,
0,0,158300,108200,0,273500,
0,0,157700,108800,0,273500,
0,0,157700,104600,0,277700,
0,0,152300,113600,0,274100,
0,0,148100,113600,0,278300,
0,0,146300,115400,0,278300,
0,0,146300,115400,0,278300,
0,0,146900,114800,0,278300,
0,0,135500,137600,0,266900,
0,0,135500,137600,0,266900,
0,0,141500,137600,0,260900,
0,0,141500,137600,0,260900,
0,0,141500,141200,0,257300,
0,0,148100,140600,0,251300,
0,0,158300,140000,0,241700,
0,0,158300,140000,0,241700,
0,0,158900,140000,0,241100,
0,0,158900,143600,0,237500,
0,0,158900,143600,0,237500,
0,0,158300,144200,0,237500,
0,0,166700,143600,0,229700,
0,0,166700,143600,0,229700,
0,0,174500,143600,0,221900,
0,0,174500,143600,0,221900,
0,0,174500,143600,0,221900,
0,0,175700,143000,0,221300,
0,0,180500,138800,0,220700,
0,0,180500,138800,0,220700,
0,0,179900,138800,0,221300,
0,0,179900,138800,0,221300,
0,0,179900,138800,0,221300,
0,0,180500,138200,0,221300,
0,0,180500,137600,0,221900,
0,0,180500,137600,0,221900,
0,0,181100,137600,0,221300,
0,0,181100,137600,0,221300,
0,0,181100,137600,0,221300,
0,0,181700,137000,0,221300,
0,0,182900,136400,0,220700,
0,0,182900,136400,0,220700,
0,0,168200,136400,0,235400,
0,0,157400,158000,0,224600,
0,0,157400,161600,0,221000,
0,0,156800,162200,0,221000,
0,0,156200,161600,0,222200,
0,0,156200,161600,0,222200,
0,0,152000,161600,0,226400,
0,0,152000,161600,0,226400,
0,0,152000,161600,0,226400,
0,0,156200,157400,0,226400,
0,0,148400,165800,0,225800,
0,0,155600,165800,0,218600,
0,0,149600,179600,0,210800,
0,0,149600,179600,0,210800,
0,0,149600,179600,0,210800,
0,0,143600,179000,0,217400,
0,0,143600,188600,0,207800,
0,0,140000,188600,0,211400,
0,0,139400,188600,0,212000,
0,0,139400,188600,0,212000,
0,0,141200,188600,0,210200,
0,0,141800,188000,0,210200,
0,0,141800,187400,0,210800,
0,0,141800,187400,0,210800,
0,0,141200,187400,0,211400,
0,0,141200,187400,0,211400,
0,0,141200,187400,0,211400,
0,0,141800,186800,0,211400,
0,0,141800,187400,0,210800,
0,0,145400,183800,0,210800,
0,0,139400,183800,0,216800,
0,0,130400,183800,0,225800,
0,0,130400,191000,0,218600,
0,0,131000,190400,0,218600,
0,0,131000,191000,0,218000,
0,0,131000,191000,0,218000,
0,0,131600,191000,0,217400,
0,0,131600,191000,0,217400,
0,0,126200,196400,0,217400,
0,0,132200,190400,0,217400,
0,0,132200,198200,0,209600,
0,0,132200,198200,0,209600,
0,0,140000,198200,0,201800,
0,0,140000,198200,0,201800,
0,0,140000,198200,0,201800,
0,0,144200,194000,0,201800,
0,0,143600,193400,0,203000,
0,0,143600,193400,0,203000,
0,0,151400,193400,0,195200,
0,0,151400,193400,0,195200,
0,0,151400,193400,0,195200,
0,0,152000,192800,0,195200,
0,0,152000,192800,0,195200,
0,0,152000,192800,0,195200,
0,0,146000,192800,0,201200,
0,0,142400,192800,0,204800,
0,0,142400,191000,0,206600,
0,0,136400,203000,0,200600,
0,0,136400,203600,0,200000,
0,0,136400,203600,0,200000,
0,0,135800,203600,0,200600,
0,0,135800,205400,0,198800,
0,0,135800,205400,0,198800,
0,0,140000,201200,0,198800,
0,0,150200,191600,0,198200,
0,0,150200,191600,0,198200,
0,0,150800,191600,0,197600,
0,0,150800,191600,0,197600,
0,0,150800,191600,0,197600,
0,0,150200,192200,0,197600,
0,0,150200,180800,0,209000,
0,0,161000,180800,0,198200,
0,0,167000,180800,0,192200,
0,0,167000,180800,0,192200,
0,0,167000,180800,0,192200,
0,0,164600,183200,0,192200,
0,0,164600,185600,0,189800,
0,0,166400,185600,0,188000,
0,0,156800,185600,0,197600,
0,0,156800,185600,0,197600,
0,0,155000,191000,0,194000,
0,0,154400,191600,0,194000,
0,0,154400,191000,0,194600,
0,0,154400,201800,0,183800,
0,0,153800,201800,0,184400,
0,0,153800,201800,0,184400,
0,0,148400,201800,0,189800,
0,0,152600,197600,0,189800,
0,0,152600,197600,0,189800,
0,0,143600,197600,0,198800,
0,0,143000,197600,0,199400,
0,0,143000,197600,0,199400,
0,0,139400,201200,0,199400,
0,0,138800,201800,0,199400,
0,0,138800,202400,0,198800,
0,0,138800,202400,0,198800,
0,0,129200,212600,0,198200,
0,0,122000,212600,0,205400,
0,0,122000,212600,0,205400,
0,0,131600,203000,0,205400,
0,0,131600,197000,0,211400,
0,0,131600,197000,0,211400,
0,0,127400,197000,0,215600,
0,0,127400,197000,0,215600,
0,0,127400,197000,0,215600,
0,0,125000,199400,0,215600,
0,0,125000,198800,0,216200,
0,0,125000,198800,0,216200,
0,0,125600,198800,0,215600,
0,0,122000,198800,0,219200,
0,0,122000,198800,0,219200,
0,0,122600,198200,0,219200,
0,0,122600,192200,0,225200,
0,0,122600,192200,0,225200,
0,0,122000,192500,0,225500,
0,0,125600,192500,0,221900,
0,0,134600,192500,0,212900,
0,0,135200,191900,0,212900,
0,0,135200,191300,0,213500,
0,0,135200,191300,0,213500,
0,0,134600,191300,0,214100,
0,0,134600,191300,0,214100,
0,0,134600,191300,0,214100,
0,0,146000,179900,0,214100,
0,0,147200,179300,0,213500,
0,0,158000,179300,0,202700,
0,0,158600,179300,0,202100,
0,0,158600,179300,0,202100,
0,0,158600,179300,0,202100,
0,0,159800,178700,0,201500,
0,0,159800,174500,0,205700,
0,0,159800,174500,0,205700,
0,0,159800,174500,0,205700,
0,0,159800,174500,0,205700,
0,0,159800,181700,0,198500,
0,0,159200,181100,0,199700,
0,0,151400,189500,0,199100,
0,0,151400,189500,0,199100,
0,0,157400,189500,0,193100,
0,0,155600,189500,0,194900,
0,0,155600,189500,0,194900,
0,0,159800,185300,0,194900,
0,0,161900,181100,0,197000,
0,0,161900,181100,0,197000,
0,0,161300,181100,0,197600,
0,0,172100,170300,0,197600,
0,0,170300,172100,0,197600,
0,0,169700,172700,0,197600,
0,0,169100,163100,0,207800,
0,0,169100,164900,0,206000,
0,0,168500,171500,0,200000,
0,0,168500,171500,0,200000,
0,0,168500,171500,0,200000,
0,0,166100,173900,0,200000,
0,0,166100,174500,0,199400,
0,0,178700,161900,0,199400,
0,0,174500,157700,0,207800,
0,0,178100,157700,0,204200,
0,0,178100,157700,0,204200,
0,0,177500,146300,0,216200,
0,0,177500,145700,0,216800,
0,0,177500,145700,0,216800,
0,0,173900,149600,0,216500,
0,0,170300,149600,0,220100,
0,0,168500,149600,0,221900,
0,0,167900,150200,0,221900,
0,0,167900,149600,0,222500,
0,0,167900,149600,0,222500,
0,0,170300,149600,0,220100,
0,0,170300,149600,0,220100,
0,0,173900,149600,0,216500,
0,0,173300,150200,0,216500,
0,0,173300,140900,0,225800,
0,0,160700,128300,0,251000,
0,0,166700,128300,0,245000,
0,0,166700,128300,0,245000,
0,0,166700,128300,0,245000,
0,0,166100,129500,0,244400,
0,0,166100,130100,0,243800,
0,0,166100,130100,0,243800,
0,0,165500,120500,0,254000,
0,0,165500,120500,0,254000,
0,0,165500,116900,0,257600,
0,0,155900,126500,0,257600,
0,0,155900,125900,0,258200,
0,0,154100,125900,0,260000,
0,0,146300,116300,0,277400,
0,0,140900,116300,0,282800,
0,0,140900,116300,0,282800,
0,0,148700,108500,0,282800,
0,0,148700,109100,0,282200,
0,0,148700,109100,0,282200,
0,0,149300,109100,0,281600,
0,0,149300,109100,0,281600,
0,0,149300,109100,0,281600,
0,0,148700,115700,0,275600,
0,0,148700,115100,0,276200,
0,0,148700,115100,0,276200,
0,0,149300,115100,0,275600,
0,0,145700,120500,0,273800,
0,0,145700,120500,0,273800,
0,0,146300,119900,0,273800,
0,0,146300,129200,0,264500,
0,0,146300,129200,0,264500,
0,0,152900,126800,0,260300,
0,0,151100,126800,0,262100,
0,0,151100,126800,0,262100,
0,0,151700,126200,0,262100,
0,0,151100,127400,0,261500,
0,0,151100,122000,0,266900,
0,0,146900,122000,0,271100,
0,0,146900,120200,0,272900,
0,0,146900,120200,0,272900,
0,0,146300,120800,0,272900,
0,0,146300,120200,0,273500,
0,0,146300,120200,0,273500,
0,0,145700,130400,0,263900,
0,0,145700,130400,0,263900,
0,0,145700,130400,0,263900,
0,0,145100,131000,0,263900,
0,0,146300,130400,0,263300,
0,0,146300,123200,0,270500,
0,0,140300,123200,0,276500,
0,0,140300,123200,0,276500,
0,0,140300,123200,0,276500,
0,0,145100,122600,0,272300,
0,0,153500,114800,0,271700,
0,0,153500,114800,0,271700,
0,0,159500,114800,0,265700,
0,0,173900,107600,0,258500,
0,0,172100,107600,0,260300,
0,0,166100,113600,0,260300,
0,0,166100,123200,0,250700,
0,0,167900,123200,0,248900,
0,0,167300,123200,0,249500,
0,0,167300,123200,0,249500,
0,0,163700,126800,0,249500,
0,0,164300,126200,0,249500,
0,0,164300,130400,0,245300,
0,0,164300,130400,0,245300,
0,0,163700,130400,0,245900,
0,0,163700,130400,0,245900,
0,0,154700,130400,0,254900,
0,0,154100,120800,0,265100,
0,0,163400,120500,0,256100,
0,0,163400,120500,0,256100,
0,0,162800,120500,0,256700,
0,0,162800,120500,0,256700,
0,0,162800,120500,0,256700,
0,0,173000,119900,0,247100,
0,0,173000,119300,0,247700,
0,0,173000,119300,0,247700,
0,0,167000,113300,0,259700,
0,0,167000,113300,0,259700,
0,0,167000,113300,0,259700,
0,0,161000,119900,0,259100,
0,0,162200,119300,0,258500,
0,0,156800,115700,0,267500,
0,0,158000,115100,0,266900,
0,0,158000,115100,0,266900,
0,0,168800,104300,0,266900,
0,0,166400,106700,0,266900,
0,0,166400,112700,0,260900,
0,0,166400,112700,0,260900,
0,0,165800,112700,0,261500,
0,0,165800,112700,0,261500,
0,0,165800,109100,0,265100,
0,0,166400,108500,0,265100,
0,0,166400,109100,0,264500,
0,0,166400,109100,0,264500,
0,0,165800,109100,0,265100,
0,0,165800,109100,0,265100,
0,0,165800,109100,0,265100,
0,0,166400,108500,0,265100,
0,0,167600,107900,0,264500,
0,0,172100,98900,0,269000,
0,0,172700,98900,0,268400,
0,0,174500,98900,0,266600,
0,0,174500,98900,0,266600,
0,0,184100,89300,0,266600,
0,0,184100,89900,0,266000,
0,0,184100,89900,0,266000,
0,0,183500,104900,0,251600,
0,0,188900,104900,0,246200,
0,0,188900,104900,0,246200,
0,0,188300,105500,0,246200,
0,0,188300,104900,0,246800,
0,0,188300,104900,0,246800,
0,0,188900,104900,0,246200,
0,0,188900,104900,0,246200,
0,0,188900,104900,0,246200,
0,0,186500,98900,0,254600,
0,0,186500,91100,0,262400,
0,0,184700,91100,0,264200,
0,0,185300,91100,0,263600,
0,0,185300,91100,0,263600,
0,0,185300,91100,0,263600,
0,0,184700,91700,0,263600,
0,0,184700,91100,0,264200,
0,0,184700,91100,0,264200,
0,0,188900,91100,0,260000,
0,0,181700,98300,0,260000,
0,0,194300,98300,0,247400,
0,0,209900,90500,0,239600,
0,0,205700,82700,0,251600,
0,0,205700,71900,0,262400,
0,0,199700,71900,0,268400,
0,0,201500,71900,0,266600,
0,0,190700,82700,0,266600,
0,0,186500,86900,0,266600,
0,0,185900,82700,0,271400,
0,0,185900,82700,0,271400,
0,0,185300,82700,0,272000,
0,0,183500,82700,0,273800,
0,0,183500,82700,0,273800,
0,0,182900,83300,0,273800,
0,0,182900,83300,0,273800,
0,0,182900,85100,0,272000,
0,0,182300,85100,0,272600,
0,0,182300,85100,0,272600,
0,0,182300,77900,0,279800,
0,0,182900,77300,0,279800,
0,0,184100,76700,0,279200,
0,0,184100,78500,0,277400,
0,0,185300,77900,0,276800,
0,0,185300,77900,0,276800,
0,0,185300,77900,0,276800,
0,0,184700,78500,0,276800,
0,0,184700,88100,0,267200,
0,0,184700,80900,0,274400,
0,0,196700,69500,0,273800,
0,0,196700,69500,0,273800,
0,0,196700,69500,0,273800,
0,0,188900,77300,0,273800,
0,0,188300,71300,0,280400,
0,0,186500,71300,0,282200,
0,0,193100,65300,0,281600,
0,0,200300,59900,0,279800,
0,0,200300,59900,0,279800,
0,0,199700,60500,0,279800,
0,0,199100,63500,0,277400,
0,0,199100,63500,0,277400,
0,0,193100,63500,0,283400,
0,0,193100,63500,0,283400,
0,0,193100,63500,0,283400,
0,0,199100,57500,0,283400,
0,0,199100,56900,0,284000,
0,0,199100,56900,0,284000,
0,0,186200,56900,0,296900,
0,0,186200,56900,0,296900,
0,0,186200,56900,0,296900,
0,0,186800,56300,0,296900,
0,0,186800,56900,0,296300,
0,0,186800,51500,0,301700,
0,0,192800,51500,0,295700,
0,0,192800,51500,0,295700,
0,0,192800,51500,0,295700,
0,0,194000,50900,0,295100,
0,0,186200,62900,0,290900,
0,0,186200,57500,0,296300,
0,0,188600,57500,0,293900,
0,0,188600,57500,0,293900,
0,0,188600,57500,0,293900,
0,0,188600,57500,0,293900,
0,0,188600,58100,0,293300,
0,0,188600,52700,0,298700,
0,0,189200,52700,0,298100,
0,0,191000,52700,0,296300,
0,0,191000,52700,0,296300,
0,0,190400,53000,0,296600,
0,0,190400,50600,0,299000,
0,0,186800,50600,0,302600,
0,0,179000,50600,0,310400,
0,0,179000,50600,0,310400,
0,0,179000,50600,0,310400,
0,0,179600,50000,0,310400,
0,0,179000,49400,0,311600,
0,0,179000,49400,0,311600,
0,0,177200,62000,0,300800,
0,0,177200,62000,0,300800,
0,0,177200,62000,0,300800,
0,0,169400,69800,0,300800,
0,0,169400,65600,0,305000,
0,0,171200,65600,0,303200,
0,0,163400,65000,0,311600,
0,0,159800,68600,0,311600,
0,0,159800,79400,0,300800,
0,0,159200,80000,0,300800,
0,0,158600,84800,0,296600,
0,0,158600,84800,0,296600,
0,0,158000,84800,0,297200,
0,0,168800,84800,0,286400,
0,0,181400,72200,0,286400,
0,0,180800,72800,0,286400,
0,0,180800,63200,0,296000,
0,0,180800,63200,0,296000,
0,0,188600,63200,0,288200,
0,0,195800,56000,0,288200,
0,0,192200,59600,0,288200,
0,0,192800,59000,0,288200,
0,0,192800,53000,0,294200,
0,0,192800,53000,0,294200,
0,0,192200,53000,0,294800,
0,0,188600,49400,0,302000,
0,0,188600,49400,0,302000,
0,0,192800,45200,0,302000,
0,0,194000,44600,0,301400,
0,0,194000,44600,0,301400,
0,0,193400,38600,0,308000,
0,0,193400,38600,0,308000,
0,0,193400,38600,0,308000,
0,0,194000,38000,0,308000,
0,0,194000,38600,0,307400,
0,0,194000,38600,0,307400,
0,0,201800,38600,0,299600,
0,0,201800,38600,0,299600,
0,0,205400,38600,0,296000,
0,0,205400,38600,0,296000,
0,0,206600,38000,0,295400,
0,0,206600,38000,0,295400,
0,0,207200,38000,0,294800,
0,0,207200,38000,0,294800,
0,0,214400,38000,0,287600,
0,0,215000,37400,0,287600,
0,0,215000,43400,0,281600,
0,0,215000,43400,0,281600,
0,0,214400,43400,0,282200,
0,0,212600,43400,0,284000,
0,0,212600,43400,0,284000,
0,0,220400,35600,0,284000,
0,0,220400,35000,0,284600,
0,0,216800,35000,0,288200,
0,0,214400,38000,0,287600,
0,0,212600,38000,0,289400,
0,0,218000,38000,0,284000,
0,0,210200,45800,0,284000,
0,0,210200,45200,0,284600,
0,0,210200,45200,0,284600,
0,0,210800,45200,0,284000,
0,0,210800,45200,0,284000,
0,0,210800,47000,0,282200,
0,0,210200,46400,0,283400,
0,0,210200,42200,0,287600,
0,0,210200,42200,0,287600,
0,0,209600,43400,0,287000,
0,0,207800,45200,0,287000,
0,0,207800,45200,0,287000,
0,0,205400,47600,0,287000,
0,0,205400,57200,0,277400,
0,0,209000,57200,0,273800,
0,0,221000,56600,0,262400,
0,0,221000,56600,0,262400,
0,0,221000,56600,0,262400,
0,0,220400,57200,0,262400,
0,0,219800,58400,0,261800,
0,0,234200,47600,0,258200,
0,0,238400,47600,0,254000,
0,0,238400,49400,0,252200,
0,0,238400,49400,0,252200,
0,0,248000,39800,0,252200,
0,0,249200,39200,0,251600,
0,0,249200,39200,0,251600,
0,0,248600,40400,0,251000,
0,0,248600,40400,0,251000,
0,0,248600,40400,0,251000,
0,0,246200,42800,0,251000,
0,0,238400,35000,0,266600,
0,0,238400,35000,0,266600,
0,0,239000,35000,0,266000,
0,0,249800,35000,0,255200,
0,0,255200,35000,0,249800,
0,0,255800,34400,0,249800,
0,0,255800,28400,0,255800,
0,0,255800,28400,0,255800,
0,0,246200,28400,0,265400,
0,0,244400,30200,0,265400,
0,0,244400,30200,0,265400,
0,0,243800,30800,0,265400,
0,0,248600,30200,0,261200,
0,0,248600,30200,0,261200,
0,0,248000,30200,0,261800,
0,0,248000,30200,0,261800,
0,0,239000,30200,0,270800,
0,0,236600,32600,0,270800,
0,0,236600,32000,0,271400,
0,0,236600,32000,0,271400,
0,0,232400,32000,0,275600,
0,0,228800,39200,0,272000,
0,0,228800,39200,0,272000,
0,0,228200,39800,0,272000,
0,0,234800,33800,0,271400,
0,0,231200,37400,0,271400,
0,0,227000,37400,0,275600,
0,0,227000,37400,0,275600,
0,0,227000,37400,0,275600,
0,0,226400,38000,0,275600,
0,0,226400,37400,0,276200,
0,0,226400,37400,0,276200,
0,0,224000,37400,0,278600,
0,0,224000,37400,0,278600,
0,0,224000,33800,0,282200,
0,0,235400,22400,0,282200,
0,0,229400,29000,0,281600,
0,0,229400,29000,0,281600,
0,0,239600,24800,0,275600,
0,0,239600,24800,0,275600,
0,0,232400,24800,0,282800,
0,0,226400,30800,0,282800,
0,0,222200,35600,0,282200,
0,0,222200,37400,0,280400,
0,0,223400,36800,0,279800,
0,0,223400,36800,0,279800,
0,0,223400,36800,0,279800,
0,0,213800,46400,0,279800,
0,0,213800,35000,0,291200,
0,0,213800,22400,0,303800,
0,0,208100,22400,0,309500,
0,0,208100,22400,0,309500,
0,0,208100,22400,0,309500,
0,0,203900,26600,0,309500,
0,0,203900,20600,0,315500,
0,0,203900,27800,0,308300,
0,0,204500,27800,0,307700,
0,0,204500,27800,0,307700,
0,0,204500,27800,0,307700,
0,0,205100,27200,0,307700,
0,0,204500,21200,0,314300,
0,0,204500,21200,0,314300,
0,0,205100,21200,0,313700,
0,0,203300,21200,0,315500,
0,0,203300,21200,0,315500,
0,0,212900,11600,0,315500,
0,0,212900,3800,0,323300,
0,0,202100,0,0,337900,
0,0,202700,0,0,337300,
0,0,202700,0,0,337300,
0,0,202700,0,0,337300,
0,0,202100,0,0,337900,
0,0,202100,0,0,337900,
0,0,202100,0,0,337900,
0,0,200000,0,0,340000,
0,0,200000,0,0,340000,
0,0,200000,0,0,340000,
0,0,199400,0,0,340600,
0,0,199400,0,0,340600,
0,0,197600,0,0,342400,
0,0,197000,0,0,343000,
0,0,197000,0,0,343000,
0,0,197000,0,0,343000,
0,0,199400,0,0,340600,
0,0,199400,0,0,340600,
0,0,199400,0,0,340600,
0,0,201800,0,0,338200,
0,0,201800,0,0,338200,
0,0,201800,0,0,338200,
0,0,207800,0,0,332200,
0,0,207800,0,0,332200,
0,0,207800,0,0,332200,
0,0,207200,0,0,332800,
0,0,207200,0,0,332800,
0,0,214400,0,0,325600,
0,0,206600,0,0,333400,
0,0,206600,0,0,333400,
0,0,201200,0,0,338800,
0,0,203600,0,0,336400,
0,0,203600,0,0,336400,
0,0,203600,0,0,336400,
0,0,197600,0,0,342400,
0,0,199400,0,0,340600,
0,0,204800,0,0,335200,
0,0,197000,0,0,343000,
0,0,197000,0,0,343000,
0,0,197000,0,0,343000,
0,0,197600,0,0,342400,
0,0,197600,0,0,342400,
0,0,197600,0,0,342400,
0,0,198200,0,0,341800,
0,0,198200,0,0,341800,
0,0,198200,0,0,341800,
0,0,200600,0,0,339400,
0,0,188000,0,0,352000,
0,0,188000,0,0,352000,
0,0,188600,0,0,351400,
0,0,190400,0,0,349600,
0,0,190400,0,0,349600,
0,0,201800,0,0,338200,
0,0,198200,0,0,341800,
0,0,198200,0,0,341800,
0,0,198800,0,0,341200,
0,0,202400,0,0,337600,
0,0,202400,0,0,337600,
0,0,201800,0,0,338200,
