CALL_MAN,SIMPLE_RANGE_EXP,SIMPLE_RANGE_EXP,EXPECTATION,EXPECTATION
10000,10000,10000,10000,10000
7600,12400,10000,10000,10000
9400,12100,8500,10000,10000
7900,12100,11500,8500,10000
3100,22000,11500,8200,5200
1600,22000,11500,8200,6700
2200,21400,11500,8200,6700
4300,19900,10900,8200,6700
2800,19900,9400,11200,6700
400,17500,9400,9400,13300
400,17800,9400,9400,13000
800,17400,9400,9400,13000
0,22400,5200,9400,13000
0,22400,5800,8800,13000
0,22400,5800,8500,13300
0,22700,5800,8500,13000
0,23300,5200,8500,13000
0,23000,5500,8500,13000
0,23000,5200,8800,13000
0,23000,5200,8500,13300
0,23300,5200,8500,13000
0,24200,4300,8500,13000
0,23900,4600,8500,13000
0,23900,4300,8800,13000
0,23900,4300,9400,12400
0,24200,4300,9400,12100
0,23900,4600,9400,12100
0,23600,4900,9400,12100
0,23600,4600,9700,12100
0,23600,4600,9400,12400
0,23900,4600,9400,12100
0,23600,4900,9400,12100
0,23300,5200,9400,12100
0,23300,4900,9700,12100
0,23300,4900,9400,12400
0,21800,4900,11200,12100
0,21500,5200,11200,12100
0,22100,4600,11200,12100
0,22100,4300,11500,12100
0,22100,4300,10000,13600
0,22400,4300,10000,13300
0,22100,4600,10000,13300
0,21800,4900,10000,13300
0,21800,4600,10300,13300
0,21800,4600,10000,13600
0,24500,4600,7600,13300
0,24200,4900,7600,13300
0,24800,4300,7600,13300
0,24800,4000,7900,13300
0,24800,4000,7600,13600
0,25100,4000,7600,13300
0,25700,3400,7600,13300
0,25400,3700,7600,13300
0,25400,3400,7900,13300
0,25400,3400,7300,13900
0,25700,3400,7300,13600
0,25400,3700,7300,13600
0,26600,2500,7300,13600
0,26600,1000,8800,13600
0,26600,1000,8500,13900
0,26900,1000,8500,13600
0,25900,2000,8500,13600
0,25600,2300,8500,13600
0,25600,2000,8800,13600
0,25600,2000,10000,12400
0,25900,2000,10000,12100
0,25900,2000,10000,12100
0,25600,2300,10000,12100
0,25600,2000,10300,12100
0,25600,2000,10000,12400
0,25900,2000,10000,12100
0,25600,2300,10000,12100
0,23500,4400,10000,12100
0,23500,4100,10300,12100
0,23500,4100,10000,12400
0,23800,4100,10000,12100
0,23500,4400,10000,12100
0,24100,3800,10000,12100
0,24100,3500,10300,12100
0,24100,3500,10000,12400
