EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXPECTATION,EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,
10000,10000,10000,10000,10000,
13000,7000,10000,10000,10000,
13000,5200,11800,10000,10000,
13000,5200,9700,12100,10000,
13000,5200,9700,12700,9400,
11500,5200,9700,15700,7900,
12100,4600,9700,15700,7900,
18700,1300,6400,15700,7900,
18700,0,4300,19100,7900,
18700,0,4300,20000,7000,
21100,0,4300,20000,4600,
23800,0,1600,20000,4600,
24600,0,0,20800,4600,
24600,0,0,22300,3100,
24600,0,0,22900,2500,
22500,0,0,20800,6700,
20400,0,0,22900,6700,
18000,0,0,22300,9700,
18000,0,0,22300,9700,
18000,0,0,25600,6400,
18000,0,0,25600,6400,
18900,0,0,24700,6400,
18600,0,0,25000,6400,
18600,0,0,25000,6400,
18600,0,0,22600,8800,
20700,0,0,22000,7300,
22800,0,0,19900,7300,
22800,0,0,19900,7300,
22800,0,0,19900,7300,
22800,0,0,16600,10600,
20400,0,0,14200,15400,
16800,0,0,21400,11800,
17400,0,0,20800,11800,
17400,0,0,20800,11800,
18600,0,0,20200,11200,
20400,0,0,20200,9400,
22500,0,0,18100,9400,
22500,0,0,18100,9400,
22500,0,0,18700,8800,
22500,0,0,20200,7300,
19800,0,0,17500,12700,
19800,0,0,17500,12700,
20400,0,0,17500,12100,
20400,0,0,17500,12100,
20400,0,0,19600,10000,
16800,0,0,16000,17200,
13500,0,0,12700,23800,
13500,0,0,12700,23800,
13500,0,0,13600,22900,
13500,0,0,12400,24100,
12900,0,0,12400,24700,
9900,0,0,11800,28300,
9900,0,0,13300,26800,
9300,0,0,10600,30100,
12000,0,0,9100,28900,
10500,0,0,9100,30400,
13200,0,0,6400,30400,
13200,0,0,7600,29200,
13200,0,0,7600,29200,
13200,0,0,7600,29200,
10500,0,0,7600,31900,
9000,0,0,9100,31900,
9000,0,0,10300,30700,
6900,0,0,12400,30700,
6900,0,0,10000,33100,
8100,0,0,10000,31900,
5400,0,0,12700,31900,
3300,0,0,15100,31600,
3300,0,0,15100,31600,
1200,0,0,13000,35800,
300,0,0,14500,35200,
600,0,0,14200,35200,
600,0,0,14200,35200,
600,0,0,15400,34000,
600,0,0,14800,34600,
1800,0,0,14200,34000,
2700,0,0,13300,34000,
2700,0,0,13300,34000,
5100,0,0,13300,31600,
5100,0,0,10900,34000,
4500,0,0,10900,34600,
1200,0,0,9400,39400,
0,0,0,12400,37600,
0,0,0,13600,36400,
0,0,0,16000,34000,
0,0,0,16600,33400,
0,0,0,16000,34000,
0,0,0,15400,34600,
0,0,0,15400,34600,
0,0,0,16000,34000,
0,0,0,16000,34000,
0,0,0,16600,33400,
0,0,0,16000,34000,
0,0,0,16000,34000,
0,0,0,12700,37300,
0,0,0,13900,36100,
0,0,0,13900,36100,
0,0,0,13900,36100,
0,0,0,13900,36100,
0,0,0,14500,35500,
0,0,0,13300,36700,
0,0,0,12700,37300,
0,0,0,10900,39100,
0,0,0,10900,39100,
0,0,0,8200,41800,
0,0,0,8200,41800,
0,0,0,8200,41800,
0,0,0,8200,41800,
0,0,0,8200,41800,
0,0,0,11500,38500,
0,0,0,15100,34900,
0,0,0,16000,34000,
0,0,0,16000,34000,
0,0,0,16600,33400,
0,0,0,18700,31300,
0,0,0,19300,30700,
0,0,0,20800,29200,
0,0,0,20800,29200,
0,0,0,20800,29200,
0,0,0,20200,29800,
0,0,0,20800,29200,
0,0,0,20800,29200,
0,0,0,21400,28600,
0,0,0,21100,28900,
0,0,0,22300,27700,
0,0,0,19600,30400,
0,0,0,20500,29500,
0,0,0,20500,29500,
0,0,0,20500,29500,
0,0,0,18700,31300,
0,0,0,23800,26200,
0,0,0,23800,26200,
0,0,0,25900,24100,
0,0,0,25900,24100,
0,0,0,28600,21400,
0,0,0,26500,23500,
0,0,0,26500,23500,
0,0,0,26500,23500,
0,0,0,28000,22000,
0,0,0,25300,24700,
0,0,0,27400,22600,
0,0,0,28000,22000,
0,0,0,28600,21400,
0,0,0,31300,18700,
0,0,0,28900,21100,
0,0,0,29500,20500,
0,0,0,32200,17800,
0,0,0,35500,14500,
0,0,0,35500,14500,
0,0,0,38500,11500,
0,0,0,37900,12100,
0,0,0,37900,12100,
0,0,0,37900,12100,
0,0,0,37900,12100,
0,0,0,37300,12700,
0,0,0,38800,11200,
0,0,0,38200,11800,
0,0,0,37600,12400,
0,0,0,37000,13000,
0,0,0,33700,16300,
0,0,0,32500,17500,
0,0,0,32500,17500,
0,0,0,32500,17500,
0,0,0,33400,16600,
0,0,0,31900,18100,
0,0,0,33700,16300,
0,0,0,35200,14800,
0,0,0,36700,13300,
0,0,0,35200,14800,
0,0,0,36700,13300,
0,0,0,35500,14500,
0,0,0,37600,12400,
0,0,0,39400,10600,
0,0,0,40900,9100,
0,0,0,41500,8500,
0,0,0,40600,9400,
0,0,0,37900,12100,
0,0,0,40300,9700,
0,0,0,40300,9700,
0,0,0,43000,7000,
0,0,0,44800,5200,
0,0,0,42400,7600,
0,0,0,42400,7600,
0,0,0,42400,7600,
0,0,0,41200,8800,
0,0,0,43600,6400,
0,0,0,43600,6400,
0,0,0,43600,6400,
0,0,0,43600,6400,
0,0,0,45100,4900,
0,0,0,46600,3400,
0,0,0,48700,1300,
0,0,0,49000,1000,
0,0,0,49000,1000,
0,0,0,50000,0,
